N	2gram	Bakhtin_fo_1	Poddanst
1	не только	9	17
2	и в	50	14
3	и не	14	12
4	в отношении	3	10
5	в этом	25	10
6	то же	11	9
7	в том	9	9
8	в качестве	3	9
9	но в	10	9
10	хотя бы	2	8
11	в пределах	5	8
12	же время	9	7
13	в то	9	7
14	только в	4	7
15	но и	8	6
16	в ней	4	6
17	было бы	2	6
18	с другой	2	5
19	не в	5	5
20	в которых	2	5
21	может быть	11	5
22	же в	3	4
23	в котором	4	4
24	то что	6	4
25	что в	5	4
26	если бы	5	4
27	в своем	4	4
28	не может	6	4
29	по себе	2	4
30	и к	2	4
31	а в	3	4
32	том что	4	4
33	мы должны	2	4
34	а также	2	4
35	как бы	2	4
36	и потому	3	4
37	в порядке	3	3
38	в нем	24	3
39	и т	8	3
40	с тем	3	3
41	это не	6	3
42	с одной	3	3
43	прежде всего	15	3
44	для того	5	3
45	с точки	2	3
46	мы не	3	3
47	и как	10	3
48	но не	5	3
49	могут быть	5	3
50	точки зрения	5	3
51	в себе	3	3
52	что мы	2	3
53	одной стороны	2	3
54	наряду с	5	3
55	потому что	4	3
56	хотя и	3	3
57	том числе	4	2
58	не к	2	2
59	для них	3	2
60	именно в	3	2
61	во всех	6	2
62	в частности	6	2
63	время в	6	2
64	отнюдь не	5	2
65	друг другу	2	2
66	в них	4	2
67	все это	4	2
68	во всей	3	2
69	как раз	13	2
70	отношения к	3	2
71	с этим	6	2
72	в жизни	6	2
73	именно как	4	2
74	еще более	3	2
75	и других	3	2
76	одних и	2	2
77	стороны и	2	2
78	в значительной	2	2
79	а не	3	2
80	того что	2	2
81	для нас	2	2
82	в ее	6	2
83	есть не	3	2
84	есть в	2	2
85	одна из	2	2
86	по сравнению	2	2
87	не было	7	2
88	в начале	3	2
89	например в	6	2
90	и это	4	2
91	да и	3	2
92	не о	2	2
93	в его	13	2
94	и с	4	2
