N	2gram	Vinokur_St_1	Marksizm
1	точки зрения	11	34
2	может быть	15	26
3	и не	16	26
4	не может	8	24
5	с точки	8	20
6	и в	44	19
7	и его	8	19
8	таким образом	7	17
9	в этом	21	16
10	как бы	4	15
11	прежде всего	7	13
12	языка и	4	13
13	как и	9	12
14	так и	9	11
15	и для	3	11
16	в самом	7	10
17	в нем	5	10
18	в слове	5	10
19	самом деле	11	10
20	для него	6	9
21	лишь в	3	9
22	в результате	3	9
23	только в	10	9
24	при этом	2	8
25	но и	10	8
26	до сих	7	8
27	не только	18	8
28	все же	8	8
29	то что	18	8
30	сих пор	7	8
31	в каждом	3	7
32	все эти	5	7
33	так же	5	7
34	и те	2	7
35	но в	10	7
36	в ее	4	7
37	во всех	8	7
38	то же	5	7
39	а не	16	7
40	в том	36	6
41	является не	4	6
42	другой стороны	7	6
43	того же	3	6
44	в его	9	6
45	мы не	2	6
46	ничего не	2	6
47	с другой	9	5
48	в конце	3	5
49	именно в	6	5
50	не в	12	5
51	конечно не	2	5
52	в начале	3	5
53	и потому	2	5
54	и все	2	5
55	вовсе не	19	5
56	знака в	2	5
57	за пределы	2	5
58	того чтобы	11	5
59	хотя бы	6	5
60	этот вопрос	4	5
61	во всяком	6	5
62	ничего общего	3	5
63	ясно что	10	5
64	что в	30	4
65	не менее	5	4
66	в отношении	9	4
67	вопрос о	4	4
68	в ней	3	4
69	не является	3	4
70	а в	17	4
71	сказать что	7	4
72	с этим	3	4
73	так называемая	3	4
74	еще не	3	4
75	было бы	17	4
76	что же	6	4
77	как в	13	4
78	для того	10	4
79	в данном	14	4
80	этом отношении	7	3
81	в какой	3	3
82	а как	2	3
83	но именно	2	3
84	же время	4	3
85	в котором	5	3
86	места в	2	3
87	из них	8	3
88	все это	5	3
89	по отношению	3	3
90	не было	4	3
91	того что	9	3
92	не имеет	4	3
93	между тем	3	3
94	в то	9	3
95	его в	2	3
96	не существует	3	3
97	смысле этого	2	3
98	в каком	3	3
99	этом случае	2	3
100	том что	29	3
101	совершенно не	5	3
102	в сущности	2	3
103	общего с	3	3
104	он не	2	3
105	в первом	2	3
106	в своей	6	3
107	быть и	2	3
108	в истории	3	3
109	целый ряд	2	3
110	это и	4	3
111	на самом	6	3
112	должны быть	3	3
113	на этот	3	3
114	но все	4	3
115	и это	2	3
116	в которой	4	3
117	в области	14	3
118	том числе	2	2
119	же как	3	2
120	должна быть	3	2
121	в частности	4	2
122	никогда не	5	2
123	что во	2	2
124	тому что	3	2
125	в своем	2	2
126	точку зрения	3	2
127	что все	2	2
128	тем не	2	2
129	все в	2	2
130	ни в	3	2
131	числе и	2	2
132	и иные	2	2
133	совпадает с	2	2
134	но для	2	2
135	но если	4	2
136	всяком случае	6	2
137	ни одной	2	2
138	времени не	4	2
139	жизни и	5	2
140	в первой	12	2
141	и их	2	2
142	как к	3	2
143	и только	3	2
144	во втором	4	2
145	и даже	5	2
146	можно было	13	2
147	в своих	2	2
148	с этой	3	2
149	же и	4	2
150	допустим что	2	2
151	из этих	6	2
152	о том	17	2
153	так как	5	2
154	нет ни	2	2
155	в сознании	2	2
156	и с	3	2
157	от этого	2	2
158	в основе	3	2
159	и более	2	2
160	если бы	9	2
161	и во	2	2
162	быть в	2	2
163	что он	10	2
164	в себе	2	2
165	у нас	11	2
166	то в	3	2
167	в качестве	4	2
168	она не	2	2
169	в данной	2	2
170	этого слова	2	2
171	не все	3	2
172	что и	6	2
173	отношению к	3	2
174	системе в	2	2
175	бы и	4	2
176	и речи	2	2
177	как раз	4	2
178	в двух	3	2
179	что не	3	2
180	той же	5	2
181	в таком	3	2
182	или иначе	2	2
183	языка не	2	2
184	тем что	5	2
185	могут быть	5	2
186	в другом	3	2
187	и вообще	3	2
188	не знает	2	2
189	без всякой	3	2
190	там где	5	2
191	в чем	3	2
