N	2gram	Losev_Vlad_3	Poddanst
1	не только	25	17
2	и в	40	14
3	и не	25	12
4	в отношении	5	10
5	в этом	16	10
6	то же	4	9
7	в том	18	9
8	в качестве	3	9
9	но в	4	9
10	хотя бы	6	8
11	же время	2	7
12	в то	7	7
13	только в	13	7
14	но и	18	6
15	в ней	5	6
16	в смысле	6	6
17	xix века	6	6
18	было бы	4	6
19	с другой	5	5
20	е н	2	5
21	не в	3	5
22	и о	4	5
23	может быть	8	5
24	же в	3	4
25	в котором	4	4
26	то что	28	4
27	что в	17	4
28	если бы	3	4
29	в своем	8	4
30	не может	14	4
31	в с	2	4
32	по себе	6	4
33	и к	2	4
34	а в	7	4
35	том что	18	4
36	на путях	2	4
37	мы должны	4	4
38	и если	7	4
39	тех кто	3	4
40	а также	8	4
41	как бы	3	4
42	и потому	10	4
43	в нем	3	3
44	с тем	7	3
45	в сравнении	2	3
46	в россии	3	3
47	это не	3	3
48	с одной	3	3
49	прежде всего	10	3
50	тем самым	2	3
51	для того	2	3
52	с точки	6	3
53	сводится к	3	3
54	мы не	2	3
55	сравнении с	2	3
56	и как	7	3
57	но не	4	3
58	точки зрения	13	3
59	в себе	9	3
60	что мы	2	3
61	одной стороны	3	3
62	наряду с	2	3
63	потому что	11	3
64	хотя и	7	3
65	не менее	9	2
66	и тем	3	2
67	в мире	2	2
68	не к	2	2
69	именно в	3	2
70	отнюдь не	5	2
71	со стороны	2	2
72	но о	3	2
73	как раз	10	2
74	не столько	3	2
75	и весьма	3	2
76	отношения к	5	2
77	с этим	2	2
78	в жизни	2	2
79	между прочим	5	2
80	стороны и	2	2
81	а не	8	2
82	того что	7	2
83	должно быть	5	2
84	для нас	5	2
85	как на	3	2
86	есть не	2	2
87	для тех	2	2
88	которое в	3	2
89	в силу	2	2
90	является в	2	2
91	в виде	13	2
92	не нужно	2	2
93	не было	5	2
94	в начале	2	2
95	в европе	2	2
96	из них	2	2
97	и это	6	2
98	церкви и	3	2
99	никак не	4	2
100	да и	6	2
101	не о	2	2
102	в его	14	2
103	и с	9	2
