N	2gram	Ircho_Kome_1	Russkaja
1	не может	2	22
2	и не	8	19
3	в том	11	17
4	в этом	3	17
5	и в	22	14
6	то что	2	13
7	таким образом	8	11
8	то же	6	11
9	точки зрения	4	11
10	же время	4	10
11	но и	11	10
12	в то	10	10
13	том что	12	9
14	не только	10	9
15	в себе	2	9
16	может быть	9	9
17	во всяком	2	9
18	прежде всего	5	8
19	к тому	6	7
20	о том	8	7
21	и с	3	7
22	что он	6	6
23	для всех	2	6
24	всяком случае	2	6
25	все это	5	6
26	в своих	2	6
27	вопрос о	3	5
28	на то	3	5
29	и на	3	5
30	при этом	5	5
31	до сих	2	5
32	было бы	2	5
33	он не	3	5
34	в нем	4	5
35	сих пор	2	5
36	из которых	2	5
37	а в	6	5
38	потому что	5	5
39	только в	3	5
40	между тем	5	5
41	но не	2	4
42	что в	6	4
43	то ни	2	4
44	как и	9	4
45	все что	2	4
46	ли это	2	4
47	все же	3	4
48	бы то	2	4
49	вместе с	2	4
50	со стороны	2	4
51	или менее	2	4
52	в их	4	4
53	путь к	2	4
54	не в	6	4
55	в этой	7	4
56	в его	5	4
57	его в	3	4
58	так как	4	4
59	для них	2	3
60	именно в	4	3
61	в конце	6	3
62	главным образом	3	3
63	о которых	5	3
64	да и	3	3
65	и как	3	3
66	в другом	4	3
67	что они	4	3
68	собой и	2	3
69	в качестве	4	3
70	еще не	2	3
71	несмотря на	4	3
72	в самом	2	3
73	одной из	3	3
74	для этого	2	3
75	что и	4	3
76	и т	9	3
77	из них	10	3
78	и по	6	3
79	или в	2	3
80	тем что	4	3
81	и во	2	3
82	в виде	3	3
83	конце концов	4	3
84	одна из	2	3
85	в сознании	3	3
86	место в	3	2
87	одному из	2	2
88	в частности	3	2
89	у него	3	2
90	ясно что	4	2
91	ни в	6	2
92	из всех	2	2
93	но это	2	2
94	их к	3	2
95	именно на	2	2
96	указывает на	2	2
97	участие в	4	2
98	видеть в	2	2
99	и о	3	2
100	в котором	4	2
101	речь идет	3	2
102	для себя	2	2
103	и тем	2	2
104	не к	2	2
105	ее в	2	2
106	на основании	3	2
107	даже не	2	2
108	по отношению	3	2
109	даже если	2	2
110	в течение	3	2
111	и вот	4	2
112	и даже	5	2
113	к нему	2	2
114	так же	3	2
115	в других	2	2
116	в результате	4	2
117	в силу	2	2
118	мы можем	4	2
119	время когда	2	2
120	на себя	2	2
121	в начале	3	2
122	во время	5	2
123	если они	2	2
124	как будто	2	2
125	в области	2	2
126	у других	2	2
127	но в	4	2
