N	2gram	Nazirov_Tv_2	Komedia
1	и в	20	22
2	и не	9	21
3	том что	4	13
4	в том	8	12
5	таким образом	10	12
6	так как	3	11
7	потому что	7	10
8	до сих	3	9
9	в самом	3	9
10	вместе с	3	9
11	сих пор	3	9
12	если бы	4	8
13	что он	6	8
14	в его	10	8
15	в этом	8	8
16	о том	5	8
17	его в	3	8
18	об этом	4	7
19	при этом	8	7
20	то же	7	7
21	едва ли	2	7
22	а в	4	7
23	в конце	6	7
24	к этому	3	6
25	тому же	2	6
26	еще не	5	6
27	может быть	8	6
28	самом деле	2	6
29	и что	2	6
30	так что	2	6
31	и его	9	6
32	в то	10	6
33	не менее	2	5
34	что в	7	5
35	же время	7	5
36	прежде всего	8	5
37	что его	2	5
38	и сам	5	5
39	хотя и	4	5
40	не только	13	5
41	в своей	6	5
42	из них	2	5
43	все это	6	5
44	по отношению	3	5
45	он не	3	5
46	тем что	3	5
47	любви к	3	5
48	в которых	3	5
49	с ним	3	5
50	но в	4	5
51	у него	6	4
52	отнюдь не	4	4
53	с другой	2	4
54	вовсе не	2	4
55	нет и	2	4
56	все же	5	4
57	не в	4	4
58	и т	13	4
59	то что	3	4
60	когда он	4	4
61	но и	8	4
62	на него	2	4
63	что она	4	4
64	т п	2	4
65	а не	6	4
66	друг друга	2	4
67	так же	5	4
68	тут же	2	4
69	в себе	3	4
70	так и	6	4
71	не является	3	4
72	и поэтому	2	4
73	и с	8	4
74	в частности	2	3
75	никогда не	11	3
76	с этой	3	3
77	если не	4	3
78	в нем	3	3
79	и еще	2	3
80	в ее	2	3
81	как и	6	3
82	в начале	3	3
83	в этой	5	3
84	и мы	3	3
85	на этот	2	3
86	как бы	11	3
87	один из	3	3
88	отношению к	3	3
89	при виде	2	3
90	в целом	6	3
91	с полным	2	3
92	приводит к	2	3
93	не может	7	3
94	что не	3	3
95	и даже	5	3
96	не так	2	3
97	их в	2	3
98	одной из	3	3
99	во всяком	2	3
100	но если	2	3
101	говорить о	2	3
102	в которой	2	3
103	ничего не	4	3
104	всяком случае	2	3
105	в основе	2	2
106	только для	2	2
107	уже в	2	2
108	все время	2	2
109	не мешает	2	2
110	и без	2	2
111	как в	4	2
112	это не	7	2
113	в одном	2	2
114	человека и	3	2
115	представление о	7	2
116	в образе	3	2
117	если он	5	2
118	а затем	3	2
119	отличие от	2	2
120	х годов	3	2
121	что они	4	2
122	доводит до	2	2
123	и если	2	2
124	на его	4	2
125	в произведениях	2	2
126	одним из	3	2
127	и он	2	2
128	в котором	3	2
129	наряду с	7	2
130	в их	3	2
131	другой стороны	2	2
132	в известной	4	2
133	бы не	2	2
134	по мнению	3	2
135	не было	2	2
136	человека в	3	2
137	мы не	4	2
138	в мире	5	2
139	роль в	2	2
140	отказаться от	2	2
141	с другими	2	2
142	из этой	2	2
143	в таком	3	2
144	в своих	3	2
145	и на	5	2
146	ли не	2	2
147	между тем	3	2
148	в руки	2	2
149	и ее	2	2
150	и это	3	2
151	нет ничего	3	2
152	из этого	2	2
153	брак с	2	2
