N	2gram	Losev_Dial_1	Tvorches
1	и в	18	20
2	не только	13	13
3	и т	21	13
4	никогда не	9	11
5	т д	19	11
6	как бы	11	11
7	в его	3	10
8	в то	6	10
9	и не	30	9
10	прежде всего	10	8
11	в том	9	8
12	но и	7	8
13	может быть	17	8
14	в этом	12	8
15	и с	5	8
16	это не	9	7
17	же время	4	7
18	что в	13	7
19	не может	12	7
20	то же	10	7
21	потому что	14	7
22	в конце	4	6
23	что он	11	6
24	как и	2	6
25	в своей	2	6
26	так и	9	6
27	все это	11	6
28	именно в	2	6
29	а не	14	6
30	в мире	2	5
31	но это	8	5
32	еще не	2	5
33	но не	4	5
34	все же	5	5
35	и даже	13	5
36	так же	4	5
37	о том	4	5
38	об этом	4	4
39	и от	2	4
40	том что	9	4
41	в дальнейшем	5	4
42	мы видим	4	4
43	что они	3	4
44	отнюдь не	9	4
45	хотя и	4	4
46	что она	7	4
47	как в	2	4
48	все эти	2	4
49	не в	6	4
50	а в	5	4
51	в чем	6	4
52	и потому	3	4
53	ничего не	17	4
54	если бы	12	4
55	но в	6	4
56	а с	2	3
57	он сам	5	3
58	же как	2	3
59	с этой	2	3
60	к этому	2	3
61	с ним	6	3
62	быть может	4	3
63	для него	2	3
64	что не	7	3
65	в самом	3	3
66	и мы	5	3
67	он не	3	3
68	в котором	4	3
69	не является	3	3
70	один из	3	3
71	в нем	16	3
72	то что	13	3
73	но уже	2	3
74	и это	2	3
75	сих пор	2	3
76	в их	3	3
77	так как	11	3
78	уже не	2	3
79	в которых	2	3
80	в себе	11	3
81	как у	2	3
82	у пушкина	4	3
83	до сих	2	3
84	ни к	2	2
85	не менее	2	2
86	и есть	16	2
87	точку зрения	3	2
88	с другой	6	2
89	по крайней	4	2
90	я не	5	2
91	не мешает	4	2
92	вовсе не	7	2
93	во всяком	4	2
94	такой же	2	2
95	крайней мере	4	2
96	тому же	2	2
97	д и	2	2
98	так что	15	2
99	что я	3	2
100	как о	2	2
101	в частности	2	2
102	но если	5	2
103	о своих	2	2
104	всяком случае	2	2
105	точка зрения	2	2
106	и тогда	2	2
107	к самому	2	2
108	т п	2	2
109	не было	6	2
110	но эта	3	2
111	самом деле	3	2
112	и что	12	2
113	и у	2	2
114	другой стороны	4	2
115	и он	5	2
116	с другими	2	2
117	с ними	2	2
118	образ и	4	2
119	в основе	3	2
120	из них	2	2
121	в виде	2	2
122	могут быть	3	2
123	и еще	3	2
124	он всегда	2	2
125	говорить о	5	2
126	и вообще	4	2
127	только в	3	2
128	только с	3	2
129	тоже не	2	2
