N	2gram	Bakhtin_Fr_6	Morfolog
1	может быть	2	52
2	таким образом	17	20
3	не может	4	17
4	в этих	2	16
5	с этим	3	14
6	и в	41	13
7	в этом	12	13
8	и др	10	12
9	так как	10	12
10	перед нами	3	11
11	мы видим	6	11
12	связи с	2	11
13	прежде всего	10	9
14	так и	5	9
15	то же	5	9
16	и не	3	9
17	а не	2	9
18	с другой	4	8
19	а затем	4	8
20	в результате	4	8
21	и этим	2	7
22	но если	2	7
23	все же	4	7
24	не могут	2	6
25	в том	2	6
26	но не	2	6
27	а также	5	6
28	в форме	2	6
29	а в	4	6
30	во время	9	6
31	если мы	2	5
32	и другие	2	5
33	в образе	6	5
34	мы увидим	3	5
35	во всех	17	5
36	как бы	7	5
37	один из	6	5
38	то что	10	5
39	или в	6	5
40	потому что	3	5
41	мы не	2	5
42	что в	7	4
43	и как	4	4
44	вовсе не	7	4
45	было бы	3	4
46	на его	2	4
47	не только	10	4
48	как в	4	4
49	как мы	12	4
50	другой стороны	2	4
51	тех же	2	4
52	так же	5	4
53	как и	7	4
54	там где	5	4
55	хотя и	2	4
56	тем что	5	4
57	точки зрения	2	4
58	с точки	2	4
59	на этом	2	4
60	также и	6	4
61	связана с	2	3
62	это уже	2	3
63	в начале	3	3
64	том что	7	3
65	но это	3	3
66	что они	2	3
67	здесь же	2	3
68	кроме того	9	3
69	того чтобы	4	3
70	в сущности	8	3
71	во втором	3	3
72	он не	2	3
73	в первом	3	3
74	но и	13	3
75	самом деле	4	3
76	первом случае	3	3
77	к нему	3	3
78	и для	3	3
79	из них	5	3
80	в то	6	3
81	но в	8	3
82	в частности	2	2
83	та же	4	2
84	что он	6	2
85	на первый	3	2
86	или с	2	2
87	только в	3	2
88	от него	2	2
89	а на	2	2
90	они и	3	2
91	в большинстве	4	2
92	есть и	2	2
93	один раз	2	2
94	одной стороны	4	2
95	одной из	3	2
96	мы уже	18	2
97	никто не	2	2
98	в таких	2	2
99	на спине	2	2
100	себя в	2	2
101	знать что	2	2
102	есть нечто	2	2
103	с одной	4	2
104	все эти	11	2
105	рассказы о	3	2
106	и что	5	2
107	к себе	2	2
108	того что	3	2
109	и его	13	2
110	в другом	4	2
111	что мы	2	2
112	о том	9	2
113	но здесь	2	2
114	большинстве случаев	5	2
115	сказать что	6	2
116	как это	2	2
117	это было	2	2
