N	2gram	Tiupa_Narr_1	Istorich
1	и в	19	24
2	что он	6	21
3	не только	32	21
4	может быть	25	14
5	не может	10	14
6	что в	3	13
7	мы имеем	2	12
8	как в	7	12
9	в этом	17	12
10	но и	23	11
11	это не	2	10
12	у него	4	10
13	том что	14	10
14	а в	11	10
15	с другой	8	9
16	не в	14	9
17	все же	7	9
18	о том	6	9
19	еще не	7	8
20	другой стороны	4	8
21	то же	4	8
22	а не	12	8
23	или в	2	8
24	один из	3	7
25	в том	18	7
26	одна из	3	7
27	то что	11	7
28	к нему	5	7
29	тем что	3	6
30	как и	7	6
31	так же	2	6
32	но не	5	6
33	в нем	4	6
34	а именно	3	6
35	он не	3	6
36	и все	2	6
37	только в	4	6
38	что это	3	6
39	не менее	3	5
40	одной стороны	7	5
41	представляют собой	2	5
42	отношение к	2	5
43	так и	9	5
44	с одной	7	5
45	ничего не	2	5
46	героя и	4	5
47	от героя	2	5
48	но в	6	5
49	никогда не	3	4
50	что у	2	4
51	не всегда	2	4
52	тем не	3	4
53	по существу	2	4
54	но все	4	4
55	представляет собой	13	4
56	при этом	9	4
57	одной из	4	4
58	своего рода	12	4
59	же как	3	4
60	как бы	4	4
61	если не	4	4
62	и не	20	4
63	первый взгляд	2	4
64	не имеет	2	4
65	точки зрения	10	4
66	в данном	5	4
67	на первый	2	4
68	еще одна	3	3
69	уже в	3	3
70	после смерти	2	3
71	с его	6	3
72	не столько	4	3
73	в качестве	21	3
74	что они	3	3
75	например в	2	3
76	его в	2	3
77	не все	5	3
78	когда он	3	3
79	данном случае	4	3
80	как мы	3	3
81	этой точки	2	3
82	и даже	3	3
83	и он	3	3
84	и его	5	3
85	приходит к	2	3
86	не случайно	2	3
87	хотя и	3	3
88	к себе	5	3
89	из этих	3	3
90	связи с	4	3
91	что мы	2	3
92	тогда как	12	3
93	перед нами	4	2
94	не будет	3	2
95	или даже	2	2
96	та же	2	2
97	прежде всего	4	2
98	совершенно очевидно	2	2
99	в литературе	2	2
100	и ее	2	2
101	в то	3	2
102	ни в	3	2
103	в ее	3	2
104	говорит о	2	2
105	в силу	4	2
106	только о	2	2
107	у нее	2	2
108	в форме	5	2
109	она не	2	2
110	было бы	4	2
111	и тот	2	2
112	не от	2	2
113	здесь и	2	2
114	и когда	2	2
115	восходит к	3	2
116	если в	3	2
117	тем более	2	2
118	и др	2	2
119	на себя	3	2
120	и тем	4	2
121	от всех	2	2
122	на том	3	2
123	на него	3	2
124	со стороны	9	2
125	отличается от	4	2
126	вплоть до	2	2
127	здесь не	4	2
128	точно так	2	2
129	в связи	2	2
130	уже не	5	2
131	в особенности	4	2
132	что не	4	2
133	как это	6	2
134	в иной	2	2
135	что по	2	2
136	сказать что	4	2
137	в основе	5	2
138	из них	3	2
139	и на	3	2
140	они не	2	2
141	и после	2	2
142	все эти	2	2
143	а если	2	2
