N	2gram	Bakhtin_fo_2	VLabPisa
1	таким образом	3	27
2	в этом	22	26
3	и в	46	25
4	и т	14	24
5	не только	11	22
6	может быть	7	21
7	и не	9	19
8	не может	2	17
9	в его	8	15
10	т д	3	15
11	прежде всего	14	13
12	в том	10	13
13	этом отношении	2	13
14	в частности	5	12
15	все это	6	12
16	как это	2	12
17	с другой	2	11
18	из них	8	11
19	в качестве	3	10
20	о том	4	10
21	к этому	3	9
22	что в	5	9
23	для него	3	9
24	и др	5	9
25	но и	9	9
26	то же	8	9
27	т п	11	9
28	все эти	5	8
29	в своем	5	8
30	могут быть	2	8
31	из этих	4	7
32	же в	4	7
33	как и	8	7
34	том что	4	7
35	было бы	2	7
36	во всех	11	7
37	вместе с	9	7
38	не было	3	7
39	а не	4	7
40	у него	9	6
41	это не	2	6
42	в себе	4	6
43	то что	7	6
44	том же	4	6
45	в основном	8	6
46	в нем	5	6
47	так и	7	6
48	и его	12	6
49	их в	4	6
50	в то	5	6
51	же время	4	5
52	все же	6	5
53	в пределах	5	5
54	связи с	8	5
55	и есть	2	5
56	как бы	10	5
57	один из	2	5
58	в их	3	5
59	на основе	3	5
60	только в	11	5
61	не в	9	5
62	не является	3	5
63	к тому	3	4
64	никогда не	6	4
65	равно как	2	4
66	в одном	7	4
67	что все	2	4
68	что он	3	4
69	можно сказать	2	4
70	в романе	13	4
71	в них	7	4
72	в связи	8	4
73	в этой	2	4
74	и к	2	3
75	во время	10	3
76	всех этих	7	3
77	с тем	2	3
78	и как	3	3
79	и от	2	3
80	в конце	2	3
81	человека и	4	3
82	одном из	2	3
83	у нас	2	3
84	по существу	5	3
85	мы видели	2	3
86	что они	4	3
87	утверждает что	2	3
88	с этим	5	3
89	далеко не	2	3
90	и он	4	3
91	в виду	3	3
92	в котором	4	3
93	нет и	3	3
94	его в	6	3
95	что и	3	3
96	жизни и	8	3
97	и их	4	3
98	ее в	3	3
99	именно в	2	3
100	того что	3	3
101	и по	3	3
102	так же	2	3
103	в которых	3	3
104	как на	2	3
105	точки зрения	10	3
106	она не	2	3
107	и художественного	3	3
108	явлений и	2	3
109	том как	3	3
110	том числе	3	2
111	и образов	2	2
112	мира и	9	2
113	не быть	2	2
114	вовсе не	13	2
115	роль в	3	2
116	по себе	2	2
117	или иной	2	2
118	и весь	2	2
119	о его	2	2
120	а затем	3	2
121	до сих	2	2
122	и потому	2	2
123	но не	5	2
124	пародия на	2	2
125	как у	3	2
126	числе и	2	2
127	смысле слова	2	2
128	еще не	6	2
129	же самое	3	2
130	для того	8	2
131	мы имеем	2	2
132	к ним	2	2
133	и даже	3	2
134	отнюдь не	4	2
135	если в	2	2
136	после этого	2	2
137	мы наблюдаем	3	2
138	сих пор	2	2
139	все они	3	2
140	а в	3	2
141	в особенности	6	2
142	с одной	2	2
143	человека в	6	2
144	того чтобы	8	2
145	между ними	2	2
146	и для	9	2
147	другом месте	2	2
148	у них	2	2
149	также и	4	2
150	во всяком	2	2
151	хотя и	3	2
152	лишь в	2	2
153	он не	5	2
154	говорить о	2	2
155	в другом	3	2
156	ту же	2	2
157	как он	2	2
158	в образе	4	2
159	о чем	3	2
160	но в	10	2
161	значит что	2	2
