N	2gram	Bakhtin_Fr_1	Psycholo
1	то что	3	44
2	и в	65	33
3	в этом	15	28
4	как бы	22	25
5	потому что	5	24
6	может быть	6	22
7	том что	6	22
8	что в	3	21
9	в том	16	21
10	о том	2	20
11	что он	3	20
12	и не	22	13
13	сказать что	6	13
14	то есть	45	13
15	все это	9	13
16	к тому	2	12
17	в самом	4	12
18	и все	5	12
19	так как	6	12
20	самом деле	3	12
21	он не	2	11
22	не может	3	10
23	в его	9	10
24	в этой	4	9
25	как раз	3	9
26	в своем	8	7
27	для нас	4	7
28	до конца	2	7
29	в нем	13	7
30	не только	10	7
31	это не	3	6
32	в самой	3	6
33	в ней	6	6
34	шекспира и	4	6
35	все эти	10	6
36	и вот	2	6
37	точки зрения	7	6
38	что мы	2	6
39	во время	4	6
40	мы видим	2	6
41	в сущности	16	6
42	на самом	6	6
43	в себе	3	6
44	мы будем	3	5
45	никогда не	6	5
46	в целом	2	5
47	и на	11	5
48	вовсе не	18	5
49	с ним	3	5
50	связь с	5	5
51	как и	5	5
52	мы уже	12	5
53	и его	10	5
54	все же	6	5
55	и это	2	5
56	в частности	5	4
57	это в	4	4
58	так например	2	4
59	совершенно не	4	4
60	из них	4	4
61	жизни и	7	4
62	и других	3	4
63	не просто	3	4
64	того что	2	4
65	и так	2	4
66	в жизни	4	4
67	о нем	3	4
68	в своей	5	4
69	на него	2	4
70	как мы	6	4
71	что не	2	4
72	с точки	3	4
73	в таком	2	4
74	этот вопрос	2	4
75	только в	7	4
76	это было	2	4
77	с одной	2	3
78	нам придется	2	3
79	одной стороны	2	3
80	например в	2	3
81	но и	10	3
82	и до	4	3
83	понятно что	2	3
84	не для	2	3
85	в своих	5	3
86	их в	2	3
87	и здесь	3	3
88	его в	7	3
89	в основе	8	3
90	всех этих	8	3
91	при таком	2	3
92	в одном	5	3
93	но не	2	3
94	здесь в	8	3
95	до сих	4	3
96	сих пор	4	3
97	так и	10	3
98	как в	5	3
99	да и	2	3
100	во всей	3	3
101	и он	2	3
102	и для	2	3
103	еще раз	2	3
104	далеко не	3	3
105	в той	5	3
106	на этот	2	3
107	у шекспира	3	2
108	с другой	3	2
109	и от	2	2
110	из этих	2	2
111	на все	2	2
112	прежде всего	11	2
113	с конца	2	2
114	в тех	3	2
115	но все	3	2
116	времени и	6	2
117	при этом	6	2
118	некоторые из	2	2
119	в виду	3	2
120	не является	3	2
121	нам кажется	2	2
122	в их	4	2
123	образом в	2	2
124	взглянуть на	3	2
125	и наконец	2	2
126	но вся	2	2
127	есть только	2	2
128	и с	3	2
129	одно из	6	2
130	во всем	2	2
131	не в	4	2
132	не понимает	4	2
133	и потому	10	2
134	но в	14	2
135	с его	5	2
136	по ходу	3	2
137	в них	5	2
138	это время	2	2
139	и к	4	2
140	в ее	3	2
141	в искусстве	3	2
142	литературы и	5	2
143	можно сказать	2	2
144	в это	2	2
145	во всех	9	2
146	даже в	3	2
147	и именно	2	2
148	и эта	3	2
149	ни на	2	2
150	связи с	4	2
151	ничего не	3	2
