N	2gram	Kanaev_Sov_1	Tvorches
1	и в	7	21
2	как бы	4	17
3	в его	2	13
4	то же	3	13
5	что в	2	12
6	как и	6	12
7	все это	3	10
8	у него	2	7
9	в свою	2	7
10	в том	4	7
11	при этом	3	7
12	не только	4	7
13	и не	6	7
14	но в	3	7
15	и все	3	6
16	не менее	2	6
17	а в	4	6
18	в этом	7	6
19	отнюдь не	3	5
20	а не	3	5
21	может быть	12	5
22	в этой	3	5
23	все же	3	5
24	таким образом	11	5
25	прежде всего	5	4
26	времени и	2	4
27	в целом	4	4
28	не может	17	4
29	это не	4	4
30	уже в	3	3
31	самого начала	3	3
32	что все	2	3
33	в каждом	8	3
34	с самого	3	3
35	в дальнейшем	4	3
36	со всеми	2	3
37	на его	2	3
38	в самом	2	3
39	той же	2	3
40	в нем	3	3
41	жизни и	4	3
42	уже не	2	3
43	по мнению	2	3
44	и даже	2	3
45	и по	2	3
46	в которой	2	3
47	в виде	2	3
48	так как	4	3
49	может не	3	2
50	такой же	2	2
51	не в	3	2
52	одна из	3	2
53	тот же	2	2
54	из них	4	2
55	в новых	2	2
56	тем не	2	2
57	вместе с	4	2
58	приводит к	2	2
59	в отличие	2	2
60	еще более	2	2
61	что она	3	2
62	и будет	2	2
63	№ с	2	2
64	самом деле	2	2
65	и наконец	5	2
66	отличие от	2	2
67	в первом	3	2
68	могут быть	2	2
69	в себе	3	2
70	в один	2	2
71	так сказать	2	2
72	настоящее время	2	2
