N	2gram	Potebnia_M_3	Russkaja
1	не может	6	22
2	и не	15	19
3	в том	32	17
4	в этом	10	17
5	и в	30	14
6	то что	18	13
7	таким образом	14	11
8	то же	23	11
9	точки зрения	2	11
10	же время	5	10
11	но и	19	10
12	в то	10	10
13	том что	18	9
14	не только	21	9
15	в себе	16	9
16	может быть	28	9
17	прежде всего	3	8
18	того чтобы	3	8
19	как на	5	8
20	к тому	7	7
21	и если	2	7
22	не будет	3	7
23	самом деле	2	7
24	самого себя	3	7
25	мы должны	4	7
26	о том	2	7
27	и с	2	7
28	если бы	12	6
29	что он	6	6
30	и при	4	6
31	с тем	7	6
32	для него	9	6
33	для того	4	6
34	все это	4	6
35	в своем	5	6
36	себя и	4	5
37	на то	2	5
38	и на	3	5
39	при этом	3	5
40	до сих	3	5
41	было бы	9	5
42	в своей	2	5
43	он не	4	5
44	в нем	9	5
45	сих пор	3	5
46	а между	2	5
47	а потому	6	5
48	а в	12	5
49	потому что	46	5
50	только в	21	5
51	между тем	9	5
52	но не	7	4
53	при таких	2	4
54	не могут	5	4
55	что в	17	4
56	тогда когда	9	4
57	как и	10	4
58	более или	3	4
59	все что	4	4
60	как бы	3	4
61	все же	2	4
62	жизни и	2	4
63	вместе с	12	4
64	со стороны	3	4
65	от того	8	4
66	или менее	3	4
67	что же	2	4
68	в их	2	4
69	не в	15	4
70	отказаться от	2	4
71	и то	8	4
72	в этой	2	4
73	в его	4	4
74	его в	3	4
75	так как	13	4
76	что это	4	3
77	именно в	3	3
78	из этих	9	3
79	что все	3	3
80	с нею	2	3
81	и как	5	3
82	что они	2	3
83	должно быть	5	3
84	еще не	5	3
85	несмотря на	2	3
86	в самом	8	3
87	том чтобы	2	3
88	одной из	2	3
89	и потому	4	3
90	но мы	2	3
91	то это	6	3
92	что и	13	3
93	не есть	17	3
94	и т	5	3
95	из них	6	3
96	не было	4	3
97	что оно	11	3
98	того что	18	3
99	ко всем	2	3
100	и по	4	3
101	друг друга	3	3
102	что для	4	3
103	или в	3	3
104	тем что	7	3
105	в виде	2	3
106	себя от	2	3
107	говорить о	3	3
108	связи с	2	3
109	в сознании	15	3
110	место в	3	2
111	а с	2	2
112	этого не	3	2
113	зависит от	6	2
114	сама по	2	2
115	от нас	3	2
116	и есть	3	2
117	у него	2	2
118	что только	6	2
119	не подлежит	2	2
120	и от	4	2
121	с этим	6	2
122	точно так	12	2
123	это в	2	2
124	представить себе	3	2
125	по себе	16	2
126	и вместе	3	2
127	бы ни	3	2
128	будет ли	2	2
129	ни в	2	2
130	уже не	6	2
131	так что	7	2
132	деятельности и	2	2
133	но это	6	2
134	будет не	2	2
135	от него	2	2
136	не можем	3	2
137	указывает на	6	2
138	что с	2	2
139	она не	2	2
140	и тот	2	2
141	и о	2	2
142	в ней	8	2
143	на это	4	2
144	в котором	4	2
145	отношении к	2	2
146	для себя	3	2
147	и тем	5	2
148	не к	4	2
149	для нас	20	2
150	время в	3	2
151	и тогда	3	2
152	тому что	3	2
153	целый ряд	2	2
154	по отношению	5	2
155	тогда как	2	2
156	если не	4	2
157	только на	3	2
158	и что	10	2
159	тем самым	7	2
160	а не	15	2
161	что такое	2	2
162	и наконец	2	2
163	и даже	2	2
164	к нему	3	2
165	существование в	2	2
166	так же	3	2
167	в других	2	2
168	на которой	3	2
169	в таком	3	2
170	том же	2	2
171	людей и	2	2
172	их в	2	2
173	в силу	3	2
174	мы можем	3	2
175	мы уже	2	2
176	в начале	3	2
177	во время	2	2
178	говоря о	4	2
179	с ним	6	2
180	в области	2	2
