N	2gram	Medvedev_F_1	Literetu
1	не только	7	24
2	при этом	5	19
3	но и	7	17
4	а не	10	16
5	в том	6	16
6	в частности	4	15
7	может быть	14	13
8	в году	2	13
9	и не	20	12
10	в этом	15	12
11	прежде всего	22	11
12	в своем	11	11
13	то что	8	10
14	или иначе	2	9
15	произведение искусства	2	8
16	не в	8	8
17	в целом	6	8
18	и в	24	8
19	только в	2	8
20	как это	6	8
21	не менее	11	7
22	в его	23	7
23	как бы	6	7
24	уже не	2	7
25	в себе	3	7
26	в жизни	3	6
27	как и	11	6
28	связи с	3	6
29	того что	5	6
30	точки зрения	16	6
31	с его	4	5
32	с этой	4	5
33	что он	3	5
34	же в	3	5
35	же время	8	5
36	искусства и	5	5
37	как в	8	5
38	не может	16	5
39	то же	10	5
40	тем самым	3	5
41	в то	9	5
42	перестает быть	3	4
43	для этого	4	4
44	это не	2	4
45	но не	3	4
46	еще не	6	4
47	в формах	4	4
48	еще в	2	4
49	все же	3	4
50	литературного произведения	4	4
51	в художественном	3	4
52	в своей	11	4
53	со стороны	5	4
54	так и	18	4
55	никогда не	4	4
56	в связи	4	4
57	в чужом	2	4
58	лишь в	8	4
59	друг друга	4	4
60	и его	10	4
61	как раз	2	4
62	в своих	2	4
63	не как	4	4
64	в этой	6	4
65	в основе	3	3
66	не было	3	3
67	в душе	2	3
68	что в	4	3
69	с другой	5	3
70	сводится к	3	3
71	не сводится	2	3
72	аналогии с	3	3
73	одна из	2	3
74	в пределах	6	3
75	в самом	5	3
76	один из	3	3
77	и др	5	3
78	жизни и	7	3
79	всего в	3	3
80	в их	11	3
81	приводит к	2	3
82	по отношению	4	3
83	по аналогии	3	3
84	а в	6	3
85	таким образом	13	3
86	и даже	3	3
87	во всяком	4	3
88	но в	5	3
89	произведения искусства	3	3
90	его в	3	3
91	тех же	2	3
92	в области	3	3
93	мира в	2	3
94	жизни не	2	2
95	а как	2	2
96	должна быть	7	2
97	все более	2	2
98	искусства как	2	2
99	отнюдь не	6	2
100	раз и	2	2
101	воздействия на	3	2
102	в мире	4	2
103	к тому	3	2
104	а только	2	2
105	от всякой	2	2
106	от литературы	2	2
107	для него	3	2
108	одной стороны	4	2
109	было бы	6	2
110	за пределы	2	2
111	в искусстве	5	2
112	и является	2	2
113	всяком случае	4	2
114	на почве	13	2
115	произведение в	3	2
116	не могло	5	2
117	должен быть	5	2
118	в нем	14	2
119	не есть	2	2
120	отношению к	4	2
121	художественное произведение	6	2
122	только на	5	2
123	не на	2	2
124	с одной	4	2
125	все эти	6	2
126	художественного целого	2	2
127	чтобы не	2	2
128	самом деле	6	2
129	что такое	2	2
130	хотя бы	5	2
131	с точки	13	2
132	между тем	2	2
133	в россии	3	2
