N	3gram	Vygotskiy__1	Psycholo
1	для того чтобы	15	19
2	на то что	3	16
3	в том что	15	14
4	с одной стороны	8	12
5	в сущности говоря	2	8
6	к тому что	3	6
7	в зависимости от	2	6
8	о том что	6	6
9	заключается в том	6	6
10	в самом деле	2	5
11	так же точно	9	5
12	до сих пор	4	5
13	с другой стороны	9	5
14	по сравнению с	5	4
15	мы могли бы	5	4
16	а с другой	2	4
17	таким образом что	3	3
18	в этом отношении	4	3
19	из того что	5	3
20	сам по себе	3	3
21	и то же	2	3
22	одно и то	2	3
23	с самого начала	8	3
24	вместе с тем	5	3
25	то же самое	3	3
26	на этот вопрос	2	3
27	не в состоянии	2	3
28	можно было бы	3	3
29	друг с другом	4	3
30	можно сказать что	4	2
31	друг от друга	3	2
32	бы сказать что	2	2
33	могли бы сказать	2	2
34	в данном случае	2	2
35	с таким образом	3	2
36	ответ на этот	2	2
37	так же как	5	2
38	на первый план	2	2
39	мы говорили выше	2	2
40	с точки зрения	18	2
41	и той же	2	2
42	не может быть	5	2
43	ничего не может	2	2
44	указывает на то	2	2
45	и таким образом	2	2
46	является то что	2	2
47	в том чтобы	3	2
48	нам думается что	5	2
49	одной и той	2	2
