N	3gram	Bakhtin_Pr_2	Marksizm
1	с точки зрения	8	13
2	не может быть	4	10
3	то же время	5	8
4	в то же	5	8
5	по отношению к	5	8
6	в самом деле	4	5
7	в большинстве случаев	8	5
8	может быть и	2	5
9	но в то	3	5
10	той или иной	3	4
11	как если бы	2	4
12	в отношении к	2	4
13	в той или	3	3
14	как мы сказали	2	3
15	одно и то	2	3
16	в отличие от	4	3
17	и то же	2	3
18	и не может	4	3
19	до сих пор	7	3
20	точки зрения своего	2	2
21	в узком смысле	2	2
22	том что он	2	2
23	более или менее	3	2
24	на чужую речь	4	2
25	на то что	2	2
26	к тому же	3	2
27	на чужое слово	13	2
