N	2gram	Bakhtin_Pr_2	Formalny
1	т е	26	32
2	и не	29	30
3	вовсе не	5	28
4	и в	43	27
5	может быть	23	25
6	не может	18	24
7	так и	3	21
8	и его	8	19
9	таким образом	5	18
10	в этом	13	18
11	а не	7	17
12	точки зрения	13	16
13	самом деле	5	16
14	и пр	2	15
15	в нем	12	15
16	в процессе	2	15
17	то же	8	15
18	между ними	4	15
19	как и	14	14
20	с точки	8	14
21	не в	11	12
22	если бы	3	12
23	в самом	7	11
24	в жизни	3	11
25	и т	13	11
26	но и	14	10
27	не могут	4	10
28	лишь в	8	9
29	так как	4	9
30	как его	4	9
31	не только	11	9
32	так же	2	9
33	что в	4	8
34	ни в	2	8
35	при этом	6	8
36	в пределах	16	8
37	как бы	22	8
38	и все	6	8
39	то что	7	8
40	как раз	4	8
41	входит в	2	8
42	как мы	10	8
43	только в	4	8
44	не менее	3	7
45	в том	6	7
46	же время	5	7
47	все это	5	7
48	в то	7	7
49	его в	3	7
50	между тем	3	7
51	совершенно не	4	7
52	в его	10	7
53	если мы	2	7
54	тем же	2	7
55	там где	4	7
56	данной социальной	2	6
57	с другой	4	6
58	т д	4	6
59	все эти	5	6
60	в своих	2	6
61	бы в	5	6
62	но в	10	6
63	произведения как	2	6
64	что он	13	6
65	более того	4	6
66	еще не	9	6
67	было бы	5	6
68	все же	3	6
69	в своей	4	6
70	хотя бы	2	6
71	и для	3	6
72	во всяком	2	6
73	и ее	3	6
74	никогда не	9	5
75	в каждом	11	5
76	ни было	2	5
77	в плоскости	2	5
78	и их	3	5
79	высказывания и	2	5
80	другой стороны	3	5
81	в одной	3	5
82	в направлении	4	5
83	в результате	4	5
84	в художественном	3	5
85	большинстве случаев	8	5
86	в единстве	3	5
87	но не	5	5
88	что же	7	5
89	т п	9	5
90	тем что	3	5
91	если же	4	5
92	так сказать	6	5
93	уже в	2	4
94	материал в	2	4
95	прежде всего	10	4
96	к тому	4	4
97	он был	3	4
98	да и	5	4
99	и как	2	4
100	в большинстве	9	4
101	до конца	4	4
102	же и	4	4
103	и является	2	4
104	в целом	2	4
105	в конкретном	3	4
106	но ведь	5	4
107	о том	5	4
108	мы можем	2	4
109	между собой	2	4
110	по себе	11	4
111	бы ни	2	4
112	не есть	2	4
113	в романе	3	4
114	том что	2	4
115	слов и	5	4
116	она не	3	4
117	конечно не	2	4
118	как в	2	4
119	только на	3	4
120	в слове	5	4
121	мы не	4	4
122	могут быть	3	4
123	установка на	4	4
124	слова и	12	4
125	бы и	2	3
126	что это	2	3
127	в этих	6	3
128	его и	2	3
129	это не	3	3
130	в конце	2	3
131	для нас	2	3
132	мы и	2	3
133	лишь как	2	3
134	конкретного высказывания	2	3
135	должна быть	3	3
136	того что	2	3
137	в него	7	3
138	в виду	3	3
139	слово как	4	3
140	по отношению	5	3
141	одной плоскости	2	3
142	той же	3	3
143	и что	5	3
144	в которых	2	3
145	и на	10	3
146	никак не	5	3
147	их в	4	3
148	сказать что	2	3
149	и с	5	3
150	а что	5	3
151	и следовательно	3	3
152	он и	3	3
153	в них	4	3
154	раз и	2	3
155	на фоне	5	3
156	у нас	2	3
157	того же	3	3
158	мы уже	3	3
159	во всех	4	3
160	о нем	6	3
161	отношению к	5	3
162	ее в	2	3
163	в произведении	4	3
164	в той	5	3
165	уже не	3	3
166	героя в	3	3
167	и эта	2	3
168	не на	4	3
169	в себе	5	3
170	может стать	4	3
171	в поэзии	2	3
172	он является	2	2
173	в сторону	2	2
174	для этого	2	2
175	в отношении	3	2
176	но так	2	2
177	переходит в	2	2
178	человека и	2	2
179	была бы	2	2
180	или иной	3	2
181	но это	4	2
182	такой же	3	2
183	художественного творчества	2	2
184	в последнем	3	2
185	в формах	3	2
186	к другому	5	2
187	но для	3	2
188	и очень	2	2
189	со всею	3	2
190	в котором	6	2
191	и др	2	2
192	нам кажется	5	2
193	художественного замысла	2	2
194	из них	2	2
195	для чего	2	2
196	отличается от	2	2
197	в своем	4	2
198	и только	3	2
199	отношения к	2	2
200	но эта	2	2
201	в самой	4	2
202	пределах одного	9	2
203	и даже	3	2
204	от одного	2	2
205	из этих	2	2
206	как он	2	2
207	конце концов	2	2
208	слово в	8	2
209	с его	4	2
210	сознания и	3	2
211	этом смысле	2	2
212	и со	3	2
213	и всякое	2	2
214	превращается в	2	2
215	не как	6	2
216	в такой	2	2
217	но при	3	2
218	из одного	4	2
219	стороны и	3	2
220	обойтись без	3	2
221	так чтобы	4	2
222	одна из	2	2
223	мы увидим	5	2
224	кажется что	3	2
225	в сущности	9	2
226	за пределы	3	2
227	вот как	4	2
228	этого слова	2	2
229	на почве	2	2
230	даже в	3	2
231	что и	3	2
232	тем не	2	2
233	внутренней речи	2	2
234	к самому	3	2
235	в отличие	4	2
236	бы не	2	2
237	человека в	4	2
238	чтобы не	2	2
239	и сами	2	2
240	в таком	2	2
241	что этот	2	2
242	слова как	3	2
243	ту же	2	2
244	и это	4	2
245	дело в	2	2
246	героя и	5	2
247	здесь не	6	2
248	отличие от	4	2
249	ничего не	3	2
250	в эту	3	2
