N	2gram	Vygotskiy__4	Dialekti
1	не есть	2	47
2	и не	8	30
3	может быть	12	20
4	и в	20	19
5	не только	15	19
6	а не	7	16
7	в себе	10	15
8	то что	15	14
9	в том	42	14
10	как бы	7	14
11	так как	10	14
12	потому что	12	14
13	но и	9	12
14	то же	16	12
15	не просто	2	12
16	значит что	2	12
17	точки зрения	24	12
18	что это	2	10
19	ни в	3	10
20	как и	9	10
21	и как	9	10
22	в нем	2	10
23	так и	5	10
24	том что	35	10
25	это не	5	10
26	сказать что	6	10
27	никогда не	5	9
28	не может	6	9
29	прежде всего	2	8
30	это значит	2	8
31	мы уже	5	8
32	с точки	11	8
33	не в	4	8
34	в этом	24	8
35	в своей	7	8
36	как это	9	7
37	но что	3	7
38	и к	5	7
39	совершенно не	3	7
40	что в	19	7
41	должно быть	3	7
42	и то	10	7
43	так что	3	7
44	что он	6	6
45	что они	14	6
46	отнюдь не	3	6
47	но не	3	6
48	того что	10	6
49	тогда когда	8	6
50	должна быть	2	5
51	с другой	12	5
52	в силу	6	5
53	по своему	4	5
54	в самом	6	5
55	что и	9	5
56	и это	2	5
57	и что	8	5
58	в смысле	4	5
59	только что	4	5
60	и его	5	5
61	но как	2	5
62	только в	10	5
63	о том	5	5
64	и с	4	5
65	в виду	3	5
66	содержит в	2	4
67	уже в	6	4
68	может не	2	4
69	нисколько не	2	4
70	а потом	2	4
71	в своем	4	4
72	ясно что	2	4
73	не могут	3	4
74	все же	5	4
75	при этом	12	4
76	одно и	6	4
77	еще не	2	4
78	к нему	2	4
79	связи с	3	4
80	от того	3	4
81	другой стороны	9	4
82	в связи	3	4
83	и только	4	4
84	том смысле	2	4
85	таким образом	25	4
86	что оно	4	4
87	заключается в	18	4
88	самом деле	7	4
89	а в	2	4
90	в таком	2	4
91	могут быть	7	4
92	в каком	2	4
93	и когда	3	4
94	по своей	6	4
95	как он	4	4
96	по одному	3	4
97	как только	2	3
98	не менее	3	3
99	и более	7	3
100	же как	6	3
101	все время	4	3
102	в этих	3	3
103	и от	3	3
104	как они	4	3
105	а только	3	3
106	как мы	13	3
107	даны в	2	3
108	в этой	3	3
109	что если	2	3
110	сейчас же	2	3
111	было бы	8	3
112	себе и	3	3
113	даже в	2	3
114	из них	4	3
115	то как	2	3
116	и тогда	2	3
117	с этим	5	3
118	мы имеем	2	3
119	в той	2	3
120	что такое	5	3
121	что этот	2	3
122	в данном	2	3
123	они не	2	3
124	в один	3	3
125	его в	6	3
126	когда мы	2	3
127	в чем	3	3
128	же не	2	3
129	связана с	2	2
130	уже и	2	2
131	только не	5	2
132	в частности	5	2
133	понятно что	2	2
134	в какой	3	2
135	перед нами	5	2
136	первого взгляда	3	2
137	именно в	3	2
138	если мы	10	2
139	к тому	6	2
140	что на	2	2
141	что уже	2	2
142	новые и	4	2
143	мы видим	10	2
144	более и	2	2
145	зависимости от	2	2
146	в истории	10	2
147	с тем	6	2
148	как известно	3	2
149	это мы	2	2
150	что с	4	2
151	же самого	2	2
152	мы в	2	2
153	на его	3	2
154	в сущности	4	2
155	не по	2	2
156	в ней	2	2
157	всяком случае	3	2
158	только к	3	2
159	раз в	2	2
160	себя в	3	2
161	на все	3	2
162	данном случае	2	2
163	в каждом	2	2
164	в их	12	2
165	как из	2	2
166	тому что	4	2
167	так же	11	2
168	того как	2	2
169	с одной	9	2
170	как в	5	2
171	нами выше	4	2
172	с первого	3	2
173	тем же	4	2
174	также и	2	2
175	в результате	8	2
176	их в	2	2
177	и при	4	2
178	между тем	9	2
179	тем что	7	2
180	в виде	3	2
181	когда оно	2	2
182	что здесь	2	2
183	что мы	7	2
184	мы должны	11	2
185	же самое	7	2
186	во всяком	4	2
187	что эти	2	2
188	все эти	5	2
189	в которой	3	2
190	в области	4	2
191	которые не	2	2
192	но в	3	2
193	вместе с	8	2
194	на этом	3	2
