N	2gram	Bakhtin_sl_2	Tvorches
1	и в	39	21
2	как бы	7	17
3	в то	4	15
4	в его	7	13
5	то же	4	13
6	в романах	3	13
7	что в	3	12
8	как и	6	12
9	же время	4	12
10	то есть	26	12
11	с его	7	11
12	том что	5	11
13	в романе	46	10
14	все это	16	10
15	как в	13	8
16	он не	2	8
17	то что	2	8
18	у него	3	7
19	в свою	3	7
20	в том	5	7
21	при этом	7	7
22	не только	24	7
23	и не	22	7
24	и на	4	7
25	но в	6	7
26	что он	2	6
27	жизни в	2	6
28	и все	5	6
29	не менее	4	6
30	для него	7	6
31	человека в	5	6
32	а в	4	6
33	и его	33	6
34	в этом	16	6
35	xix века	4	6
36	о том	2	6
37	вовсе не	10	5
38	а не	14	5
39	но это	3	5
40	может быть	37	5
41	все же	6	5
42	таким образом	8	5
43	хотя бы	3	5
44	только в	5	5
45	в своем	6	4
46	человека и	3	4
47	прежде всего	8	4
48	и как	3	4
49	одним из	2	4
50	один из	5	4
51	не может	20	4
52	это не	5	4
53	и от	3	4
54	в основном	4	4
55	уже в	2	3
56	и другие	2	3
57	никогда не	7	3
58	с другой	5	3
59	с ним	7	3
60	не был	2	3
61	сливается с	4	3
62	с ее	2	3
63	это и	2	3
64	в дальнейшем	2	3
65	но не	6	3
66	со всеми	2	3
67	на его	2	3
68	той же	3	3
69	просто не	2	3
70	даже в	2	3
71	в нем	19	3
72	и т	35	3
73	жизни и	6	3
74	но и	21	3
75	в их	2	3
76	уже не	5	3
77	и других	4	3
78	и даже	7	3
79	связан с	3	3
80	и с	9	3
81	хотя и	2	3
82	в виде	2	3
83	на протяжении	2	3
84	ту же	3	3
85	далеко не	2	3
86	дело в	2	3
87	так как	4	3
88	стремится к	3	3
89	в основе	4	2
90	может не	2	2
91	перед нами	3	2
92	однако в	2	2
93	в этих	7	2
94	эти слова	2	2
95	не столько	3	2
96	и мир	4	2
97	что и	3	2
98	с которым	2	2
99	влияние на	2	2
100	его как	2	2
101	не в	9	2
102	одна из	4	2
103	до конца	17	2
104	русский роман	2	2
105	в новых	2	2
106	в ней	3	2
107	же и	2	2
108	к ней	2	2
109	из себя	3	2
110	в него	7	2
111	которого он	2	2
112	его романах	2	2
113	вместе с	2	2
114	но она	2	2
115	так и	15	2
116	в отличие	12	2
117	как к	3	2
118	именно в	2	2
119	одновременно и	3	2
120	еще более	2	2
121	в себя	2	2
122	в одно	2	2
123	и наконец	5	2
124	отличие от	13	2
125	или в	2	2
126	людей и	2	2
127	сказать что	3	2
128	могут быть	7	2
129	но он	2	2
130	в данном	2	2
131	в себе	2	2
132	т п	33	2
133	не знает	2	2
134	героя и	5	2
135	так сказать	6	2
136	в чем	3	2
