N	2gram	Berdyaev_O_1	Dialekti
1	т е	4	46
2	не есть	2	40
3	и не	13	30
4	и есть	3	19
5	а не	11	18
6	может быть	11	17
7	ничего не	2	17
8	то что	5	16
9	и в	19	15
10	как бы	3	14
11	не имеет	2	14
12	так как	2	14
13	того что	3	13
14	по себе	2	13
15	это не	3	12
16	прежде всего	9	11
17	и вот	3	11
18	в том	5	11
19	не может	4	11
20	и все	10	11
21	в этом	12	11
22	личности и	2	10
23	потому что	9	10
24	том что	2	10
25	было бы	3	9
26	все это	6	9
27	не в	11	8
28	в себе	3	8
29	и о	2	8
30	не только	11	8
31	и ее	3	8
32	что в	4	7
33	что он	3	7
34	как и	6	7
35	и его	4	7
36	так что	2	6
37	хотя и	2	6
38	сказать что	2	6
39	что и	2	6
40	нет ничего	7	6
41	так и	2	5
42	в своем	2	5
43	же это	2	5
44	того чтобы	4	5
45	в нем	10	5
46	и на	2	5
47	о том	3	5
48	с его	4	5
49	учение о	2	5
50	для того	3	5
51	и для	2	5
52	что все	2	4
53	в этой	5	4
54	что они	2	4
55	ни с	7	4
56	но и	13	4
57	и с	2	4
58	с тем	2	4
59	еще не	3	4
60	хотя бы	3	4
61	в его	7	4
62	и нет	2	3
63	все эти	4	3
64	свободы и	2	3
65	даже и	2	3
66	в истории	2	3
67	с ним	3	3
68	но в	2	3
69	к этому	2	3
70	в своей	2	3
71	и потому	2	3
72	когда он	3	3
73	что не	4	3
74	и то	2	3
75	могут быть	3	3
76	от него	7	3
77	не могут	3	2
78	в человеке	9	2
79	человека и	10	2
80	вопрос о	10	2
81	что человек	3	2
82	в самом	5	2
83	никогда не	9	2
84	у достоевского	19	2
85	природы и	2	2
86	не было	9	2
87	лишь в	7	2
88	должно быть	2	2
89	всегда есть	4	2
90	он всегда	7	2
91	и ни	2	2
92	никогда и	2	2
93	в ее	2	2
94	все же	2	2
95	все что	3	2
96	и из	2	2
97	никто не	3	2
98	что есть	2	2
99	в этот	2	2
100	нем нет	3	2
101	ее в	2	2
102	что же	2	2
103	в глубине	7	2
104	ничто не	2	2
105	тем что	2	2
106	в которой	2	2
107	не могли	2	2
108	это было	3	2
