N	2gram	Tiupa_Teor_1	Psycholo
1	то что	3	32
2	и в	18	31
3	в том	16	30
4	то есть	12	26
5	что в	9	23
6	может быть	17	22
7	таким образом	3	20
8	при этом	12	19
9	художественного произведения	4	17
10	не может	4	17
11	как и	4	16
12	том что	9	16
13	и не	13	16
14	точки зрения	9	15
15	только в	6	14
16	а не	9	13
17	не только	16	13
18	что и	2	13
19	так же	2	12
20	если мы	2	12
21	в этом	8	12
22	в самом	4	11
23	могут быть	4	11
24	не в	7	11
25	в области	4	11
26	того что	4	10
27	потому что	3	10
28	искусства в	2	9
29	ни в	2	9
30	как в	5	9
31	никогда не	4	8
32	произведение искусства	5	8
33	всякий раз	2	8
34	вместе с	2	8
35	все это	2	8
36	и что	3	8
37	есть в	2	7
38	и его	8	7
39	заключается в	2	7
40	сказать что	3	7
41	вовсе не	3	6
42	одной стороны	2	6
43	если бы	3	6
44	из этих	3	6
45	вслед за	2	6
46	отнюдь не	3	6
47	а в	13	6
48	что она	2	6
49	и даже	2	6
50	в его	6	6
51	не является	4	5
52	в ее	5	5
53	с одной	2	5
54	говорит что	2	5
55	в какой	2	5
56	как бы	5	5
57	в целом	3	5
58	другой стороны	5	5
59	и для	2	5
60	то же	7	5
61	с другой	7	5
62	иначе говоря	4	5
63	в то	6	5
64	как будто	2	5
65	к тому	2	4
66	в которой	2	4
67	и другие	2	4
68	в виду	5	4
69	искусства как	2	4
70	прежде всего	2	4
71	тому что	2	4
72	столь же	2	4
73	в себе	9	4
74	отличие от	6	4
75	у нас	2	4
76	от себя	3	4
77	и о	4	4
78	один из	2	4
79	в этих	3	4
80	со стороны	2	4
81	совпадает с	3	4
82	в искусстве	6	4
83	этого слова	3	4
84	между тем	5	4
85	как это	8	4
86	мы имеем	7	4
87	не могут	2	3
88	произведении искусства	2	3
89	только не	2	3
90	состоит в	17	3
91	в частности	16	3
92	могут служить	2	3
93	конечном счете	6	3
94	в своем	4	3
95	и к	3	3
96	не будет	2	3
97	но не	9	3
98	в этой	3	3
99	хотя и	3	3
100	в слове	3	3
101	он не	3	3
102	в конечном	6	3
103	в своей	6	3
104	так и	10	3
105	который в	2	3
106	в отличие	6	3
107	мышления и	2	3
108	и вот	3	3
109	и по	2	3
110	роль в	2	3
111	слова в	2	3
112	в конце	2	3
113	и это	2	3
114	в художественном	3	3
115	в произведении	3	3
116	на деле	2	3
117	но в	9	3
118	в основе	3	2
119	не менее	4	2
120	тот кто	2	2
121	этих двух	2	2
122	и составляет	3	2
123	казалось бы	2	2
124	этом смысле	2	2
125	и как	2	2
126	в них	2	2
127	имеет в	2	2
128	одного и	3	2
129	в жизни	2	2
130	или иных	3	2
131	и здесь	2	2
132	а только	3	2
133	тем не	3	2
134	уже не	4	2
135	и потому	2	2
136	представляет собой	9	2
137	более или	2	2
138	в качестве	24	2
139	того же	3	2
140	без остатка	2	2
141	или иным	3	2
142	случае не	2	2
143	это отношение	3	2
144	имеет место	2	2
145	из которого	3	2
146	в стихе	2	2
147	тех или	3	2
148	далеко не	2	2
149	к жизни	2	2
150	на почве	4	2
151	даже в	3	2
152	и тем	3	2
153	в нем	4	2
154	как говорит	3	2
155	отношение к	5	2
156	но и	9	2
157	или менее	2	2
158	приводит к	5	2
159	отличается от	2	2
160	как раз	2	2
161	в себя	3	2
162	на основе	2	2
163	тем самым	4	2
164	к чему	2	2
165	с точки	3	2
166	как к	2	2
167	их в	3	2
168	в лирическом	2	2
169	и то	2	2
170	в поэзии	2	2
171	его в	2	2
172	искусства но	3	2
173	в одном	2	2
