N	2gram	Losev_Dial_1	Mirosoze
1	может быть	17	30
2	не только	13	29
3	и в	18	28
4	не может	12	28
5	но и	7	25
6	а не	14	25
7	он не	3	24
8	в этом	12	20
9	не было	6	18
10	не в	6	16
11	это –	24	16
12	потому что	14	16
13	в ней	3	15
14	в своей	2	15
15	и есть	16	14
16	никогда не	9	14
17	в нем	16	13
18	он –	18	12
19	и он	5	12
20	и это	2	12
21	для него	2	11
22	в самом	3	11
23	и не	30	11
24	что в	13	10
25	в своем	5	10
26	в мире	2	10
27	прежде всего	10	10
28	и все	3	10
29	что он	11	10
30	было бы	12	10
31	и потому	3	10
32	в его	3	9
33	не есть	40	9
34	но не	4	8
35	в котором	4	8
36	быть может	4	7
37	не был	2	7
38	того что	2	7
39	в конце	4	7
40	но в	6	7
41	к нему	8	7
42	в себе	11	7
43	он сам	5	6
44	должна быть	3	6
45	в том	9	6
46	все это	11	6
47	только в	3	6
48	это не	9	5
49	– не	11	5
50	как и	2	5
51	то что	13	5
52	в этих	5	4
53	с этой	2	4
54	не знает	2	4
55	мог бы	2	4
56	отношение к	5	4
57	ни с	6	4
58	в их	3	4
59	отношения к	3	4
60	а в	5	4
61	в которых	2	4
62	точки зрения	17	4
63	в них	3	4
64	не как	2	4
65	один из	3	4
66	это и	4	4
67	от него	4	4
68	она не	6	4
69	к ней	4	4
70	что и	3	4
71	есть не	3	4
72	уже не	2	4
73	значит что	14	4
74	и вот	6	3
75	к тому	4	3
76	это есть	9	3
77	это значит	11	3
78	но если	5	3
79	в него	2	3
80	и их	2	3
81	только и	4	3
82	не имеет	15	3
83	должно быть	3	3
84	его не	6	3
85	с этим	2	3
86	и еще	3	3
87	так как	11	3
88	и с	5	3
89	на этом	2	3
90	к богу	3	3
91	том что	9	3
92	учение о	11	3
93	есть и	5	3
94	ничего не	17	3
95	мы увидим	2	3
96	что человек	2	3
97	конечно не	3	3
98	бы и	2	3
99	– все	6	3
100	хотя бы	6	3
101	и от	2	2
102	вопрос о	2	2
103	свет и	2	2
104	о чем	2	2
105	для того	2	2
106	и мы	5	2
107	в виду	5	2
108	себе и	2	2
109	его с	3	2
110	жизни и	3	2
111	могут быть	3	2
112	отличается от	2	2
113	все эти	2	2
114	и что	12	2
115	есть только	5	2
116	время как	2	2
117	света и	3	2
118	также и	7	2
119	сказать что	10	2
120	даже и	3	2
121	он и	2	2
122	как бы	11	2
123	о том	4	2
124	как он	4	2
125	не значит	3	2
126	бы в	3	2
127	с ним	6	2
128	не существует	7	2
129	в основе	3	2
130	человеческого сознания	2	2
131	если бы	12	2
132	к этому	2	2
133	мы видим	4	2
134	в то	6	2
135	до сих	2	2
136	никто не	2	2
137	о своих	2	2
138	относится к	2	2
139	же можно	2	2
140	все же	5	2
141	по сравнению	2	2
142	с ней	2	2
143	сих пор	2	2
144	как в	2	2
145	мысли и	3	2
146	на земле	2	2
147	т е	25	2
148	чтобы не	2	2
149	и у	2	2
150	и как	7	2
151	и для	2	2
152	конце концов	3	2
153	образ и	4	2
154	от этого	3	2
155	в каком	8	2
156	я всегда	2	2
157	отношении к	3	2
158	в идее	2	2
