N	3gram	Tiupa_Narr_1	Narrotol
1	в том что	8	8
2	в данном случае	4	6
3	не сводится к	2	6
4	не только в	2	6
5	в отличие от	5	5
6	коммуникативного события рассказывания	3	5
7	по отношению к	6	5
8	с одной стороны	7	5
9	состоит в том	3	4
10	к тому же	4	4
11	тем не менее	3	4
12	о том что	6	4
13	можно сказать что	4	3
14	в конечном счете	2	3
15	то же время	3	3
16	в известном смысле	2	3
17	и представляет собой	2	3
18	той или иной	4	3
19	в то же	3	3
20	в этом отношении	3	3
21	того или иного	2	3
22	от эпизода к	2	2
23	тогда как в	2	2
24	с точки зрения	2	2
25	подобно тому как	2	2
26	не может быть	5	2
27	и тем самым	3	2
28	при всей своей	2	2
29	на том свете	2	2
30	точно так же	2	2
31	так же как	2	2
32	мы имеем дело	2	2
33	эпизода к эпизоду	2	2
34	все те же	4	2
