N	3gram	Vygotskiy__5	Psycholo
1	для того чтобы	14	19
2	в том что	11	12
3	о том что	4	10
4	в самом деле	2	7
5	то же самое	4	6
6	с самого начала	5	5
7	с точки зрения	9	4
8	что он не	2	4
9	можно было бы	3	4
10	друг с другом	7	4
11	то что он	2	3
12	не то что	3	3
13	так же как	7	3
14	том что он	2	3
15	так как это	3	3
16	к тому чтобы	4	3
17	сама по себе	4	3
18	с одной стороны	3	3
19	до сих пор	3	3
20	так как она	2	3
21	заключается в том	5	3
22	же самое что	2	2
23	в сущности говоря	4	2
24	в то время	4	2
25	мы видим что	2	2
26	вместе с тем	2	2
27	потому что он	5	2
28	о том как	2	2
29	с другой стороны	2	2
30	и в частности	2	2
31	таким образом в	2	2
32	не только не	3	2
33	вместо того чтобы	3	2
34	таким образом что	2	2
35	то время как	4	2
