N	3gram	Potebnia_M_4	Psycholo
1	на то что	4	12
2	в том что	7	11
3	с точки зрения	3	9
4	то же самое	4	8
5	для того чтобы	4	8
6	и т п	4	5
7	до сих пор	4	5
8	и т д	3	4
9	и в этом	4	3
10	о том что	5	3
11	мы могли бы	2	3
12	то и другое	2	3
13	до такой степени	5	3
14	и то что	4	3
15	в данном случае	2	2
16	мы не можем	3	2
17	в том смысле	2	2
18	не то что	3	2
19	не в том	2	2
20	и как бы	2	2
21	все более и	2	2
22	только в том	2	2
23	то что в	2	2
24	вместе с тем	3	2
25	во всяком случае	3	2
26	на самом деле	3	2
27	более и более	2	2
