N	3gram	Vygotskiy__1	EvropaiC
1	в том что	9	16
2	до сих пор	3	12
3	с точки зрения	2	8
4	более или менее	2	7
5	на то что	8	7
6	на самом деле	2	7
7	для того чтобы	5	6
8	в самом деле	7	5
9	не может быть	8	4
10	о том что	7	4
11	тем не менее	2	4
12	в конце концов	3	4
13	с другой стороны	5	4
14	в том случае	2	4
15	так же как	4	3
16	в целом ряде	2	3
17	в настоящее время	2	3
18	заключается в том	6	3
19	то что у	3	2
20	не в состоянии	3	2
21	несмотря на то	2	2
22	с одной стороны	5	2
23	как и в	4	2
24	в том и	2	2
25	во всяком случае	6	2
26	вместе с тем	2	2
