N	2gram	Tiupa_Anal_3	Literetu
1	а не	9	20
2	и в	18	19
3	может быть	9	17
4	своего рода	8	13
5	то же	3	12
6	и не	12	11
7	и т.п	5	10
8	в том	9	10
9	как и	14	10
10	но и	13	10
11	состоит в	4	9
12	же время	3	9
13	такого рода	5	9
14	не может	2	9
15	тогда как	20	9
16	в мире	5	9
17	в этом	14	9
18	в то	3	9
19	с другой	7	8
20	не только	22	8
21	и даже	8	8
22	том что	12	7
23	то что	2	7
24	так и	14	7
25	с одной	2	7
26	я в	5	7
27	и т.д	2	7
28	не менее	4	6
29	однако в	5	6
30	в себе	2	6
31	одной стороны	2	6
32	при этом	11	6
33	себя в	4	6
34	и на	4	6
35	для всех	2	5
36	конечном счете	2	5
37	столь же	4	5
38	одна из	2	5
39	но не	7	5
40	в качестве	12	5
41	он не	6	5
42	в конечном	2	5
43	вместе с	2	5
44	так в	3	5
45	в году	3	5
46	в принципе	2	5
47	то есть	10	5
48	в рамках	3	4
49	лирическое я	2	4
50	что в	9	4
51	в частности	12	4
52	прежде всего	5	4
53	не в	6	4
54	отнюдь не	4	4
55	того же	5	4
56	для него	6	4
57	в ней	2	4
58	в его	7	4
59	даже в	2	4
60	один из	2	4
61	ли не	4	4
62	другой стороны	5	4
63	мы не	3	4
64	по отношению	7	4
65	тем что	2	4
66	точки зрения	3	4
67	в искусстве	2	4
68	в русской	7	4
69	не случайно	8	4
70	едва ли	3	4
71	я и	3	4
72	никогда не	5	3
73	о себе	2	3
74	личности в	3	3
75	в себя	2	3
76	что он	4	3
77	русской поэзии	2	3
78	в нем	2	3
79	наш взгляд	2	3
80	и как	4	3
81	в начале	6	3
82	в этой	6	3
83	в противовес	2	3
84	и он	2	3
85	в сущности	5	3
86	во всех	2	3
87	вплоть до	2	3
88	не с	2	3
89	отношению к	7	3
90	в культуре	2	3
91	данном случае	3	3
92	со стороны	9	3
93	в их	6	3
94	и для	2	3
95	этом отношении	3	3
96	но с	2	3
97	всего лишь	8	3
98	тем самым	4	3
99	с точки	2	3
100	а в	10	3
101	и его	13	3
102	в глазах	2	3
103	не столько	3	3
104	на наш	2	3
105	следует признать	3	3
106	в данном	4	3
107	как к	2	3
108	как правило	5	3
109	ничего не	3	3
110	без остатка	2	3
111	уже в	3	2
112	не было	3	2
113	к жизни	3	2
114	с тем	2	2
115	восходит к	3	2
116	не является	5	2
117	в них	2	2
118	в противоположность	2	2
119	по крайней	4	2
120	в конце	5	2
121	в одном	4	2
122	в жизни	2	2
123	в каждом	3	2
124	как уже	2	2
125	на два	2	2
126	и к	4	2
127	а также	2	2
128	о которой	2	2
129	крайней мере	4	2
130	в ее	3	2
131	системе ценностей	2	2
132	тем не	2	2
133	очевидно что	2	2
134	к собственной	2	2
135	и без	3	2
136	еще не	6	2
137	было бы	3	2
138	и сам	4	2
139	со своей	8	2
140	нам представляется	2	2
141	свое время	2	2
142	как бы	10	2
143	в свое	2	2
144	картина мира	4	2
145	если в	3	2
146	что и	5	2
147	все же	4	2
148	с ее	3	2
149	же в	2	2
150	в целом	3	2
151	могут быть	2	2
152	по преимуществу	2	2
153	русской литературе	4	2
154	как раз	7	2
155	коммуникативной стратегии	4	2
156	той же	5	2
157	уже не	5	2
158	путь к	3	2
159	коммуникативного события	11	2
160	не более	2	2
161	что не	3	2
162	в сравнении	2	2
163	сравнении с	2	2
164	являет собой	3	2
165	то в	2	2
166	в результате	5	2
167	подобно тому	3	2
168	на себя	2	2
169	он и	3	2
170	но как	3	2
171	о том	6	2
172	представляет собой	5	2
173	тому как	2	2
174	как это	3	2
175	но в	2	2
