N	2gram	Tiupa_Anal_2	FransuaR
1	и в	16	65
2	то есть	9	45
3	как бы	10	22
4	и не	12	22
5	вовсе не	2	18
6	и т.п	8	17
7	в сущности	4	16
8	в том	12	16
9	в этом	18	15
10	но в	6	14
11	прежде всего	3	11
12	и на	6	11
13	и его	4	10
14	не только	16	10
15	но и	12	10
16	так и	15	10
17	в его	2	9
18	во всех	4	9
19	все это	4	9
20	в своем	4	8
21	здесь в	2	8
22	и даже	9	8
23	за пределы	4	8
24	его в	2	7
25	точки зрения	4	7
26	только в	4	7
27	никогда не	3	6
28	не знает	3	6
29	том что	12	6
30	как мы	3	6
31	в значительной	2	6
32	еще не	2	6
33	при этом	10	6
34	может быть	6	6
35	сказать что	2	6
36	одно из	2	6
37	в одном	2	5
38	в частности	16	5
39	еще более	2	5
40	превращается в	2	5
41	отличие от	2	5
42	на протяжении	2	5
43	есть в	3	5
44	или иной	3	5
45	для него	4	5
46	в своей	2	5
47	той или	3	5
48	и одновременно	3	5
49	как в	4	5
50	как и	14	5
51	с их	2	5
52	между тем	2	5
53	и все	3	5
54	в общем	2	4
55	и к	5	4
56	не в	4	4
57	в этой	9	4
58	в самом	6	4
59	из них	3	4
60	и до	2	4
61	в их	3	4
62	в отличие	2	4
63	на всех	2	4
64	что в	2	3
65	на котором	2	3
66	в состоянии	2	3
67	и во	2	3
68	на фоне	3	3
69	даже в	2	3
70	с точки	2	3
71	то что	7	3
72	на этой	2	3
73	и их	2	3
74	как раз	4	3
75	не может	4	3
76	этом отношении	3	3
77	в себя	4	3
78	уже не	4	3
79	с другой	6	3
80	он и	2	3
81	в себе	7	3
82	с ним	2	3
83	ничего не	9	3
84	но не	4	2
85	к тому	7	2
86	в противоположность	2	2
87	или даже	2	2
88	ни с	2	2
89	можно сказать	4	2
90	так например	2	2
91	его от	3	2
92	он был	2	2
93	а затем	2	2
94	от своего	2	2
95	одной стороны	4	2
96	и он	2	2
97	несмотря на	3	2
98	на его	3	2
99	значительной степени	2	2
100	при всей	3	2
101	хотя и	4	2
102	он не	2	2
103	в таких	2	2
104	и особенно	4	2
105	и для	2	2
106	в целом	8	2
107	во второй	4	2
108	на него	2	2
109	в эпизоде	10	2
110	приводит к	3	2
111	только на	3	2
112	отношения к	2	2
113	особенно в	7	2
114	с одной	5	2
115	но эта	2	2
116	того что	2	2
117	при таком	2	2
118	на этот	2	2
119	роль в	2	2
120	в таком	2	2
121	или в	3	2
122	в этих	2	2
123	речи и	2	2
124	могут быть	10	2
125	о том	7	2
126	жизни но	2	2
127	это было	2	2
