N	2gram	Potebnia_M_3	Literetu
1	и не	15	22
2	тогда как	2	17
3	и в	30	16
4	при этом	3	15
5	не только	21	14
6	но и	19	14
7	в этом	10	14
8	а не	15	12
9	то что	18	12
10	может быть	28	12
11	в том	32	12
12	не в	15	10
13	я и	3	10
14	то же	23	9
15	так и	11	9
16	того что	18	9
17	в то	10	9
18	том что	18	8
19	не может	6	8
20	в этой	2	8
21	как бы	3	8
22	в своей	2	7
23	же время	5	7
24	со стороны	3	7
25	тем самым	7	7
26	точки зрения	2	7
27	только в	21	7
28	с другой	7	6
29	к тому	7	6
30	еще не	5	6
31	в его	4	6
32	и его	4	6
33	в себе	16	6
34	о том	2	6
35	что он	6	5
36	в ее	2	5
37	как и	10	5
38	в целом	3	5
39	вместе с	12	5
40	как в	10	5
41	а в	12	5
42	этом отношении	2	5
43	именно в	3	5
44	что я	5	5
45	то есть	34	5
46	место в	3	4
47	но не	7	4
48	даже в	2	4
49	одной стороны	3	4
50	и если	2	4
51	в начале	3	4
52	отношению к	5	4
53	из них	6	4
54	не говоря	3	4
55	в природе	2	4
56	по отношению	5	4
57	входит в	2	4
58	я как	5	4
59	с одной	7	4
60	должно быть	5	4
61	одно из	5	4
62	в одном	2	4
63	на свою	2	3
64	свое место	2	3
65	прежде всего	3	3
66	и как	5	3
67	например в	6	3
68	на его	2	3
69	в самом	8	3
70	вслед за	3	3
71	в слове	32	3
72	искусства и	3	3
73	и тем	5	3
74	жизни и	2	3
75	в словах	3	3
76	уже не	6	3
77	самом деле	2	3
78	и наконец	2	3
79	как на	5	3
80	той же	2	3
81	тому как	5	3
82	потому что	46	3
83	там где	3	3
84	в области	2	3
85	между тем	9	3
86	художественного произведения	5	2
87	жизни не	3	2
88	что в	17	2
89	не менее	5	2
90	если бы	12	2
91	на свое	3	2
92	так или	2	2
93	быть может	3	2
94	как о	2	2
95	оно не	4	2
96	с этой	2	2
97	не как	2	2
98	к этому	3	2
99	не всегда	2	2
100	по себе	16	2
101	большей части	2	2
102	и вместе	3	2
103	на то	2	2
104	в нем	9	2
105	не я	3	2
106	же в	2	2
107	на слово	2	2
108	и при	4	2
109	связи с	2	2
110	это последнее	2	2
111	между людьми	2	2
112	в свою	3	2
113	для него	9	2
114	можно сказать	3	2
115	было бы	9	2
116	что не	8	2
117	несмотря на	2	2
118	том чтобы	2	2
119	себя и	4	2
120	для себя	3	2
121	один из	4	2
122	то это	6	2
123	что и	13	2
124	все же	2	2
125	художника и	2	2
126	отношение к	2	2
127	время в	3	2
128	и тогда	3	2
129	как мы	7	2
130	так же	3	2
131	в нас	2	2
132	а и	4	2
133	быть не	2	2
134	художественное произведение	6	2
135	если не	4	2
136	и наоборот	4	2
137	из того	2	2
138	того чтобы	3	2
139	для того	4	2
140	другой стороны	4	2
141	и даже	2	2
142	но без	2	2
143	и на	3	2
144	и с	2	2
145	быть только	4	2
146	тем что	7	2
147	эти слова	2	2
148	подобно тому	2	2
149	далеко не	4	2
150	еще раз	2	2
151	за ним	3	2
152	не знает	3	2
153	его в	3	2
154	в первом	3	2
155	и потому	4	2
156	здесь как	3	2
157	в каждой	4	2
158	для меня	4	2
159	вне себя	2	2
