N	2gram	Bakhtin_Fr_8	KulturaY
1	потому что	6	25
2	и в	56	23
3	не только	8	20
4	в том	13	19
5	в этом	14	18
6	и не	9	16
7	было бы	2	15
8	так как	4	15
9	может быть	3	15
10	точки зрения	6	14
11	если бы	2	12
12	в самом	9	12
13	все эти	15	12
14	том что	8	11
15	того чтобы	4	11
16	в области	5	11
17	но в	6	11
18	что в	5	10
19	а не	2	10
20	вовсе не	6	9
21	в сущности	8	9
22	то что	3	9
23	самом деле	2	9
24	для того	2	9
25	не может	2	9
26	с другой	2	8
27	прежде всего	6	8
28	не в	3	8
29	в качестве	4	8
30	уже не	3	8
31	с точки	2	8
32	языка и	6	8
33	что это	4	7
34	в нашем	2	7
35	все же	2	7
36	но и	9	7
37	другой стороны	2	7
38	с помощью	3	7
39	и с	8	7
40	это не	2	6
41	в этой	6	6
42	но не	5	6
43	в речи	2	6
44	то же	11	6
45	между тем	3	6
46	и на	7	6
47	ту же	4	6
48	что все	4	5
49	что он	2	5
50	еще не	10	5
51	несмотря на	2	5
52	в его	18	5
53	один из	5	5
54	слова и	3	5
55	вместе с	2	5
56	все это	8	5
57	таким образом	17	5
58	там где	3	5
59	целый ряд	2	5
60	и то	2	5
61	речи и	3	5
62	и здесь	3	5
63	только в	9	5
64	также и	2	5
65	в узком	2	4
66	в них	11	4
67	перед нами	3	4
68	к этому	2	4
69	бы и	2	4
70	можно сказать	2	4
71	что на	2	4
72	ни в	2	4
73	в пределах	5	4
74	своего рода	5	4
75	хотя и	2	4
76	как бы	11	4
77	в нем	8	4
78	так же	2	4
79	в связи	3	4
80	не было	5	4
81	и о	3	4
82	в данном	2	4
83	в результате	5	4
84	сказать что	3	4
85	в каком	2	4
86	в то	12	4
87	в особенности	4	4
88	так и	13	4
89	уже в	2	3
90	казалось бы	3	3
91	у него	7	3
92	всех этих	3	3
93	главным образом	3	3
94	же время	10	3
95	а также	3	3
96	но это	2	3
97	большей или	3	3
98	до конца	11	3
99	в большей	3	3
100	связи с	6	3
101	меньшей степени	3	3
102	в ней	4	3
103	он не	5	3
104	что и	3	3
105	в процессе	5	3
106	что она	2	3
107	как раз	2	3
108	в форме	3	3
109	как мы	7	3
110	из которых	2	3
111	а в	2	3
112	и его	12	3
113	языка в	2	3
114	или меньшей	3	3
115	в таких	3	3
116	в отношении	5	2
117	и более	4	2
118	с тем	2	2
119	это в	2	2
120	в частности	7	2
121	никогда не	5	2
122	с этой	2	2
123	не как	2	2
124	и все	6	2
125	и до	10	2
126	не просто	3	2
127	его к	3	2
128	что они	2	2
129	узком смысле	2	2
130	в другом	3	2
131	и потому	4	2
132	с одной	4	2
133	а на	2	2
134	вся эта	2	2
135	язык и	2	2
136	когда в	2	2
137	при этом	4	2
138	язык в	4	2
139	конечно не	4	2
140	по преимуществу	2	2
141	указывает что	2	2
142	и даже	8	2
143	был бы	3	2
144	к нему	2	2
145	мы видели	5	2
146	в своей	2	2
147	дело не	2	2
148	все они	6	2
149	данном случае	2	2
150	в их	3	2
151	в своем	3	2
152	не на	3	2
153	того как	2	2
154	и для	2	2
155	еще и	3	2
156	на самом	2	2
157	как и	5	2
158	образом в	2	2
159	в году	3	2
160	в той	6	2
161	здесь мы	3	2
162	той же	6	2
163	что для	3	2
164	рядом с	3	2
165	роль в	5	2
166	конечно и	3	2
167	в которых	2	2
168	характер и	3	2
169	он и	2	2
170	в своих	4	2
171	и еще	2	2
172	большинстве случаев	6	2
173	слов и	3	2
