N	2gram	Kanaev_Sov_1	OGranits
1	и в	7	13
2	прежде всего	5	9
3	не может	17	8
4	и не	6	8
5	может быть	12	8
6	точки зрения	12	7
7	и пр	2	7
8	в его	2	7
9	таким образом	11	6
10	не только	4	6
11	мы должны	4	6
12	как бы	4	6
13	все же	3	5
14	с точки	5	5
15	и т.д	3	5
16	и наконец	5	5
17	то же	3	4
18	но мы	3	4
19	все это	3	4
20	в каждом	8	4
21	мы не	9	4
22	мы можем	6	4
23	было бы	3	4
24	но в	3	4
25	что в	2	3
26	что же	5	3
27	и все	3	3
28	в одном	3	3
29	точку зрения	4	3
30	самом деле	2	3
31	как и	6	3
32	не в	3	3
33	в которой	2	3
34	в себе	3	3
35	говорить о	2	3
36	с этим	2	3
37	так как	4	3
38	не менее	2	2
39	уже в	3	2
40	самого начала	3	2
41	в нем	3	2
42	может иметь	2	2
43	в целом	4	2
44	а не	3	2
45	говорить об	2	2
46	а в	4	2
47	с одной	2	2
48	все эти	5	2
49	роль в	2	2
50	конечно в	2	2
51	на две	3	2
52	с самого	3	2
53	и к	3	2
54	в том	4	2
55	в которую	2	2
56	в зависимости	4	2
57	мы видим	2	2
58	с помощью	4	2
59	зависимости от	4	2
60	в этом	7	2
61	могут быть	2	2
62	при этом	3	2
63	тот же	2	2
64	мы получим	3	2
65	в области	3	2
66	в самом	2	2
