N	2gram	Losev_Prob_5	Komedia
1	и в	30	22
2	и не	12	21
3	том что	17	13
4	в том	12	12
5	таким образом	13	12
6	так как	6	11
7	ни в	4	10
8	потому что	13	10
9	до сих	2	9
10	в самом	5	9
11	вместе с	7	9
12	сих пор	2	9
13	в своем	11	8
14	что он	7	8
15	в его	12	8
16	что и	6	8
17	в этом	17	8
18	о том	12	8
19	его в	6	8
20	об этом	4	7
21	при этом	4	7
22	в свою	2	7
23	то же	2	7
24	едва ли	4	7
25	а в	6	7
26	в конце	8	7
27	к этому	2	6
28	ясно что	4	6
29	того же	4	6
30	еще не	3	6
31	для того	3	6
32	к тому	2	6
33	iii в	4	6
34	может быть	7	6
35	как раз	5	6
36	самом деле	2	6
37	и что	6	6
38	того чтобы	2	6
39	так что	11	6
40	и его	6	6
41	в то	4	6
42	не менее	5	5
43	связи с	7	5
44	что в	5	5
45	прежде всего	6	5
46	что его	3	5
47	и сам	4	5
48	хотя и	8	5
49	не только	18	5
50	в своей	22	5
51	отношение к	2	5
52	из них	2	5
53	по отношению	2	5
54	он не	3	5
55	iv в	4	5
56	тем что	2	5
57	любви к	2	5
58	к нему	3	5
59	с ним	3	5
60	но в	9	5
61	с тем	5	4
62	но все	4	4
63	у него	11	4
64	отнюдь не	4	4
65	однако в	3	4
66	с другой	6	4
67	вовсе не	8	4
68	он был	2	4
69	все же	9	4
70	не в	7	4
71	несмотря на	6	4
72	в ней	3	4
73	то что	18	4
74	когда он	2	4
75	но и	13	4
76	на него	2	4
77	и речи	2	4
78	в отношении	3	4
79	до нас	7	4
80	с помощью	2	4
81	а не	5	4
82	и для	6	4
83	так же	5	4
84	тут же	6	4
85	точки зрения	10	4
86	в себе	4	4
87	в связи	7	4
88	так и	7	4
89	хотя бы	2	4
90	и с	5	4
91	на месте	2	3
92	прежде чем	2	3
93	в частности	4	3
94	никогда не	7	3
95	в них	2	3
96	в глаза	2	3
97	то ни	2	3
98	в какой	2	3
99	с этой	2	3
100	если не	4	3
101	по всему	2	3
102	в нем	6	3
103	далеко не	4	3
104	на то	2	3
105	нисколько не	5	3
106	и к	4	3
107	тем не	5	3
108	в ее	3	3
109	как и	7	3
110	в начале	3	3
111	в этой	10	3
112	который в	9	3
113	все что	2	3
114	одной стороны	3	3
115	было бы	4	3
116	конечно не	2	3
117	как бы	6	3
118	один из	2	3
119	отношению к	2	3
120	не может	5	3
121	с одной	3	3
122	что не	2	3
123	с точки	8	3
124	тем же	3	3
125	и даже	14	3
126	не так	4	3
127	в других	3	3
128	мы можем	5	3
129	во всяком	2	3
130	в которой	5	3
131	ничего не	2	3
132	всяком случае	2	3
133	только для	2	2
134	уже в	2	2
135	все время	3	2
136	в ст	2	2
137	в качестве	4	2
138	и без	2	2
139	как в	2	2
140	не будет	2	2
141	это не	2	2
142	равно как	2	2
143	нового времени	4	2
144	и все	9	2
145	в одном	3	2
146	человека и	4	2
147	представление о	2	2
148	если он	2	2
149	не могут	2	2
150	без всякого	2	2
151	трагедии и	2	2
152	по существу	2	2
153	из всех	2	2
154	в силу	5	2
155	что они	3	2
156	бы то	2	2
157	то время	3	2
158	тот же	3	2
159	не мог	4	2
160	на его	2	2
161	он говорит	2	2
162	и о	5	2
163	н э	18	2
164	конце концов	6	2
165	а также	3	2
166	и он	4	2
167	в котором	2	2
168	и готов	2	2
169	ii в	2	2
170	раз в	2	2
171	наряду с	2	2
172	как мы	2	2
173	другой стороны	6	2
174	все еще	4	2
175	при всем	2	2
176	его не	2	2
177	бы не	3	2
178	по мнению	2	2
179	время как	3	2
180	мы не	2	2
181	у еврипида	2	2
182	в эпоху	3	2
183	ли в	2	2
184	за то	2	2
185	в таком	2	2
186	можно было	2	2
187	и на	6	2
188	людей и	13	2
189	ли не	2	2
190	в результате	7	2
191	между тем	2	2
192	и дать	2	2
193	что касается	3	2
194	он и	5	2
195	обстоятельство что	2	2
196	в другом	3	2
197	и после	3	2
198	его на	2	2
199	из этого	4	2
200	здесь не	7	2
201	в области	2	2
202	больше чем	2	2
203	в виду	3	2
