N	2gram	Tiupa_Teor_1	Formalny
1	и в	18	38
2	в этом	8	27
3	может быть	17	23
4	и его	8	21
5	таким образом	3	20
6	и не	13	20
7	в самом	4	16
8	прежде всего	2	15
9	не в	7	15
10	не может	4	14
11	в нем	4	13
12	но и	9	13
13	в пределах	5	12
14	в поэзии	2	12
15	с его	5	11
16	в том	16	11
17	вовсе не	3	11
18	в его	6	10
19	с другими	5	10
20	как и	4	9
21	при этом	12	9
22	не только	16	9
23	на почве	4	9
24	языка в	4	9
25	отнюдь не	3	8
26	что и	2	8
27	так и	10	8
28	точки зрения	9	8
29	что в	9	7
30	не могут	2	7
31	для него	2	7
32	во втором	3	7
33	в своей	6	7
34	лишь в	6	7
35	уже не	4	7
36	с точки	3	7
37	в первом	2	7
38	художественного произведения	4	6
39	то что	3	6
40	для понимания	2	6
41	и ее	3	6
42	в этой	3	6
43	вместе с	2	6
44	в их	2	6
45	то же	7	6
46	все эти	2	6
47	а не	9	6
48	как раз	2	6
49	могут быть	4	6
50	он не	3	6
51	только в	6	6
52	а в	13	6
53	если бы	3	5
54	или иного	3	5
55	именно в	3	5
56	говорит в	2	5
57	же время	5	5
58	в слове	3	5
59	по преимуществу	4	5
60	если мы	2	5
61	и для	2	5
62	сводится к	5	5
63	в основе	3	5
64	говорить о	3	5
65	в то	6	5
66	на фоне	2	4
67	к тому	2	4
68	в большинстве	2	4
69	того или	3	4
70	известной степени	3	4
71	как бы	5	4
72	и к	3	4
73	как в	5	4
74	другой стороны	5	4
75	и даже	2	4
76	не следует	4	4
77	но в	9	4
78	если в	2	3
79	место в	5	3
80	была бы	3	3
81	к действительности	3	3
82	в какой	2	3
83	с другой	7	3
84	из этих	3	3
85	и здесь	2	3
86	и как	2	3
87	о литературе	2	3
88	не является	4	3
89	в целом	3	3
90	литературного произведения	7	3
91	быть и	2	3
92	все это	2	3
93	так в	4	3
94	до известной	2	3
95	того что	4	3
96	роль в	2	3
97	или в	3	3
98	речи и	2	3
99	хотя и	3	3
100	как к	2	3
101	слова в	2	3
102	его в	2	3
103	в области	4	3
104	это было	2	3
105	времени и	2	2
106	между двумя	3	2
107	и другие	2	2
108	никогда не	4	2
109	состоит в	17	2
110	в этих	3	2
111	в качестве	24	2
112	тому что	2	2
113	перед нами	2	2
114	столь же	2	2
115	или даже	4	2
116	это не	2	2
117	произведение искусства	5	2
118	в конце	2	2
119	этих двух	2	2
120	между ними	4	2
121	а только	3	2
122	в ее	5	2
123	том что	9	2
124	то в	2	2
125	но не	9	2
126	со своей	3	2
127	мы в	2	2
128	и о	4	2
129	без исключения	4	2
130	совпадает с	3	2
131	значения и	2	2
132	слова как	3	2
133	даже в	3	2
134	один из	2	2
135	и тем	3	2
136	этом смысле	2	2
137	не будет	2	2
138	отношение к	5	2
139	во второй	7	2
140	ни в	2	2
141	ее в	2	2
142	со стороны	2	2
143	а именно	2	2
144	приводит к	5	2
145	превращается в	2	2
146	в той	2	2
147	его организации	2	2
148	тем самым	4	2
149	и по	2	2
150	отличие от	6	2
151	и то	2	2
152	их в	3	2
153	сказать что	3	2
154	между тем	5	2
155	в отличие	6	2
156	литературных произведений	5	2
157	к его	2	2
158	в искусстве	6	2
159	произведения искусства	2	2
160	и это	2	2
161	в художественном	3	2
162	потому что	3	2
163	как это	8	2
164	в которой	2	2
165	в виду	5	2
