N	2gram	Savitsky_E_1	slovoVRo
1	и в	37	41
2	то есть	6	26
3	могут быть	2	19
4	во всех	6	17
5	но и	14	16
6	и не	14	16
7	точки зрения	23	16
8	не только	18	16
9	а не	2	15
10	то же	15	14
11	в пределах	25	14
12	может быть	6	14
13	не может	9	14
14	и на	6	14
15	в то	16	14
16	в его	2	13
17	же время	14	12
18	как бы	6	12
19	в этом	12	12
20	так и	10	11
21	в большинстве	2	10
22	в той	5	10
23	или иной	4	9
24	той или	4	9
25	таким образом	2	9
26	прежде всего	9	8
27	точка зрения	2	8
28	но в	14	8
29	как в	3	8
30	как мы	5	8
31	с точки	17	8
32	или в	2	8
33	не в	5	7
34	вовсе не	6	7
35	в своей	8	7
36	во всяком	3	7
37	в отношении	32	6
38	того же	3	6
39	и даже	6	6
40	а в	2	6
41	большинстве случаев	3	6
42	в них	3	6
43	по своим	3	6
44	только в	9	6
45	отношении к	15	6
46	с другой	7	5
47	в самом	4	5
48	всяком случае	3	5
49	на своем	3	5
50	и к	3	5
51	не на	4	5
52	еще более	2	5
53	к нему	2	5
54	с другими	2	5
55	далеко не	2	5
56	и от	3	4
57	одной стороны	8	4
58	меньшей степени	2	4
59	в ней	4	4
60	известной степени	3	4
61	в их	11	4
62	с одной	8	4
63	и наконец	2	4
64	и с	2	4
65	и все	2	4
66	как и	7	4
67	в смысле	9	4
68	но именно	2	4
69	по преимуществу	2	4
70	и потому	5	4
71	в процессе	4	4
72	другой стороны	2	4
73	и для	3	4
74	там где	3	4
75	не могут	2	3
76	никогда не	3	3
77	хотя бы	15	3
78	к тому	8	3
79	в том	11	3
80	в свою	3	3
81	из них	3	3
82	данном случае	2	3
83	в своем	14	3
84	именно в	4	3
85	и других	2	3
86	того что	7	3
87	вообще не	3	3
88	в других	2	3
89	также и	7	3
90	в результате	3	3
91	в истории	2	3
92	о том	3	3
93	так как	7	3
94	и во	2	3
95	с этим	2	3
96	бы ни	3	3
97	в себе	9	3
98	с этой	6	3
99	в качестве	14	3
100	она не	2	3
101	было бы	8	3
102	одной из	5	3
103	он не	2	3
104	бы и	3	3
105	в данном	3	3
106	как оно	2	3
107	свою очередь	2	2
108	же как	5	2
109	в другой	2	2
110	в частности	5	2
111	известном смысле	3	2
112	столь же	5	2
113	что все	2	2
114	для понимания	2	2
115	можно сказать	4	2
116	ни было	4	2
117	для нас	4	2
118	в известной	3	2
119	друг с	3	2
120	на язык	2	2
121	для того	6	2
122	хотя и	2	2
123	между ними	2	2
124	и по	5	2
125	и тем	3	2
126	в этих	2	2
127	так же	9	2
128	не из	3	2
129	сказать что	4	2
130	потому что	3	2
131	того или	4	2
132	между тем	8	2
133	не является	3	2
134	в известном	3	2
135	в котором	2	2
136	для них	2	2
137	но по	2	2
138	между собой	2	2
139	обстоит дело	3	2
140	в одном	2	2
141	или иного	4	2
142	том что	6	2
143	мы видим	2	2
144	то в	4	2
145	но не	5	2
146	по своему	7	2
147	а также	7	2
148	даже в	4	2
149	в ее	8	2
150	в последние	6	2
151	и эта	2	2
152	не есть	2	2
153	мы не	4	2
154	можно было	3	2
155	и то	2	2
156	от этого	5	2
157	в виде	5	2
158	с другом	3	2
159	в эту	2	2
