N	2gram	Ircho_Kome_2	slovoVRo
1	и в	26	39
2	может быть	11	37
3	и т	2	35
4	и его	12	33
5	т п	2	33
6	не только	7	24
7	и не	14	22
8	но и	10	21
9	не может	3	20
10	в нем	6	19
11	все это	3	16
12	в этом	10	16
13	так и	12	15
14	как в	3	13
15	отличие от	2	13
16	во всех	3	12
17	в отличие	2	12
18	в истории	5	11
19	вовсе не	2	10
20	не в	2	9
21	и с	5	9
22	прежде всего	4	8
23	себя в	3	8
24	таким образом	6	8
25	точки зрения	4	8
26	с его	5	7
27	еще не	6	7
28	в его	4	7
29	как бы	2	7
30	в этих	4	7
31	как мы	4	7
32	в них	4	6
33	и к	2	6
34	все же	4	6
35	как и	4	6
36	в своем	6	6
37	но не	3	6
38	жизни и	3	6
39	но в	3	6
40	с другой	2	5
41	это не	2	5
42	и для	4	5
43	и все	2	5
44	для нас	3	5
45	том что	9	5
46	но все	3	5
47	одной стороны	2	5
48	только в	4	5
49	в том	11	5
50	например в	3	5
51	и их	3	5
52	один из	5	5
53	с одной	2	5
54	человека в	3	5
55	с ними	2	5
56	не менее	4	4
57	ни в	5	4
58	отношению к	3	4
59	же время	3	4
60	одна из	2	4
61	наконец в	2	4
62	по отношению	3	4
63	то же	3	4
64	в той	2	4
65	для всех	3	4
66	а в	3	4
67	и на	7	4
68	дело с	3	4
69	в то	6	4
70	отношение к	2	4
71	его в	4	4
72	так как	4	4
73	что в	9	3
74	хотя бы	2	3
75	и от	4	3
76	в состав	2	3
77	здесь в	3	3
78	что и	7	3
79	даже на	2	3
80	связи с	3	3
81	на этом	2	3
82	у него	4	3
83	с их	4	3
84	в ней	3	3
85	к нему	3	3
86	бы и	2	3
87	той же	3	3
88	рядом с	2	3
89	между тем	4	3
90	говорить о	2	3
91	как это	4	3
92	во всяком	2	3
93	действующих лиц	5	2
94	чем в	2	2
95	уже в	4	2
96	не было	3	2
97	независимо от	5	2
98	и другие	2	2
99	хотя и	4	2
100	однако в	2	2
101	в нашем	2	2
102	того как	3	2
103	не всегда	2	2
104	с которым	2	2
105	и здесь	6	2
106	что он	5	2
107	на протяжении	10	2
108	х годов	2	2
109	речь о	2	2
110	или на	2	2
111	всяком случае	2	2
112	даже в	2	2
113	и особенно	3	2
114	сих пор	2	2
115	то что	6	2
116	вместе с	9	2
117	в их	3	2
118	так в	2	2
119	в связи	3	2
120	с этим	5	2
121	еще более	2	2
122	мы не	2	2
123	того чтобы	6	2
124	для того	5	2
125	одним из	2	2
126	роль в	2	2
127	или в	3	2
128	меньше чем	2	2
129	в речах	2	2
130	он не	2	2
131	к его	2	2
132	о том	6	2
133	как он	3	2
134	которые в	2	2
135	в одном	2	2
136	до сих	2	2
