N	2gram	Medvedev_F_3	Narrotol
1	не только	9	31
2	но и	10	27
3	и не	30	23
4	при этом	8	19
5	может быть	25	15
6	как и	14	13
7	а не	17	13
8	только в	8	12
9	в этом	18	12
10	и в	27	11
11	в данном	6	11
12	и его	19	10
13	то что	8	9
14	то же	15	8
15	в том	7	8
16	данном случае	4	8
17	со стороны	4	8
18	не может	24	8
19	уже не	3	8
20	если бы	12	7
21	том что	4	7
22	на протяжении	2	7
23	но в	6	7
24	к тому	4	6
25	не в	12	6
26	в самом	11	6
27	как бы	8	6
28	жизни и	4	6
29	как раз	8	6
30	в себе	3	6
31	в его	7	6
32	в этой	2	6
33	действующих лиц	2	5
34	можно сказать	3	5
35	в своей	6	5
36	так и	21	5
37	столь же	3	5
38	и на	3	5
39	потому что	7	5
40	точки зрения	16	5
41	с его	2	4
42	никогда не	5	4
43	из этих	2	4
44	в литературе	6	4
45	или иной	2	4
46	все же	6	4
47	то в	2	4
48	но не	5	4
49	же время	7	4
50	прежде всего	4	4
51	еще не	6	4
52	имеет место	3	4
53	в ней	5	4
54	и тем	3	4
55	в нем	15	4
56	из них	2	4
57	по себе	4	4
58	как в	4	4
59	так в	2	4
60	того что	3	4
61	того чтобы	5	4
62	в то	7	4
63	о том	4	4
64	одна из	2	4
65	не менее	7	3
66	тому как	5	3
67	что в	8	3
68	однако в	2	3
69	в следующей	2	3
70	в своем	2	3
71	это не	3	3
72	в жизни	11	3
73	что он	6	3
74	сводится к	5	3
75	тем не	2	3
76	у нас	3	3
77	и как	4	3
78	в целом	4	3
79	самом деле	16	3
80	для того	4	3
81	но для	2	3
82	о нем	3	3
83	еще в	3	3
84	не является	5	3
85	отношению к	3	3
86	по отношению	3	3
87	этом отношении	3	3
88	лишь в	9	3
89	но при	2	3
90	героя в	3	3
91	в слове	4	3
92	мы не	4	3
93	их в	3	3
94	и с	3	3
95	подобно тому	4	3
96	и ее	6	3
97	и все	8	3
98	как это	4	3
99	между тем	7	3
100	для них	7	2
101	отнюдь не	8	2
102	в зависимости	5	2
103	в этих	3	2
104	его и	3	2
105	между собой	4	2
106	сливаются в	3	2
107	а на	2	2
108	установкой на	2	2
109	не могло	2	2
110	в конце	3	2
111	язык как	2	2
112	в сущности	2	2
113	к его	3	2
114	как мы	8	2
115	да и	4	2
116	в романе	4	2
117	с ее	2	2
118	зависимости от	5	2
119	они и	3	2
120	между ними	15	2
121	до конца	4	2
122	в пределах	8	2
123	она не	4	2
124	никак не	3	2
125	и является	4	2
126	всяком случае	6	2
127	оно не	3	2
128	хотя бы	6	2
129	вместе с	6	2
130	героя и	2	2
131	дело не	2	2
132	только на	4	2
133	и тогда	2	2
134	другой стороны	5	2
135	жизни в	3	2
136	в отличие	2	2
137	в связи	4	2
138	входит в	8	2
139	и только	2	2
140	с установкой	2	2
141	человека в	2	2
142	в той	3	2
143	тем же	7	2
144	и даже	2	2
145	и притом	2	2
146	с другой	6	2
147	и для	6	2
148	друг друга	5	2
149	отличие от	2	2
150	роль в	4	2
151	в таком	2	2
152	ничего не	2	2
153	сами по	2	2
154	дело с	3	2
155	в результате	5	2
156	сказать что	3	2
157	во всяком	6	2
158	мы можем	4	2
159	не о	3	2
160	и от	11	2
161	он и	3	2
162	связи с	5	2
163	же самое	3	2
164	на ее	4	2
165	и внутреннего	2	2
166	от этих	2	2
167	дело в	2	2
168	в произведении	3	2
169	здесь не	2	2
170	так сказать	5	2
171	в области	2	2
