N	2gram	Bakhtin_Pr_2	Freidism
1	таким образом	5	24
2	и не	29	23
3	не может	18	20
4	точки зрения	13	19
5	прежде всего	10	18
6	и пр	2	15
7	в этом	13	15
8	в его	10	15
9	мы можем	2	13
10	может быть	23	13
11	и его	8	12
12	как и	14	11
13	как бы	22	11
14	то что	7	11
15	все эти	5	11
16	с точки	8	11
17	так и	3	10
18	как мы	10	10
19	самом деле	5	10
20	его в	3	10
21	с ним	3	10
22	но в	10	10
23	с его	4	9
24	и в	43	9
25	во всех	4	9
26	по отношению	5	9
27	что он	13	8
28	отношению к	5	8
29	еще не	9	8
30	в своей	4	8
31	он не	9	8
32	не только	11	8
33	все это	5	8
34	то же	8	8
35	только в	4	8
36	и все	6	8
37	так как	4	8
38	ни в	2	7
39	тот же	3	7
40	к нему	5	7
41	во всяком	2	7
42	отношение к	2	7
43	в самом	7	7
44	что же	7	7
45	и наконец	6	7
46	сказать что	2	7
47	мы уже	3	7
48	никогда не	9	6
49	вовсе не	5	6
50	и ее	3	6
51	для него	8	6
52	за пределы	3	6
53	того что	2	6
54	так сказать	6	6
55	совершенно не	4	6
56	хотя бы	2	6
57	и с	5	6
58	и к	3	5
59	он сам	3	5
60	не в	11	5
61	для этого	2	5
62	в то	7	5
63	в большинстве	9	5
64	что такое	2	5
65	его жизни	2	5
66	что в	4	5
67	но и	14	5
68	в себя	3	5
69	а в	5	5
70	и на	10	5
71	могут быть	3	5
72	с этим	2	5
73	большинстве случаев	8	5
74	я и	2	5
75	не менее	3	4
76	но не	5	4
77	я не	4	4
78	в котором	6	4
79	сознания и	3	4
80	и др	2	4
81	в этих	6	4
82	из этих	2	4
83	в пределах	16	4
84	в жизни	3	4
85	если мы	2	4
86	к тому	4	4
87	об этом	2	4
88	же время	5	4
89	в последнем	3	4
90	при этом	6	4
91	конечно не	2	4
92	и о	2	4
93	как раз	4	4
94	в нем	12	4
95	все же	3	4
96	между ними	4	4
97	уже не	3	4
98	и для	3	4
99	той же	3	4
100	мы не	4	4
101	в таком	2	4
102	с ними	2	4
103	с их	2	4
104	этот вопрос	4	4
105	во время	4	4
106	себя и	3	4
107	не могут	4	3
108	если бы	3	3
109	в них	4	3
110	о себе	7	3
111	на себя	2	3
112	к себе	7	3
113	конечно в	2	3
114	в себе	5	3
115	он был	3	3
116	и как	2	3
117	но это	4	3
118	по своему	2	3
119	со всеми	3	3
120	в узком	2	3
121	она не	3	3
122	было бы	5	3
123	бы он	2	3
124	что может	2	3
125	ни на	3	3
126	ее в	2	3
127	узком смысле	2	3
128	себя в	3	3
129	сказать о	2	3
130	когда он	3	3
131	на него	3	3
132	приводит к	6	3
133	всем этим	2	3
134	не знает	3	3
135	как в	2	3
136	мысли и	2	3
137	и что	5	3
138	на этот	4	3
139	такой же	3	3
140	у него	6	3
141	может стать	4	3
142	но ведь	5	3
143	слова и	12	3
144	и этим	3	3
145	одна из	2	3
146	которого оно	2	3
147	человека и	2	3
148	есть и	3	2
149	в отношении	3	2
150	уже в	2	2
151	человека в	4	2
152	но все	2	2
153	что это	2	2
154	быть и	2	2
155	его и	2	2
156	между собой	2	2
157	для себя	2	2
158	того же	3	2
159	с другой	4	2
160	это не	3	2
161	в конце	2	2
162	в такой	2	2
163	для понимания	2	2
164	тем не	2	2
165	для нас	2	2
166	до конца	4	2
167	да и	5	2
168	ни было	2	2
169	том что	2	2
170	более того	4	2
171	всего этого	2	2
172	в глаза	2	2
173	а не	7	2
174	из них	2	2
175	но для	3	2
176	в процессе	2	2
177	конце концов	2	2
178	о нем	6	2
179	в него	7	2
180	в своем	4	2
181	со всею	3	2
182	себе и	4	2
183	на почве	2	2
184	и до	4	2
185	во внутреннем	2	2
186	и мысли	2	2
187	сих пор	7	2
188	в их	3	2
189	только на	3	2
190	это вовсе	2	2
191	отличается от	2	2
192	отношения к	2	2
193	а с	2	2
194	и явления	2	2
195	внутренней речи	2	2
196	и они	2	2
197	в отличие	4	2
198	чтобы не	2	2
199	ничего что	2	2
200	должны быть	2	2
201	другого человека	4	2
202	тем же	2	2
203	и даже	3	2
204	так же	2	2
205	рядом с	5	2
206	отличие от	4	2
207	опирается на	2	2
208	значение для	2	2
209	и то	2	2
210	здесь в	3	2
211	их в	4	2
212	в своих	2	2
213	сознание и	2	2
214	что и	3	2
215	и при	2	2
216	в другом	7	2
217	речи и	4	2
218	в первом	2	2
219	до сих	7	2
220	и самое	2	2
221	в эту	3	2
222	в виду	3	2
