N	2gram	Nazirov_Tv_1	Problemy
1	из подполья	13	36
2	и в	21	34
3	и не	7	29
4	как бы	17	27
5	что он	6	23
6	в его	13	22
7	может быть	5	19
8	в нем	3	19
9	не может	4	19
10	и все	6	19
11	как и	12	18
12	но в	7	16
13	все это	10	16
14	и его	6	16
15	в этом	6	16
16	и с	3	15
17	прежде всего	4	15
18	что я	3	15
19	он не	8	15
20	то же	13	14
21	самом деле	2	13
22	для него	6	13
23	у достоевского	28	13
24	но и	3	12
25	же время	12	12
26	потому что	5	12
27	в то	15	12
28	вовсе не	5	11
29	то что	8	11
30	на самом	3	11
31	не только	7	10
32	не в	2	9
33	а не	5	9
34	героя и	2	9
35	самого начала	3	8
36	никогда не	3	8
37	с самого	3	8
38	в самом	3	8
39	и т	3	8
40	так же	3	8
41	с ним	3	8
42	я не	3	7
43	что в	12	7
44	и даже	3	7
45	настасьи филипповны	2	7
46	все же	5	7
47	с которым	2	7
48	что не	2	7
49	как будто	5	7
50	стремится к	3	6
51	не знает	2	6
52	самим собой	4	6
53	и на	7	6
54	с его	11	6
55	так и	2	6
56	т п	2	6
57	в себе	2	6
58	только в	5	6
59	он сам	6	5
60	это не	4	5
61	и от	4	5
62	к тому	2	5
63	так что	2	5
64	того что	3	5
65	в целом	4	5
66	из них	2	5
67	таким образом	5	5
68	не мог	2	5
69	а в	6	5
70	и наконец	2	5
71	творчестве достоевского	5	5
72	когда я	2	5
73	что ты	2	5
74	на протяжении	3	5
75	даже в	3	5
76	что и	2	5
77	и у	2	5
78	хотя бы	5	5
79	в чем	2	5
80	с другой	3	4
81	что все	3	4
82	протяжении всего	2	4
83	но это	5	4
84	у него	7	4
85	он боится	2	4
86	при этом	7	4
87	на его	3	4
88	как к	2	4
89	человека как	2	4
90	для достоевского	4	4
91	так как	3	4
92	но не	3	4
93	героев достоевского	3	4
94	как в	8	4
95	только на	2	4
96	в мире	4	4
97	в виде	3	4
98	вместе с	2	4
99	не менее	6	3
100	уже в	3	3
101	романах достоевского	15	3
102	мире достоевского	3	3
103	в каждом	3	3
104	в том	7	3
105	сливается с	3	3
106	что его	2	3
107	такой же	2	3
108	в глаза	2	3
109	до конца	2	3
110	он ни	3	3
111	хотя и	3	3
112	свое лицо	2	3
113	в него	2	3
114	в виду	2	3
115	в котором	6	3
116	которого он	2	3
117	с ее	3	3
118	жизни и	3	3
119	в одной	2	3
120	записок из	3	3
121	достоевского и	3	3
122	это как	3	3
123	в ней	2	3
124	где он	2	3
125	но он	2	3
126	человека с	2	3
127	в романах	13	3
128	своего собственного	2	3
129	а что	2	3
130	по крайней	2	3
131	том что	11	3
132	не могу	2	3
133	еще в	2	3
134	достоевского в	12	3
135	крайней мере	2	3
136	в своей	4	3
137	только что	2	3
138	так вот	2	3
139	и как	4	3
140	в записках	4	3
141	эти слова	2	3
142	далеко не	3	3
143	в творчестве	6	3
144	в человеке	4	2
145	это уже	5	2
146	ибо в	2	2
147	та же	4	2
148	переходит в	2	2
149	это в	3	2
150	тем не	2	2
151	себя но	2	2
152	было в	2	2
153	же и	2	2
154	записках из	3	2
155	был бы	2	2
156	один из	4	2
157	в своем	4	2
158	но только	2	2
159	кто же	2	2
160	отказаться от	2	2
161	и мир	2	2
162	о том	6	2
163	сказать что	2	2
164	себя как	2	2
165	нет ни	2	2
166	я и	3	2
167	а как	2	2
168	отнюдь не	5	2
169	однако в	2	2
170	в жизни	2	2
171	надо было	2	2
172	в преступлении	6	2
173	говорит о	3	2
174	и того	2	2
175	это и	3	2
176	время не	2	2
177	то в	2	2
178	того же	2	2
179	достоевского это	4	2
180	тот же	2	2
181	со всеми	3	2
182	к ней	2	2
183	своего рода	4	2
184	когда он	2	2
185	в отличие	2	2
186	еще более	2	2
187	уже не	3	2
188	и он	2	2
189	в которой	3	2
190	той же	3	2
191	связан с	3	2
192	не то	2	2
193	так сказать	2	2
194	отличие от	2	2
