N	2gram	Tiupa_Narr_2	Marksizm
1	точки зрения	5	34
2	может быть	10	26
3	и не	14	26
4	не может	8	24
5	с точки	2	20
6	и в	13	19
7	и его	3	19
8	таким образом	5	17
9	в этом	13	16
10	как бы	6	15
11	в процессе	2	14
12	прежде всего	6	13
13	как и	4	12
14	так и	9	11
15	и для	3	11
16	в самом	2	10
17	в нем	5	10
18	в слове	3	10
19	и т.п	6	10
20	самом деле	3	10
21	для него	4	9
22	в результате	2	9
23	внутренней речи	3	9
24	только в	11	9
25	при этом	14	8
26	но и	15	8
27	не только	26	8
28	все же	6	8
29	то что	8	8
30	все эти	3	7
31	в направлении	2	7
32	так же	2	7
33	но в	6	7
34	в ее	4	7
35	бытия в	2	7
36	то же	4	7
37	а не	17	7
38	в том	14	6
39	и здесь	2	6
40	отнюдь не	4	6
41	в его	6	6
42	и того	3	6
43	мы не	2	6
44	так сказать	3	6
45	ничего не	6	6
46	с другой	5	5
47	в конце	4	5
48	именно в	2	5
49	не в	8	5
50	те же	2	5
51	в начале	2	5
52	и все	4	5
53	вовсе не	2	5
54	в отличие	5	5
55	того чтобы	3	5
56	хотя бы	2	5
57	отличие от	5	5
58	что в	4	4
59	не менее	4	4
60	в ней	2	4
61	не является	4	4
62	не столько	5	4
63	а в	9	4
64	сказать что	3	4
65	жизни в	6	4
66	еще не	2	4
67	было бы	2	4
68	не будет	2	4
69	как в	5	4
70	только на	2	4
71	в данном	10	4
72	далеко не	5	4
73	он является	3	3
74	место в	5	3
75	этом отношении	3	3
76	в какой	4	3
77	а как	3	3
78	или иной	3	3
79	можно сказать	6	3
80	же время	3	3
81	в котором	5	3
82	по отношению	5	3
83	того что	6	3
84	не имеет	2	3
85	между тем	3	3
86	в то	5	3
87	в бытии	2	3
88	он может	2	3
89	к другому	2	3
90	и к	6	3
91	том что	13	3
92	он не	5	3
93	в своей	4	3
94	на самом	2	3
95	сводится к	9	3
96	в области	2	3
97	зависит от	2	2
98	же как	2	2
99	должна быть	2	2
100	в частности	11	2
101	никогда не	6	2
102	тому что	3	2
103	в своем	6	2
104	точку зрения	3	2
105	они все	2	2
106	тем не	5	2
107	в свою	2	2
108	и иные	2	2
109	но для	2	2
110	себе и	2	2
111	в нашем	2	2
112	жизни и	4	2
113	как к	3	2
114	имеет место	2	2
115	и даже	3	2
116	можно было	2	2
117	для других	3	2
118	в своих	2	2
119	с этой	3	2
120	из этих	2	2
121	к его	3	2
122	о том	5	2
123	как он	2	2
124	за пределами	3	2
125	бы в	2	2
126	в сознании	2	2
127	и более	2	2
128	если бы	4	2
129	между собой	3	2
130	нового времени	2	2
131	но при	4	2
132	в литературе	4	2
133	что он	5	2
134	в себе	8	2
135	у нас	2	2
136	одна из	3	2
137	в качестве	14	2
138	к тому	9	2
139	однако не	2	2
140	не могло	2	2
141	не все	2	2
142	что и	2	2
143	отношению к	5	2
144	как раз	3	2
145	к своему	2	2
146	мира и	3	2
147	и он	2	2
148	той же	2	2
149	в таком	3	2
150	или иначе	2	2
151	в другом	4	2
152	и т.д	4	2
153	в чем	2	2
