N	2gram	Medvedev_U_1	FransuaR
1	и в	14	40
2	прежде всего	8	16
3	в этом	7	15
4	не только	10	13
5	и не	8	13
6	в его	2	13
7	как и	3	11
8	но и	4	11
9	таким образом	2	10
10	может быть	6	9
11	в том	2	8
12	и с	2	8
13	но в	3	8
14	то же	5	7
15	же время	3	6
16	в самом	2	6
17	в своей	3	6
18	в то	3	6
19	как раз	2	5
20	то что	7	5
21	а не	10	5
22	и для	2	5
23	для него	3	5
24	у нас	3	4
25	том что	2	4
26	до сих	2	4
27	было бы	3	4
28	сих пор	2	4
29	в их	4	4
30	все это	5	4
31	в области	3	4
32	с его	2	3
33	всех этих	2	3
34	если бы	2	3
35	в частности	3	3
36	но это	2	3
37	в этой	4	3
38	для этого	3	3
39	что и	2	3
40	не может	7	3
41	самом деле	2	3
42	между тем	2	3
43	тем что	2	3
44	в себе	2	3
45	только в	2	3
46	в конце	2	3
47	о чем	2	2
48	хотя бы	5	2
49	с другой	4	2
50	это не	3	2
51	что он	2	2
52	все же	3	2
53	но не	2	2
54	конечно не	4	2
55	меньшей степени	2	2
56	одним из	2	2
57	этом отношении	2	2
58	представляется нам	2	2
59	в системе	2	2
60	и у	2	2
61	форму и	2	2
62	нас в	2	2
63	даже и	2	2
64	ни от	2	2
65	но конечно	2	2
66	мы не	2	2
