N	2gram	Tiupa_Anal_1	EvropaiE
1	и в	18	37
2	в пределах	2	25
3	точки зрения	6	23
4	что в	5	21
5	не только	15	18
6	с точки	4	17
7	в то	9	16
8	хотя бы	3	15
9	то же	9	15
10	в качестве	31	14
11	же время	6	14
12	но и	17	14
13	и не	21	14
14	но в	8	14
15	в этом	13	12
16	в их	5	11
17	в том	27	11
18	в области	4	11
19	так и	4	10
20	отнюдь не	15	9
21	прежде всего	6	9
22	не может	22	9
23	в себе	11	9
24	только в	6	9
25	думать что	2	8
26	к тому	7	8
27	одной стороны	3	8
28	было бы	2	8
29	в своей	6	8
30	с одной	3	8
31	между тем	5	8
32	как и	13	7
33	того что	4	7
34	а также	3	7
35	с другой	4	7
36	также и	2	7
37	так как	2	7
38	вовсе не	2	6
39	том что	12	6
40	может быть	29	6
41	для того	4	6
42	как бы	5	6
43	то что	6	6
44	того чтобы	3	6
45	и на	5	6
46	то есть	11	6
47	в частности	19	5
48	столь же	4	5
49	не в	14	5
50	но не	10	5
51	со стороны	2	5
52	как мы	2	5
53	в той	8	5
54	тем самым	7	5
55	и по	2	5
56	и потому	2	5
57	ни было	4	4
58	то ни	3	4
59	как совокупность	2	4
60	именно в	4	4
61	вопрос о	2	4
62	или иного	3	4
63	или иной	6	4
64	можно сказать	2	4
65	бы то	3	4
66	несмотря на	2	4
67	в самом	6	4
68	то в	2	4
69	той или	6	4
70	даже в	3	4
71	в процессе	2	4
72	по себе	4	4
73	культуры в	2	4
74	тем более	2	4
75	того или	3	4
76	в полной	3	4
77	мира в	2	4
78	место в	3	3
79	и к	3	3
80	этом отношении	2	3
81	никогда не	2	3
82	на себя	2	3
83	представляет собой	16	3
84	того же	4	3
85	не более	4	3
86	в культуре	3	3
87	бы ни	2	3
88	из них	2	3
89	не является	2	3
90	что и	3	3
91	не будет	3	3
92	в таком	3	3
93	потому что	2	3
94	себе в	2	3
95	в данном	2	3
96	о том	5	3
97	всего лишь	4	3
98	не могут	3	2
99	и более	4	2
100	а не	17	2
101	в случае	6	2
102	в какой	2	2
103	и все	3	2
104	к нему	3	2
105	из того	4	2
106	есть не	8	2
107	и того	5	2
108	и как	5	2
109	в силу	3	2
110	такой же	2	2
111	не говоря	2	2
112	не к	2	2
113	имеет место	5	2
114	он не	3	2
115	в его	13	2
116	в котором	3	2
117	если в	3	2
118	какой бы	2	2
119	не есть	8	2
120	при помощи	2	2
121	в мире	8	2
122	на уровне	3	2
123	вместе с	4	2
124	данном случае	2	2
125	иначе говоря	9	2
126	что же	2	2
127	а в	9	2
128	таким образом	3	2
129	если бы	3	2
130	а именно	3	2
131	более чем	4	2
132	другой стороны	2	2
133	с другими	4	2
134	на основе	2	2
135	и та	2	2
136	и с	2	2
137	могут быть	4	2
138	в этой	5	2
139	и то	2	2
140	по своей	6	2
141	как будто	3	2
142	далеко не	6	2
143	между собой	2	2
144	тогда когда	2	2
