N	2gram	Tiupa_Disk_1	Myslijsy
1	то есть	20	34
2	потому что	4	33
3	то что	5	29
4	может быть	17	26
5	таким образом	3	24
6	в том	23	23
7	и в	16	23
8	в этом	15	23
9	и не	11	18
10	что в	4	17
11	при этом	13	15
12	только в	7	15
13	как и	16	14
14	в себе	7	14
15	то же	7	14
16	того что	3	14
17	том что	19	12
18	не было	7	12
19	а не	22	12
20	по себе	3	11
21	но и	14	11
22	не в	7	11
23	не может	9	11
24	и потому	3	10
25	по отношению	9	10
26	не только	28	10
27	тем что	3	10
28	не есть	2	9
29	между тем	4	9
30	в своем	6	8
31	отношению к	9	8
32	сказать что	3	8
33	о том	8	8
34	но в	8	8
35	по мере	2	7
36	это не	3	7
37	в нем	9	7
38	что и	3	7
39	в силу	5	7
40	и что	2	7
41	могут быть	4	7
42	как в	10	7
43	мысли и	2	7
44	с этим	3	7
45	и к	4	6
46	в ряду	2	6
47	что не	4	6
48	заметить что	2	6
49	так и	8	6
50	уже в	2	5
51	по крайней	2	5
52	для него	4	5
53	хотя и	2	5
54	в его	7	5
55	как бы	5	5
56	крайней мере	2	5
57	что же	2	5
58	не менее	2	5
59	внимание на	4	5
60	а в	5	5
61	во всяком	2	5
62	есть в	2	5
63	так сказать	2	5
64	и все	2	4
65	что он	4	4
66	тогда как	19	4
67	можно сказать	5	4
68	в одном	2	4
69	и о	4	4
70	в котором	5	4
71	и тем	2	4
72	в истории	4	4
73	хотя бы	3	4
74	точки зрения	3	4
75	в данном	5	4
76	в то	3	4
77	же самое	2	4
78	мы имеем	2	4
79	слова в	2	3
80	и есть	2	3
81	никогда не	2	3
82	связи с	4	3
83	в них	4	3
84	не всегда	2	3
85	именно в	3	3
86	же время	4	3
87	еще не	14	3
88	было в	2	3
89	в действительности	3	3
90	не от	2	3
91	к тому	5	3
92	например в	2	3
93	на его	4	3
94	в самом	3	3
95	известной степени	2	3
96	в виду	2	3
97	в каждом	2	3
98	в процессе	5	3
99	со стороны	7	3
100	языка и	2	3
101	уже не	4	3
102	лишь в	4	3
103	более чем	2	3
104	должны быть	3	3
105	в науке	2	3
106	и по	2	3
107	ведет к	3	3
108	и на	5	3
109	в которых	4	3
110	языка с	2	3
111	в первом	3	3
112	в значении	2	3
113	возможно только	2	3
114	тому как	3	2
115	состоит в	9	2
116	и как	6	2
117	мысли о	2	2
118	и без	2	2
119	сами по	2	2
120	столь же	3	2
121	с другой	10	2
122	оно не	2	2
123	не как	4	2
124	для понимания	2	2
125	в различных	2	2
126	отношение к	4	2
127	что делает	2	2
128	своем распоряжении	2	2
129	в ее	3	2
130	говорящего и	2	2
131	об этом	2	2
132	что даже	2	2
133	по своему	3	2
134	и относительно	2	2
135	имеет свою	3	2
136	имеем дело	2	2
137	в свою	3	2
138	в сущности	2	2
139	значительной степени	2	2
140	обратить внимание	2	2
141	к другим	2	2
142	к ним	3	2
143	и др	2	2
144	один из	3	2
145	не с	3	2
146	на том	2	2
147	данном случае	2	2
148	указывает на	2	2
149	хотя в	2	2
150	дело не	2	2
151	человека в	2	2
152	как мы	2	2
153	и даже	3	2
154	и его	2	2
155	в своих	3	2
156	не следует	2	2
157	подобно тому	2	2
158	к его	2	2
159	и вообще	2	2
160	это было	2	2
161	ни к	6	2
