N	2gram	Bakhtin_fo_1	Problema
1	то что	6	42
2	вовсе не	13	35
3	то есть	33	33
4	и в	50	32
5	и не	14	31
6	в этом	25	19
7	не только	9	17
8	потому что	4	16
9	по себе	2	15
10	а не	3	15
11	в себе	3	15
12	как бы	2	14
13	может быть	11	14
14	но в	10	14
15	в нем	24	13
16	сказать что	3	13
17	что мы	2	13
18	как раз	13	13
19	что в	5	12
20	том что	4	12
21	так и	12	12
22	и т	8	11
23	и даже	2	11
24	также и	2	11
25	так как	6	11
26	если мы	2	11
27	то же	11	10
28	прежде всего	15	10
29	отнюдь не	5	10
30	об этом	2	10
31	нет ничего	4	10
32	ничего не	9	10
33	но не	5	9
34	в том	9	9
35	но и	8	9
36	так же	6	9
37	раз и	2	9
38	еще не	5	9
39	того чтобы	5	9
40	в таком	3	9
41	в данном	2	9
42	и это	4	9
43	есть только	2	8
44	не может	6	8
45	все эти	9	8
46	и на	8	8
47	было бы	2	8
48	в своей	2	8
49	для того	5	8
50	и ее	3	8
51	никогда не	2	7
52	ни в	8	7
53	смысле слова	2	7
54	и является	2	7
55	все это	4	7
56	того что	2	7
57	всех этих	5	7
58	в них	4	7
59	и все	6	7
60	во всех	6	7
61	как мы	14	7
62	во всяком	3	7
63	тем что	2	7
64	только в	4	7
65	здесь не	4	7
66	в конце	9	6
67	и как	10	6
68	при этом	3	6
69	в самом	8	6
70	хотя и	3	6
71	в виду	3	6
72	таким образом	11	6
73	это не	6	6
74	и то	4	6
75	его в	3	6
76	есть не	3	6
77	в то	9	6
78	совершенно не	2	6
79	в его	13	6
80	разного рода	2	6
81	в своем	4	5
82	или иной	2	5
83	а только	2	5
84	для нас	2	5
85	есть в	2	5
86	не имеют	3	5
87	мы уже	11	5
88	той или	2	5
89	не являются	2	5
90	в котором	4	5
91	еще и	2	5
92	мы должны	2	5
93	с тем	3	5
94	не является	2	5
95	связи с	6	5
96	есть именно	2	5
97	далеко не	2	5
98	в других	9	5
99	совсем не	2	4
100	именно в	3	4
101	не в	5	4
102	в дальнейшем	6	4
103	мы и	4	4
104	один из	3	4
105	мы говорили	3	4
106	в их	6	4
107	не было	7	4
108	в одно	3	4
109	или в	3	4
110	а в	3	4
111	их в	3	4
112	именно как	4	4
113	в истории	2	4
114	как он	2	4
115	если бы	5	4
116	в литературе	16	4
117	же в	3	4
118	а также	2	4
119	как в	6	4
120	только на	3	4
121	входит в	3	4
122	и для	4	4
123	в связи	5	4
124	и вообще	2	4
125	уже в	2	3
126	не обязательно	2	3
127	что не	3	3
128	в этих	3	3
129	в отношении	3	3
130	с другой	2	3
131	что все	2	3
132	его от	2	3
133	но все	5	3
134	но для	2	3
135	хотя бы	2	3
136	и уже	3	3
137	но она	2	3
138	и его	16	3
139	только и	5	3
140	в буквальном	2	3
141	в самой	2	3
142	в которых	2	3
143	или не	2	3
144	же и	2	3
145	с этим	6	3
146	но он	2	3
147	точки зрения	5	3
148	и еще	2	3
149	необходимо чтобы	2	3
150	и следовательно	4	3
151	сколько угодно	2	3
152	с ним	2	3
153	или как	4	3
154	для себя	7	3
155	и во	7	3
156	в жизни	6	3
157	ясно что	2	3
158	в ее	6	3
159	как и	8	3
160	того же	8	3
161	здесь в	2	3
162	до сих	3	3
163	к тому	3	3
164	он не	5	3
165	оно не	2	3
166	быть и	2	3
167	сих пор	3	3
168	да и	3	3
169	уже не	2	3
170	во всей	3	3
171	с точки	2	3
172	буквальном смысле	2	3
173	в каком	2	3
174	как оно	2	3
175	дело в	2	3
176	в чем	2	3
177	не могут	3	2
178	мы будем	2	2
179	же как	2	2
180	друг другу	2	2
181	вообще не	3	2
182	в это	2	2
183	само собой	2	2
184	одного и	5	2
185	момент в	2	2
186	оказывается что	2	2
187	для него	2	2
188	кроме того	4	2
189	например в	6	2
190	не о	2	2
191	здесь нет	3	2
192	на этой	4	2
193	уже на	2	2
194	и до	5	2
195	не для	2	2
196	мы находим	2	2
197	не имеет	4	2
198	этого романа	4	2
199	в результате	6	2
200	и с	4	2
201	не как	2	2
202	одно из	3	2
203	здесь только	2	2
204	поэтому и	3	2
205	с его	9	2
206	для них	3	2
207	могут быть	5	2
208	он должен	2	2
209	часто и	2	2
210	во всякой	2	2
211	и того	6	2
212	по существу	12	2
213	мы видим	3	2
214	в качестве	3	2
215	с этими	2	2
216	и может	2	2
217	со всеми	3	2
218	на один	2	2
219	в сущности	3	2
220	внутренняя жизнь	2	2
221	по преимуществу	3	2
222	и потому	3	2
223	нет и	2	2
224	все другие	2	2
225	вместе с	3	2
226	ее в	2	2
227	мы не	3	2
228	с другими	3	2
229	и внутреннее	3	2
230	нас в	3	2
231	на себя	2	2
232	в которой	2	2
