N	2gram	Savitsky_E_1	Problemy
1	и в	37	43
2	и не	14	29
3	т е	9	26
4	может быть	6	23
5	как бы	6	22
6	не может	9	18
7	в пределах	25	16
8	но и	14	14
9	как и	7	14
10	точки зрения	23	13
11	в этом	12	13
12	в одном	2	12
13	не в	5	11
14	по себе	4	11
15	не только	18	11
16	прежде всего	9	10
17	и на	6	10
18	но в	14	10
19	в его	2	10
20	как мы	5	10
21	никогда не	3	9
22	в большинстве	2	9
23	он не	2	9
24	большинстве случаев	3	8
25	то же	15	8
26	с точки	17	8
27	или в	2	8
28	в самом	4	7
29	ведь и	2	7
30	в то	16	7
31	то что	6	7
32	что же	2	7
33	а не	2	7
34	в этих	2	6
35	в том	11	6
36	в котором	2	6
37	и наконец	2	6
38	и все	2	6
39	на то	6	5
40	же время	14	5
41	хотя и	2	5
42	к нему	2	5
43	нам кажется	7	5
44	таким образом	2	5
45	а в	2	5
46	и с	2	5
47	бы в	2	5
48	вовсе не	6	5
49	о том	3	5
50	но не	5	5
51	было бы	8	5
52	и что	2	5
53	в той	5	5
54	в себе	9	5
55	не могут	2	4
56	что в	21	4
57	в своем	14	4
58	с другой	7	4
59	к тому	8	4
60	друг с	3	4
61	в направлении	4	4
62	в результате	3	4
63	так как	7	4
64	то есть	6	4
65	в них	3	4
66	в своей	8	4
67	во всех	6	4
68	не на	4	4
69	там где	3	4
70	на этот	2	4
71	между ними	2	4
72	мы не	4	4
73	этот вопрос	2	4
74	с другом	3	4
75	только в	9	4
76	далеко не	2	4
77	что если	2	3
78	должна быть	2	3
79	в отношении	32	3
80	он сам	2	3
81	или иной	4	3
82	такой же	2	3
83	есть в	2	3
84	той или	4	3
85	и со	3	3
86	в их	11	3
87	и только	3	3
88	и даже	6	3
89	ни на	3	3
90	между тем	8	3
91	если бы	2	3
92	стороны и	6	3
93	и к	3	3
94	того же	3	3
95	она не	2	3
96	кажется что	2	3
97	когда он	3	3
98	даже в	4	3
99	что и	3	3
100	так и	10	3
101	по своим	3	3
102	другой стороны	2	3
103	также и	7	3
104	и для	3	3
105	можно было	3	3
106	тем что	3	3
107	в виде	5	3
108	могут быть	2	3
109	в эту	2	3
110	но на	3	2
111	в сторону	2	2
112	вопрос о	4	2
113	для понимания	2	2
114	от них	3	2
115	одна и	2	2
116	что на	2	2
117	как же	2	2
118	для нас	4	2
119	и как	2	2
120	как нам	5	2
121	что это	2	2
122	друг от	2	2
123	целый ряд	2	2
124	того что	7	2
125	пожалуй и	2	2
126	так же	9	2
127	в своих	2	2
128	в которых	3	2
129	сказать что	4	2
130	и еще	2	2
131	из них	3	2
132	во всяком	3	2
133	ни было	4	2
134	уже и	3	2
135	и та	2	2
136	между собой	2	2
137	в стороне	3	2
138	с этим	2	2
139	на одну	2	2
140	этом смысле	3	2
141	бы ни	3	2
142	по своему	7	2
143	не нужно	2	2
144	от друга	2	2
145	на себя	3	2
146	не есть	2	2
147	дело в	3	2
148	в процессе	4	2
149	ее в	3	2
150	бы и	3	2
151	как в	3	2
152	еще более	2	2
153	том что	6	2
154	и эта	2	2
155	хотя бы	15	2
156	в таком	3	2
157	и то	2	2
158	мы можем	3	2
159	отношении к	15	2
