N	2gram	Bakhtin_sl_2	Myslijsy
1	для нас	5	31
2	то есть	26	30
3	и в	39	24
4	может быть	37	23
5	то что	2	20
6	и не	22	19
7	а не	14	18
8	в том	5	18
9	что в	3	16
10	по себе	5	15
11	не только	24	15
12	при этом	7	13
13	не в	9	13
14	в слове	6	13
15	но не	6	12
16	не может	20	12
17	то же	4	12
18	что и	3	11
19	вместе с	2	11
20	мы не	2	11
21	только в	5	11
22	таким образом	8	11
23	для него	7	10
24	и проч	2	10
25	в себе	2	10
26	как в	13	10
27	так как	4	10
28	тогда когда	2	10
29	независимо от	2	9
30	вовсе не	10	9
31	в нем	19	9
32	как бы	7	9
33	но и	21	9
34	а в	4	8
35	том что	5	8
36	более или	2	8
37	или менее	2	8
38	в одно	2	8
39	и на	4	8
40	в этом	16	8
41	могут быть	7	8
42	не могут	5	7
43	прежде всего	8	7
44	во всяком	3	7
45	всяком случае	2	7
46	зрения и	2	7
47	во всех	12	7
48	как и	6	7
49	с этим	2	7
50	в чем	3	7
51	того как	2	7
52	связи с	3	6
53	с другой	5	6
54	в одном	2	6
55	и как	3	6
56	свою очередь	2	6
57	в свою	3	6
58	и т	35	6
59	не было	2	6
60	между тем	3	6
61	в то	4	6
62	слова в	13	5
63	уже в	2	5
64	не менее	4	5
65	с ним	7	5
66	человеческой речи	2	5
67	о том	2	5
68	и их	5	5
69	так и	15	5
70	в них	6	5
71	для того	2	5
72	с другими	4	5
73	все же	6	5
74	никогда не	7	4
75	сознание и	3	4
76	что он	2	4
77	уже не	5	4
78	одна из	4	4
79	до сих	2	4
80	еще не	7	4
81	в нее	2	4
82	в некоторых	3	4
83	сих пор	2	4
84	так в	2	4
85	с одной	5	4
86	что оно	4	4
87	в таком	4	4
88	влияние на	2	4
89	они не	2	4
90	от него	5	4
91	одним словом	2	4
92	как он	2	4
93	там где	6	4
94	так сказать	6	4
95	но в	6	4
96	это не	5	3
97	оно не	8	3
98	и от	3	3
99	и все	5	3
100	человека и	3	3
101	но мы	2	3
102	хотя и	2	3
103	и при	2	3
104	все что	2	3
105	одной стороны	5	3
106	но это	3	3
107	например в	5	3
108	в ней	3	3
109	входят в	2	3
110	его в	4	3
111	но она	2	3
112	с таким	2	3
113	не с	3	3
114	слова и	8	3
115	на него	2	3
116	языка и	9	3
117	в языке	2	3
118	т п	33	3
119	т д	2	3
120	которых мы	2	3
121	те же	2	3
122	человека в	5	3
123	и для	5	3
124	его не	4	3
125	той же	3	3
126	рядом с	3	3
127	с ними	5	3
128	внутреннюю форму	2	3
129	как например	2	3
130	далеко не	2	3
131	в этих	7	3
132	всех этих	4	2
133	и затем	2	2
134	из себя	3	2
135	в нашем	2	2
136	связанные с	4	2
137	и его	33	2
138	но он	2	2
139	хотя бы	3	2
140	не столько	3	2
141	кажется нам	2	2
142	в собственном	3	2
143	с его	7	2
144	и образ	2	2
145	что язык	2	2
146	за пределы	2	2
147	но все	5	2
148	все эти	6	2
149	у него	3	2
150	же время	4	2
151	связано с	3	2
152	сама по	3	2
153	к ней	2	2
154	в его	7	2
155	как для	3	2
156	и потому	7	2
157	себя и	4	2
158	не все	2	2
159	один из	5	2
160	не знаем	2	2
161	слово как	7	2
162	все это	16	2
163	в связи	2	2
164	и других	4	2
165	в себя	2	2
166	для сознания	2	2
167	того чтобы	2	2
168	отношения к	4	2
169	как это	3	2
170	или в	2	2
171	по отношению	4	2
172	и здесь	2	2
173	сказать что	3	2
174	предмет как	2	2
175	даже и	4	2
176	в другом	2	2
177	во всем	4	2
178	может стать	2	2
179	на этом	3	2
180	факт что	2	2
181	отношении к	4	2
182	оно может	2	2
183	вне себя	2	2
