N	2gram	Medvedev_S_1	Marksizm
1	может быть	2	26
2	и в	3	19
3	таким образом	2	17
4	в этом	5	16
5	как бы	2	15
6	в результате	2	9
7	только в	2	9
8	но и	2	8
9	не только	3	8
10	то что	2	8
11	то же	2	7
12	в смысле	2	6
13	в том	5	6
14	в его	3	6
15	в конце	2	5
16	не в	3	5
17	за пределы	2	5
18	что в	2	4
19	как же	3	4
20	еще не	2	4
21	было бы	2	4
22	далеко не	2	4
23	все это	7	3
24	по отношению	2	3
25	конце концов	2	3
26	она может	2	3
27	том что	2	3
28	это и	2	3
29	должна быть	2	2
30	в частности	2	2
31	и только	3	2
32	отношению к	2	2
33	социологического метода	3	2
