N	2gram	Losev_Vesc_1	KFilosof
1	может быть	16	43
2	в его	2	39
3	в нем	2	31
4	не может	17	27
5	и не	29	26
6	и в	21	22
7	в котором	3	21
8	в себе	14	21
9	для меня	2	20
10	не есть	49	19
11	в ее	7	17
12	а не	19	17
13	и его	2	17
14	только в	14	16
15	точки зрения	5	13
16	в этом	4	13
17	для него	4	12
18	но не	5	12
19	и это	14	12
20	все эти	3	11
21	в своей	5	11
22	не в	5	11
23	из себя	3	10
24	в своем	6	10
25	это не	5	10
26	все это	5	10
27	во всех	2	10
28	с точки	3	10
29	и есть	26	9
30	но и	18	9
31	как бы	12	9
32	и все	5	9
33	бытия и	2	9
34	для нее	2	9
35	и для	9	9
36	если бы	5	8
37	было бы	14	8
38	жизни и	2	8
39	со стороны	5	8
40	и здесь	4	7
41	вовсе не	10	7
42	должен быть	2	7
43	что и	3	7
44	то что	27	7
45	себя в	10	7
46	я должен	4	7
47	в себя	13	7
48	быть только	3	7
49	я не	4	6
50	в смысле	12	6
51	в том	8	6
52	но это	10	6
53	момент в	6	6
54	смысл и	9	6
55	и только	3	6
56	отнюдь не	5	6
57	совершенно не	5	6
58	и их	7	6
59	не значит	7	6
60	уже не	9	6
61	никогда не	2	5
62	хотя бы	6	5
63	то же	6	5
64	от его	2	5
65	должно быть	6	5
66	в основе	3	5
67	но ведь	2	5
68	его в	2	5
69	с ним	8	5
70	но в	5	5
71	как и	8	5
72	что я	24	5
73	я могу	2	5
74	есть лишь	2	5
75	не только	36	5
76	для себя	5	5
77	все же	4	5
78	мы имеем	7	5
79	со всем	5	5
80	что в	9	4
81	ни было	4	4
82	для нас	2	4
83	чем не	2	4
84	с ними	3	4
85	в одном	2	4
86	нисколько не	4	4
87	том что	8	4
88	а в	4	4
89	в чем	6	4
90	бы и	5	3
91	независимо от	5	3
92	должна быть	4	3
93	что это	13	3
94	не менее	3	3
95	не я	2	3
96	из его	2	3
97	я имею	2	3
98	в свою	4	3
99	и пр	6	3
100	в виду	2	3
101	когда я	5	3
102	и тем	3	3
103	от того	3	3
104	того что	8	3
105	в ней	12	3
106	в то	3	3
107	о том	6	3
108	мы не	6	3
109	тогда когда	5	3
110	а следовательно	2	3
111	ясно что	8	3
112	не быть	3	3
113	меня не	2	3
114	могла бы	3	3
115	еще не	8	3
116	и делает	2	3
117	и этот	2	3
118	себя не	2	3
119	самом деле	4	3
120	для того	2	3
121	только с	3	3
122	что не	5	3
123	тем что	2	3
124	в другом	2	3
125	ничего не	3	3
126	слова в	2	2
127	может не	2	2
128	смысла и	5	2
129	а с	3	2
130	где она	2	2
131	можно ли	7	2
132	его и	2	2
133	она могла	2	2
134	то ни	4	2
135	прежде всего	9	2
136	тем не	3	2
137	было и	2	2
138	и как	8	2
139	основе своей	2	2
140	это есть	7	2
141	и само	2	2
142	но для	2	2
143	себя и	4	2
144	что значит	8	2
145	знает и	2	2
146	по себе	13	2
147	тому что	2	2
148	для этого	4	2
149	что есть	5	2
150	как к	4	2
151	быть не	4	2
152	должен сказать	2	2
153	действительности в	2	2
154	не из	2	2
155	потому что	16	2
156	к себе	4	2
157	той или	2	2
158	говорить о	6	2
159	значило бы	4	2
160	а это	4	2
161	себя как	2	2
162	я и	6	2
163	что только	3	2
164	и то	10	2
165	мы получим	2	2
166	с тем	5	2
167	в жизни	3	2
168	только это	3	2
169	и того	2	2
170	не будет	12	2
171	бы то	4	2
172	есть именно	6	2
173	не нужно	2	2
174	ли это	7	2
175	себе как	2	2
176	тот же	3	2
177	и может	2	2
178	и когда	4	2
179	и потому	5	2
180	и эти	2	2
181	дело не	2	2
182	оно не	3	2
183	можно и	2	2
184	себя или	2	2
185	так и	3	2
186	если я	6	2
187	чего не	2	2
188	если не	3	2
189	еще более	2	2
190	это и	6	2
191	сводится к	2	2
192	это значило	3	2
193	того чтобы	3	2
194	и эта	3	2
195	то или	2	2
196	в данном	5	2
197	это можно	2	2
198	от этого	2	2
199	чтобы быть	3	2
200	в этой	3	2
201	есть момент	2	2
202	как оно	3	2
203	дело в	4	2
204	или как	2	2
205	не потому	6	2
