N	2gram	Savitsky_P_1	Komedia
1	и в	14	22
2	и не	12	21
3	т е	3	16
4	том что	4	13
5	в том	9	12
6	со стороны	2	11
7	потому что	3	10
8	если бы	4	8
9	в своем	4	8
10	в его	2	8
11	в этом	10	8
12	то же	9	7
13	а в	4	7
14	для того	3	6
15	iii в	2	6
16	может быть	5	6
17	как раз	2	6
18	в то	7	6
19	не менее	2	5
20	что в	4	5
21	же время	7	5
22	прежде всего	3	5
23	хотя и	3	5
24	не только	17	5
25	из них	2	5
26	все это	2	5
27	более чем	2	5
28	в которых	5	5
29	но в	9	5
30	с тем	3	4
31	отнюдь не	2	4
32	с другой	5	4
33	не в	5	4
34	в ней	6	4
35	тем более	2	4
36	и т	3	4
37	то что	4	4
38	но и	6	4
39	в отношении	10	4
40	а не	2	4
41	точки зрения	3	4
42	в себе	3	4
43	хотя бы	8	4
44	и с	2	4
45	в частности	2	3
46	в них	2	3
47	с этим	2	3
48	в нем	3	3
49	и к	4	3
50	в ее	2	3
51	в начале	2	3
52	одной стороны	3	3
53	было бы	6	3
54	и мы	2	3
55	как бы	4	3
56	к началу	2	3
57	не может	4	3
58	с одной	3	3
59	с точки	3	3
60	столь же	3	3
61	не о	2	3
62	говорить о	2	3
63	в качестве	9	2
64	и без	3	2
65	это не	3	2
66	стороны и	2	2
67	в силу	2	2
68	в пределах	8	2
69	тот же	3	2
70	и если	4	2
71	и о	5	2
72	а также	4	2
73	в котором	4	2
74	ii в	2	2
75	по сравнению	2	2
76	во всех	2	2
77	наряду с	3	2
78	отношения к	2	2
79	не было	2	2
80	мы не	3	2
81	в мире	2	2
82	между тем	3	2
83	г и	2	2
84	что мы	3	2
85	и это	2	2
86	е и	3	2
87	в области	11	2
