N	2gram	Bakhtin_Pr_2	UchenyiS
1	и в	45	14
2	а не	10	10
3	не только	16	10
4	и не	42	8
5	прежде всего	11	8
6	то что	5	7
7	в этом	20	7
8	вот почему	3	7
9	не может	24	7
10	может быть	18	6
11	в художественном	3	5
12	хотя бы	5	5
13	перестает быть	3	5
14	все это	5	5
15	то же	5	5
16	но и	15	4
17	в их	4	4
18	конечно не	6	4
19	но в	6	3
20	как и	14	3
21	все же	4	3
22	в своей	6	3
23	для этого	3	3
24	формы в	2	3
25	же время	3	3
26	для него	9	3
27	это не	3	3
28	в то	5	3
29	не как	6	3
30	было бы	4	3
31	и т.д	3	3
32	этой области	2	3
33	в области	2	3
34	не о	2	3
35	у нас	2	3
36	смысле этого	2	2
37	том что	7	2
38	но не	6	2
39	в том	8	2
40	с его	8	2
41	не есть	2	2
42	крайней мере	2	2
43	не в	8	2
44	и для	2	2
45	но это	2	2
46	мы и	3	2
47	бы и	3	2
48	должна быть	3	2
49	этом смысле	5	2
50	если бы	2	2
51	только в	9	2
52	и с	7	2
53	тем что	2	2
54	сих пор	2	2
55	могут быть	4	2
56	их и	3	2
57	его и	3	2
58	даже и	2	2
59	что он	7	2
60	все они	4	2
61	и у	2	2
62	в себе	5	2
63	как раз	6	2
64	до сих	2	2
65	в конце	4	2
66	что все	3	2
67	и через	2	2
68	если не	2	2
69	этом отношении	2	2
70	в самом	13	2
71	в сторону	2	2
72	меньшей степени	2	2
73	по себе	8	2
74	а о	3	2
75	в некоторых	2	2
76	превращается в	4	2
77	одним из	3	2
78	ничего не	3	2
79	самом деле	4	2
80	а как	4	2
81	по крайней	2	2
82	что она	4	2
83	что и	5	2
84	в его	22	2
85	конце концов	3	2
86	таким образом	11	2
87	это было	2	2
