N	2gram	Potebnia_M_3	Problemy
1	и в	30	46
2	то есть	34	40
3	и не	15	27
4	может быть	28	23
5	как бы	3	19
6	не может	6	19
7	в нем	9	17
8	в этом	10	16
9	не только	21	14
10	слова в	7	13
11	перед нами	2	12
12	но и	19	12
13	как и	10	12
14	как мы	7	12
15	и на	3	11
16	точки зрения	2	11
17	в одном	2	11
18	а не	15	11
19	не в	15	10
20	прежде всего	3	9
21	в том	32	9
22	в самом	8	9
23	и все	3	9
24	вовсе не	7	9
25	слово не	5	9
26	в его	4	9
27	до сих	3	8
28	сих пор	3	8
29	или в	3	8
30	слова с	3	7
31	и с	2	7
32	по себе	16	7
33	еще не	5	7
34	слово и	3	7
35	в себе	16	7
36	слова и	5	7
37	в каждом	3	6
38	ни в	2	6
39	но это	6	6
40	есть в	3	6
41	на предмет	2	6
42	к одному	5	6
43	друг друга	3	6
44	слово в	4	6
45	что он	6	6
46	что я	5	6
47	и между	4	6
48	то же	23	6
49	все это	4	6
50	и его	4	6
51	только в	21	6
52	же время	5	5
53	при этом	3	5
54	в котором	4	5
55	к нему	3	5
56	нам кажется	2	5
57	жизни и	2	5
58	по отношению	5	5
59	в то	10	5
60	слово с	2	5
61	так как	13	5
62	у него	2	5
63	это слово	4	5
64	за пределы	2	5
65	о том	2	5
66	отношению к	5	5
67	так сказать	2	5
68	уже в	5	4
69	что в	17	4
70	можно сказать	3	4
71	слова но	2	4
72	например в	6	4
73	по мере	4	4
74	в словах	3	4
75	слово как	5	4
76	в их	2	4
77	таким образом	14	4
78	и наконец	2	4
79	должно быть	5	4
80	людей и	2	4
81	потому что	46	4
82	же и	3	4
83	мы не	9	4
84	мы можем	3	4
85	не знает	3	4
86	как в	10	4
87	том что	18	4
88	но не	7	4
89	том же	2	4
90	он не	4	4
91	все же	2	4
92	то что	18	4
93	так и	11	4
94	уже не	6	4
95	самом деле	2	4
96	слово может	5	4
97	себя и	4	3
98	с другой	7	3
99	из этих	9	3
100	человека и	5	3
101	не могут	5	3
102	на то	2	3
103	к своему	2	3
104	словом и	5	3
105	в своем	5	3
106	более или	3	3
107	у меня	2	3
108	то это	6	3
109	не к	4	3
110	отношение к	2	3
111	и до	2	3
112	образом и	3	3
113	другой стороны	4	3
114	так же	3	3
115	и даже	2	3
116	но этот	2	3
117	их в	2	3
118	бы в	2	3
119	если бы	12	3
120	в приведенном	2	3
121	не как	2	3
122	и при	4	3
123	и что	10	3
124	она не	2	3
125	было бы	9	3
126	мы уже	2	3
127	в своей	2	3
128	и о	2	3
129	никак не	3	3
130	что и	13	3
131	на него	3	3
132	или менее	3	3
133	что же	2	3
134	только на	3	3
135	в речи	2	3
136	тем же	4	3
137	той же	2	3
138	в слове	32	3
139	сам по	5	3
140	тем что	7	3
141	в этой	2	3
142	далеко не	4	3
143	и это	4	3
144	жизни не	3	2
145	не менее	5	2
146	сама по	2	2
147	время и	2	2
148	мысли и	2	2
149	на все	2	2
150	самый предмет	2	2
151	для понимания	4	2
152	его к	2	2
153	от них	2	2
154	к тому	7	2
155	есть уже	11	2
156	все в	2	2
157	для нас	20	2
158	в одно	3	2
159	так что	7	2
160	и как	5	2
161	но все	2	2
162	в большей	2	2
163	не дает	2	2
164	для него	9	2
165	и следовательно	3	2
166	себе что	2	2
167	и тем	5	2
168	к слову	2	2
169	образов и	2	2
170	целый ряд	2	2
171	языка и	2	2
172	то и	6	2
173	в других	2	2
174	не было	4	2
175	те же	6	2
176	предмет и	2	2
177	в системе	2	2
178	как слово	3	2
179	и по	4	2
180	а в	12	2
181	в которых	2	2
182	сказать что	5	2
183	языка в	5	2
184	что мы	8	2
185	здесь только	3	2
186	в произведении	3	2
187	он как	2	2
188	с ним	6	2
189	между тем	9	2
190	а как	2	2
191	с этим	6	2
192	с нею	2	2
193	бы ни	3	2
194	сознании и	2	2
195	все что	4	2
196	зрения и	2	2
197	слова не	2	2
198	и слова	2	2
199	со словом	4	2
200	указывает на	6	2
201	об этом	2	2
202	к ней	5	2
203	в свое	2	2
204	этого слова	11	2
205	вместе с	12	2
206	так в	2	2
207	в языке	7	2
208	бы не	4	2
209	себе а	4	2
210	все равно	4	2
211	что такое	2	2
212	слов в	2	2
213	от этого	2	2
214	могут быть	3	2
215	может стать	2	2
216	отношении к	2	2
217	там где	3	2
218	а между	2	2
219	того как	4	2
