N	2gram	Nazirov_Vr_1	Formalny
1	т е	3	34
2	и в	8	24
3	в его	3	23
4	и не	5	20
5	не может	2	16
6	точки зрения	2	16
7	в этом	8	15
8	в нем	6	14
9	может быть	4	14
10	с точки	2	13
11	таким образом	2	13
12	в своем	3	11
13	не менее	2	11
14	как и	6	11
15	в своей	2	11
16	и ее	2	10
17	то же	5	10
18	в ней	4	10
19	и его	3	10
20	все это	4	9
21	в то	5	9
22	же время	5	8
23	в свою	2	8
24	то что	7	8
25	и с	6	8
26	место в	2	7
27	не только	9	7
28	но и	7	7
29	отнюдь не	2	6
30	и все	7	6
31	в том	3	6
32	в этой	2	6
33	еще не	2	6
34	как бы	4	6
35	а в	2	6
36	отношения к	2	6
37	на основе	2	6
38	при этом	4	5
39	но в	6	5
40	с его	3	4
41	никогда не	2	4
42	в мире	2	4
43	так же	4	4
44	в связи	3	4
45	что в	7	4
46	в истории	4	4
47	связи с	3	3
48	в них	2	3
49	что он	4	3
50	для него	2	3
51	и как	3	3
52	но это	2	3
53	а н	2	3
54	он не	3	3
55	все же	6	3
56	же в	2	3
57	отношение к	2	3
58	в россии	5	3
59	не было	5	3
60	и даже	6	3
61	его в	3	3
62	целый ряд	4	3
63	в себе	2	3
64	же как	2	2
65	его и	2	2
66	его с	2	2
67	это не	4	2
68	в году	18	2
69	уже не	2	2
70	одна из	2	2
71	как раз	2	2
72	в него	2	2
73	у тургенева	11	2
74	вместе с	2	2
75	и что	8	2
76	между тем	5	2
77	в своих	4	2
78	чтобы он	3	2
79	и это	2	2
80	с ним	4	2
81	в эту	2	2
