N	2gram	Ircho_Kome_3	SlovoVZh
1	не может	3	16
2	точки зрения	4	14
3	может быть	6	14
4	и его	6	13
5	как бы	3	13
6	таким образом	12	12
7	и в	22	12
8	отношению к	3	11
9	по отношению	5	11
10	и не	21	10
11	если бы	8	9
12	так как	11	9
13	прежде всего	5	8
14	в нем	3	6
15	все время	2	6
16	при этом	7	6
17	с помощью	4	6
18	в том	12	6
19	в ней	4	6
20	то что	4	5
21	никогда не	3	5
22	а не	4	5
23	то же	7	5
24	хотя бы	4	5
25	как и	3	5
26	том что	13	5
27	отнюдь не	4	5
28	как в	2	5
29	что мы	2	5
30	но в	5	5
31	в виду	2	5
32	и к	3	4
33	ни было	2	4
34	все же	4	4
35	отношение к	5	4
36	так и	4	4
37	от того	2	4
38	с другой	4	4
39	что не	3	4
40	не в	4	4
41	в этом	8	4
42	и на	2	4
43	его в	8	4
44	в самом	9	4
45	к нему	5	4
46	за пределы	2	4
47	не только	5	4
48	в котором	2	3
49	в них	3	3
50	бы то	2	3
51	не менее	5	3
52	когда он	4	3
53	в своей	5	3
54	сих пор	9	3
55	все это	5	3
56	то ни	3	3
57	ясно что	6	3
58	но и	4	3
59	тем не	3	3
60	ни в	10	3
61	так же	4	3
62	самом деле	6	3
63	мы не	2	3
64	и с	4	3
65	о том	8	3
66	нуждается в	2	3
67	и ее	2	3
68	в себе	4	3
69	до сих	9	3
70	в пределах	2	3
71	еще не	6	3
72	и для	4	3
73	конечно не	3	3
74	из этого	2	3
75	здесь не	2	3
76	с ним	5	3
77	между тем	2	3
78	уже в	2	2
79	с этой	3	2
80	с его	3	2
81	что и	8	2
82	но все	4	2
83	что в	5	2
84	вместе с	9	2
85	себя и	2	2
86	на него	4	2
87	между собой	4	2
88	в своем	8	2
89	в отношении	4	2
90	в какой	3	2
91	нет ничего	2	2
92	другой стороны	2	2
93	это не	2	2
94	дело с	3	2
95	и все	2	2
96	бы не	2	2
97	тому же	6	2
98	с одной	3	2
99	к этому	6	2
100	и что	6	2
101	едва ли	7	2
102	не так	3	2
103	с точки	3	2
104	и здесь	4	2
105	же самое	3	2
106	стороны и	2	2
107	с другими	2	2
108	мы можем	3	2
109	до конца	4	2
110	она не	2	2
111	в то	6	2
112	одной стороны	3	2
113	на это	3	2
114	если же	2	2
115	как это	5	2
116	к ним	3	2
117	ничего не	3	2
118	он не	5	2
119	известной степени	2	2
120	в его	8	2
121	между ними	2	2
