N	2gram	Medvedev_S_1	StatiiOP
1	и в	3	44
2	в том	5	36
3	что в	2	30
4	том что	2	29
5	в этом	5	21
6	то что	2	18
7	не только	3	18
8	было бы	2	17
9	может быть	2	15
10	не в	3	12
11	но и	2	10
12	только в	2	10
13	в его	3	9
14	но ведь	3	8
15	для нас	3	7
16	таким образом	2	7
17	все это	7	5
18	то же	2	5
19	в частности	2	4
20	это и	2	4
21	тем более	2	4
22	и что	2	4
23	как бы	2	4
24	дело не	2	4
25	как будто	2	4
26	к которому	2	4
27	в конце	2	3
28	должна быть	2	3
29	еще не	2	3
30	отношению к	2	3
31	по отношению	2	3
32	и только	3	3
33	в результате	2	3
34	истории литературы	10	2
35	по существу	2	2
36	литературы и	2	2
37	за пределы	2	2
38	более чем	3	2
39	нужно было	2	2
