N	2gram	Potebnia_M_4	UchenyiS
1	и в	23	14
2	а не	12	10
3	не только	10	10
4	и не	18	8
5	то что	29	7
6	в этом	23	7
7	не может	11	7
8	в искусстве	3	6
9	может быть	26	6
10	хотя бы	4	5
11	художественное произведение	2	5
12	все это	5	5
13	и только	3	5
14	то же	14	5
15	но и	11	4
16	конечно не	2	4
17	с другой	2	4
18	что такое	7	4
19	но в	8	3
20	как и	14	3
21	и то	5	3
22	не следует	2	3
23	очевидно что	7	3
24	формы в	3	3
25	же время	3	3
26	для него	5	3
27	это не	7	3
28	в то	4	3
29	не как	2	3
30	было бы	8	3
31	в области	2	3
32	у нас	2	3
33	тем менее	2	2
34	том что	12	2
35	в том	23	2
36	мы не	8	2
37	не есть	9	2
38	крайней мере	5	2
39	не в	11	2
40	и для	2	2
41	но это	3	2
42	мы и	2	2
43	бы и	5	2
44	если бы	13	2
45	нас в	2	2
46	только в	15	2
47	и с	4	2
48	но даже	2	2
49	тем что	10	2
50	сих пор	4	2
51	могут быть	7	2
52	даже и	3	2
53	что он	4	2
54	и у	2	2
55	в себе	14	2
56	до сих	4	2
57	что мы	10	2
58	же самое	4	2
59	могли бы	4	2
60	что все	4	2
61	в самом	3	2
62	не могут	2	2
63	нам представляется	2	2
64	по себе	11	2
65	превращается в	2	2
66	самом деле	3	2
67	а как	2	2
68	по крайней	5	2
69	что она	2	2
70	а между	4	2
71	что и	7	2
72	в его	5	2
73	более чем	3	2
74	между тем	9	2
75	таким образом	24	2
76	это было	2	2
