N	2gram	Nazirov_Tr_1	NovoeSre
1	не может	5	16
2	и в	18	16
3	и не	7	11
4	что в	4	9
5	он не	2	8
6	в том	2	8
7	как и	5	7
8	в этом	9	7
9	может быть	7	7
10	с его	2	6
11	никогда не	2	6
12	не в	2	6
13	но это	4	6
14	ни в	2	6
15	в нем	4	5
16	все это	4	5
17	с ее	3	5
18	не только	8	5
19	то что	4	4
20	это не	5	4
21	и все	4	4
22	не имеет	2	4
23	должно быть	3	4
24	потому что	2	4
25	прежде всего	4	4
26	о том	2	4
27	к жизни	5	3
28	но и	4	3
29	вопрос о	2	3
30	к тому	2	3
31	в мире	3	3
32	в ее	2	3
33	с тем	2	3
34	как в	3	3
35	еще не	4	3
36	времени в	2	2
37	что все	2	2
38	я не	4	2
39	у него	6	2
40	так и	5	2
41	что она	2	2
42	который в	2	2
43	все эти	3	2
44	уже не	2	2
45	не человек	2	2
46	и даже	4	2
47	так же	4	2
48	том что	4	2
49	в русском	2	2
50	одна из	2	2
51	и с	7	2
52	и что	4	2
53	права на	2	2
54	и на	7	2
55	в себе	4	2
56	в то	5	2
57	как будто	3	2
58	и это	2	2
59	как это	3	2
60	но в	6	2
