N	2gram	Medvedev_F_3	slovoVRo
1	в романе	4	46
2	и в	27	39
3	может быть	25	37
4	и т	11	35
5	и его	19	33
6	т п	5	33
7	не только	9	24
8	и не	30	22
9	но и	10	21
10	не может	24	20
11	в нем	15	19
12	до конца	4	17
13	все это	7	16
14	в этом	18	16
15	так и	21	15
16	а не	17	14
17	как в	4	13
18	отличие от	2	13
19	в пределах	8	13
20	в процессе	15	13
21	во всех	3	12
22	в отличие	2	12
23	в истории	5	11
24	слово в	2	11
25	вовсе не	28	10
26	не в	12	9
27	и с	3	9
28	прежде всего	4	8
29	оно не	3	8
30	слова и	4	8
31	таким образом	18	8
32	точки зрения	16	8
33	с его	2	7
34	слово как	3	7
35	языка как	2	7
36	при этом	8	7
37	еще не	6	7
38	пределах одного	2	7
39	в его	7	7
40	как бы	8	7
41	никогда не	5	7
42	в этих	3	7
43	и потому	5	7
44	и даже	2	7
45	как мы	8	7
46	могут быть	4	7
47	в него	3	7
48	в них	3	6
49	все же	6	6
50	как и	14	6
51	в своем	2	6
52	но не	5	6
53	в большинстве	4	6
54	она не	4	6
55	в сущности	2	6
56	жизни и	4	6
57	там где	7	6
58	все эти	6	6
59	в слове	4	6
60	так сказать	5	6
61	но в	6	6
62	не могут	10	5
63	с другой	6	5
64	это не	3	5
65	и для	6	5
66	и все	8	5
67	романа и	2	5
68	по себе	4	5
69	для нас	3	5
70	том что	4	5
71	или иной	2	5
72	только в	8	5
73	в том	7	5
74	и их	5	5
75	человека в	2	5
76	уже не	3	5
77	от него	2	5
78	романа в	3	5
79	героя и	2	5
80	конечно не	4	5
81	большинстве случаев	5	5
82	не менее	7	4
83	поэтому и	2	4
84	всех этих	2	4
85	и др	2	4
86	и мир	2	4
87	на фоне	3	4
88	ни в	8	4
89	отношению к	3	4
90	же время	7	4
91	зависимости от	5	4
92	одна из	2	4
93	в смысле	4	4
94	в основном	2	4
95	на почве	2	4
96	в зависимости	5	4
97	в отношении	2	4
98	по отношению	3	4
99	для этого	2	4
100	входит в	8	4
101	отношения к	2	4
102	то же	15	4
103	с помощью	8	4
104	в той	3	4
105	в таком	2	4
106	и на	3	4
107	дело с	3	4
108	в основе	3	4
109	в то	7	4
110	всех областях	2	4
111	его в	7	4
112	здесь не	2	4
113	так как	9	4
114	истории литературы	6	3
115	смысла и	4	3
116	в роман	4	3
117	что в	8	3
118	материала и	3	3
119	материал в	4	3
120	хотя бы	6	3
121	установкой на	2	3
122	и от	11	3
123	идеологического мира	3	3
124	человека и	2	3
125	должна быть	3	3
126	язык как	2	3
127	стороны и	2	3
128	что и	2	3
129	с установкой	2	3
130	но это	2	3
131	связи с	5	3
132	его от	2	3
133	на этом	2	3
134	к проблеме	3	3
135	и как	4	3
136	слов и	4	3
137	в ней	5	3
138	со всею	2	3
139	материал и	2	3
140	связано с	2	3
141	бы и	3	3
142	языке как	2	3
143	этом отношении	3	3
144	лишь в	9	3
145	героя в	3	3
146	идеологического творчества	6	3
147	с точки	14	3
148	той же	3	3
149	сказать что	3	3
150	между тем	7	3
151	может иметь	2	3
152	говорить о	2	3
153	ту же	2	3
154	как это	4	3
155	в чисто	2	3
156	во всяком	6	3
157	действующих лиц	2	2
158	в данном	6	2
159	уже в	4	2
160	социальных групп	2	2
161	и более	3	2
162	независимо от	5	2
163	однако в	2	2
164	его и	3	2
165	жизни в	3	2
166	а вовсе	4	2
167	обстоит дело	4	2
168	тогда когда	4	2
169	п в	2	2
170	в идеологическом	5	2
171	в себе	3	2
172	что он	6	2
173	с ее	2	2
174	в дальнейшем	5	2
175	более того	6	2
176	на протяжении	2	2
177	как о	2	2
178	самого литературного	2	2
179	материала в	5	2
180	мы увидим	2	2
181	роман и	2	2
182	мы уже	3	2
183	в поэзии	3	2
184	или на	2	2
185	нем и	2	2
186	к материалу	3	2
187	материалом и	2	2
188	за пределы	2	2
189	дело идет	3	2
190	но оно	2	2
191	же и	4	2
192	известной степени	2	2
193	притом в	2	2
194	о нем	3	2
195	слова как	2	2
196	всяком случае	6	2
197	лишь тогда	2	2
198	связи и	2	2
199	даже в	2	2
200	должен быть	2	2
201	с таким	2	2
202	мы видели	4	2
203	то что	8	2
204	дело в	2	2
205	вместе с	6	2
206	те же	3	2
207	и речи	2	2
208	отличается от	2	2
209	так в	2	2
210	в языке	2	2
211	смысл и	4	2
212	в связи	4	2
213	может и	3	2
214	т д	6	2
215	всех сторон	2	2
216	в точном	2	2
217	языка или	2	2
218	это и	2	2
219	но эта	2	2
220	мы не	4	2
221	они не	4	2
222	именно на	2	2
223	того чтобы	5	2
224	для того	4	2
225	в рамки	2	2
226	менее всего	4	2
227	одним из	3	2
228	роль в	4	2
229	в результате	5	2
230	нуждается в	3	2
231	к его	3	2
232	может стать	3	2
233	и вне	2	2
234	установка на	4	2
235	о том	4	2
236	как он	2	2
237	и между	5	2
238	можно говорить	4	2
239	в области	2	2
