N	2gram	Vinokur_Ku_1	RusskieA
1	и в	24	29
2	т е	38	24
3	что в	17	22
4	том что	21	22
5	в том	30	22
6	как бы	7	18
7	состоит в	3	15
8	может быть	13	13
9	так как	9	13
10	как и	2	11
11	в этом	14	11
12	все это	6	10
13	е в	2	10
14	и с	5	10
15	не только	10	10
16	а на	2	9
17	о том	9	9
18	а в	5	9
19	во многих	2	9
20	но и	6	8
21	ее в	2	8
22	а а	3	8
23	как в	4	7
24	или в	2	7
25	с тем	5	6
26	этом случае	2	6
27	же в	4	6
28	еще не	5	6
29	для того	16	6
30	для нас	2	6
31	вместе с	7	6
32	таким образом	12	6
33	при этом	6	6
34	того чтобы	17	6
35	и на	4	6
36	в данном	4	6
37	мы имеем	6	6
38	представление о	3	5
39	потому что	23	5
40	это не	7	5
41	то что	9	5
42	и что	5	5
43	но не	5	5
44	для этого	3	5
45	и т	33	5
46	к жизни	2	5
47	не может	7	5
48	т д	14	5
49	но в	2	5
50	именно в	6	4
51	о чем	2	4
52	в них	7	4
53	и все	2	4
54	не все	2	4
55	тогда когда	6	4
56	вопрос о	2	4
57	уже не	8	4
58	по существу	4	4
59	так что	4	4
60	не в	11	4
61	этих случаях	2	4
62	из них	4	4
63	том же	2	4
64	так же	4	4
65	то и	2	4
66	то же	8	4
67	у нас	10	4
68	а не	8	4
69	в таком	3	4
70	в которых	6	4
71	как это	3	4
72	тем что	8	3
73	в этих	4	3
74	в качестве	7	3
75	не всегда	2	3
76	как например	2	3
77	и под	2	3
78	до конца	2	3
79	того что	9	3
80	было бы	15	3
81	что она	3	3
82	но если	2	3
83	в котором	3	3
84	не имеет	2	3
85	только тогда	3	3
86	а именно	2	3
87	все эти	6	3
88	между тем	5	3
89	в этой	3	3
90	в таких	4	3
91	что это	5	3
92	не менее	7	2
93	с этой	2	2
94	связи с	7	2
95	никогда не	2	2
96	переход от	4	2
97	с другой	7	2
98	в стороне	2	2
99	не столько	2	2
100	из этих	4	2
101	он есть	3	2
102	прежде всего	9	2
103	что и	4	2
104	прав когда	2	2
105	что с	2	2
106	в г	3	2
107	это и	4	2
108	и как	2	2
109	одним из	2	2
110	и при	2	2
111	очевидно что	3	2
112	связано с	3	2
113	для них	2	2
114	и пр	15	2
115	на эту	2	2
116	тем не	4	2
117	в виду	5	2
118	один из	4	2
119	должен быть	4	2
120	не с	3	2
121	все же	12	2
122	в своей	2	2
123	том чтобы	8	2
124	дело не	2	2
125	в их	3	2
126	тогда как	2	2
127	того как	4	2
128	а с	3	2
129	не было	3	2
130	на самом	2	2
131	там где	4	2
132	и для	2	2
133	должно быть	3	2
134	можно было	6	2
135	после чего	2	2
136	и то	3	2
137	которое в	2	2
138	одно из	2	2
139	с этим	4	2
140	на себя	3	2
141	и еще	2	2
142	в то	2	2
143	видно что	2	2
144	когда мы	2	2
145	в которой	6	2
146	есть в	4	2
147	иное как	2	2
