N	2gram	Voloshinov_1	TeoriaLi
1	не только	4	18
2	и не	10	16
3	и в	12	13
4	может быть	14	12
5	так и	4	12
6	при этом	6	11
7	в этом	4	11
8	в том	6	11
9	но не	2	10
10	а не	5	10
11	и его	13	10
12	в его	2	9
13	то же	5	9
14	в душе	2	8
15	что в	2	8
16	отношению к	11	8
17	но и	3	8
18	по отношению	11	8
19	в себе	3	7
20	том что	5	7
21	в данном	2	7
22	точки зрения	14	7
23	в то	2	7
24	только в	6	7
25	как это	2	7
26	место в	2	6
27	с его	2	6
28	еще не	3	6
29	как бы	13	6
30	но в	5	6
31	в своем	2	5
32	как и	5	5
33	не в	4	5
34	в пределах	3	5
35	между ними	2	5
36	в самом	4	5
37	в нем	6	5
38	данном случае	2	5
39	как в	5	5
40	он не	2	5
41	уже не	4	5
42	с другой	4	5
43	между тем	3	5
44	мы имеем	2	5
45	героя и	5	5
46	не менее	3	4
47	можно сказать	5	4
48	ни в	3	4
49	в своей	3	4
50	то что	5	4
51	отношение к	4	4
52	в форме	2	4
53	не может	16	4
54	сказать что	7	4
55	и ее	3	4
56	художественного творчества	3	3
57	и др	5	3
58	никогда не	5	3
59	в нашем	11	3
60	в этих	2	3
61	в отношении	2	3
62	он должен	3	3
63	прежде всего	8	3
64	художественного произведения	7	3
65	и к	4	3
66	тем не	3	3
67	для него	3	3
68	того что	3	3
69	совпадает с	2	3
70	и потому	2	3
71	другой стороны	2	3
72	таким образом	12	3
73	и что	2	3
74	и по	3	3
75	и то	2	3
76	отношении к	3	3
77	его в	4	3
78	все эти	3	3
79	в художественном	3	3
80	если бы	9	2
81	была бы	2	2
82	могут быть	2	2
83	за пределы	4	2
84	себя и	2	2
85	высказывания как	4	2
86	между собой	2	2
87	это не	2	2
88	этих двух	2	2
89	по себе	3	2
90	в литературе	4	2
91	автором и	2	2
92	одной стороны	2	2
93	одно и	2	2
94	мы в	2	2
95	имеет место	2	2
96	к его	2	2
97	в виду	5	2
98	частной жизни	2	2
99	к нему	4	2
100	вместе с	2	2
101	здесь не	3	2
102	как к	3	2
103	и для	3	2
104	с одной	2	2
105	в себя	2	2
106	с точки	2	2
107	и притом	2	2
108	высказывания и	2	2
109	так же	3	2
110	автора и	2	2
111	и здесь	2	2
112	о том	3	2
113	в чем	2	2
114	к герою	3	2
115	имеет в	3	2
