N	3gram	Losev_Vlad_3	Marksizm
1	с точки зрения	6	20
2	не может быть	6	13
3	бы то ни	3	8
4	в связи с	2	7
5	в настоящее время	3	6
6	в отличие от	3	5
7	с другой стороны	2	5
8	как мы знаем	2	5
9	в то же	3	3
10	то же время	2	3
11	в конце концов	5	3
12	в этом отношении	2	3
13	в том что	10	3
14	самом же деле	2	2
15	так же как	2	2
16	на первый план	2	2
17	в таком случае	2	2
18	себе отчет в	2	2
19	на самом же	2	2
20	тем не менее	9	2
21	далеко за пределы	2	2
22	во всяком случае	3	2
23	сводится к тому	2	2
24	ничего общего с	2	2
25	в этом смысле	3	2
