N	2gram	Voloshinov_1	Psycholo
1	в том	3	37
2	и в	16	32
3	том что	3	21
4	то что	3	21
5	таким образом	9	21
6	что в	3	20
7	так же	2	18
8	может быть	17	18
9	что и	2	17
10	не может	8	17
11	точки зрения	8	17
12	самом деле	6	16
13	что он	2	13
14	при этом	6	13
15	то же	2	13
16	в этом	9	13
17	если мы	2	12
18	в самом	2	12
19	не только	7	12
20	так как	4	12
21	было бы	2	11
22	в основе	3	11
23	как и	2	10
24	но и	4	10
25	и не	4	10
26	с точки	6	10
27	никогда не	2	9
28	что это	2	8
29	не менее	2	8
30	мы знаем	3	7
31	и как	3	7
32	все эти	5	7
33	и его	8	7
34	сказать что	7	7
35	только в	4	7
36	в этой	4	6
37	и мы	2	6
38	он не	2	6
39	как бы	5	6
40	те же	3	6
41	о том	2	6
42	отнюдь не	4	5
43	до сих	3	5
44	сих пор	3	5
45	все это	4	5
46	на самом	4	5
47	только на	3	5
48	и даже	4	5
49	и на	4	5
50	же как	2	4
51	едва ли	3	4
52	с этой	2	4
53	в жизни	2	4
54	что на	2	4
55	как это	3	4
56	в чем	5	4
57	а на	2	4
58	совершенно не	8	4
59	и по	2	4
60	в нем	4	4
61	жизни и	3	4
62	а в	3	4
63	и все	4	4
64	таким путем	2	4
65	мы видим	2	4
66	и для	2	4
67	и с	8	4
68	знаем что	2	4
69	могут быть	3	4
70	с этим	2	4
71	ту же	2	4
72	и это	6	4
73	в общем	3	3
74	по своему	2	3
75	не могут	2	3
76	в частности	2	3
77	конечном счете	2	3
78	для этого	2	3
79	хотя бы	4	3
80	и к	6	3
81	но как	2	3
82	только как	3	3
83	в своей	2	3
84	один из	2	3
85	с ее	4	3
86	так и	4	3
87	во всех	3	3
88	и их	4	3
89	и так	2	3
90	и ее	4	3
91	на этом	3	3
92	и других	2	3
93	и вот	3	3
94	что не	2	3
95	в конечном	3	3
96	в каком	2	3
97	но в	4	3
98	мы не	2	3
99	мы можем	9	3
100	не существует	2	2
101	и этот	2	2
102	с его	7	2
103	в сознание	7	2
104	чувства и	2	2
105	этой теории	2	2
106	в них	2	2
107	все что	4	2
108	сравнению с	3	2
109	с другими	3	2
110	во сне	2	2
111	в одном	3	2
112	во всяком	3	2
113	сводится к	2	2
114	ни в	5	2
115	меньше всего	2	2
116	бессознательного и	4	2
117	еще не	5	2
118	того же	2	2
119	и говорить	2	2
120	по сравнению	3	2
121	к ним	2	2
122	в его	4	2
123	в него	5	2
124	всяком случае	3	2
125	оно не	2	2
126	в этих	3	2
127	отношение к	5	2
128	как не	2	2
129	для нас	2	2
130	вместе с	3	2
131	не на	2	2
132	что оно	2	2
133	а потому	4	2
134	бессознательное и	5	2
135	и содержание	2	2
136	но это	2	2
137	их в	3	2
138	и таким	2	2
139	в детской	2	2
140	и вообще	2	2
141	и только	9	2
142	в свое	2	2
143	всю жизнь	2	2
