N	2gram	Propp_Russ_2	Problemy
1	и в	29	43
2	т е	24	26
3	может быть	13	23
4	как бы	18	22
5	не может	5	18
6	но и	8	14
7	как и	11	14
8	и т	5	13
9	в этом	11	13
10	не в	4	11
11	не только	10	11
12	прежде всего	2	10
13	и на	6	10
14	но в	5	10
15	как мы	3	10
16	никогда не	2	9
17	еще не	6	9
18	то же	4	8
19	или в	7	8
20	в него	2	7
21	в то	2	7
22	то что	5	7
23	а не	4	7
24	в этих	3	6
25	в том	22	6
26	при этом	6	6
27	в котором	3	6
28	и все	4	6
29	так что	4	5
30	к нему	4	5
31	все это	10	5
32	таким образом	6	5
33	все эти	3	5
34	а в	9	5
35	и с	10	5
36	о том	9	5
37	но не	5	5
38	было бы	3	5
39	и что	5	5
40	что в	22	4
41	с другой	2	4
42	до конца	3	4
43	т д	5	4
44	должно быть	2	4
45	их в	4	4
46	но он	3	4
47	во время	12	4
48	так как	13	4
49	так чтобы	2	4
50	в них	4	4
51	совершенно не	2	4
52	в своей	2	4
53	том же	4	4
54	во всех	3	4
55	в отличие	3	4
56	там где	2	4
57	мы не	6	4
58	этот вопрос	2	4
59	далеко не	4	4
60	отличие от	3	4
61	не менее	2	3
62	это не	5	3
63	есть в	2	3
64	кроме того	2	3
65	в виду	2	3
66	в их	2	3
67	во всем	2	3
68	его в	8	3
69	а за	4	3
70	между тем	3	3
71	по существу	4	3
72	здесь в	2	3
73	она не	3	3
74	что и	2	3
75	все же	2	3
76	уже не	4	3
77	и для	2	3
78	можно было	2	3
79	тем что	3	3
80	в виде	4	3
81	могут быть	2	3
82	и ее	2	3
83	а он	2	3
84	в эту	3	3
85	не был	2	2
86	та же	2	2
87	из этих	2	2
88	в образе	2	2
89	вопрос о	4	2
90	что на	2	2
91	тем не	2	2
92	для нас	6	2
93	и как	2	2
94	в глаза	2	2
95	мы здесь	2	2
96	что это	3	2
97	в форме	2	2
98	то и	4	2
99	для этого	5	2
100	здесь мы	2	2
101	того что	3	2
102	этих случаях	4	2
103	так же	4	2
104	каждый из	2	2
105	в своих	2	2
106	в которых	4	2
107	и еще	2	2
108	в руках	2	2
109	из них	4	2
110	между собой	2	2
111	в стороне	2	2
112	с этим	2	2
113	об этом	2	2
114	а затем	4	2
115	у нас	4	2
116	и при	2	2
117	одна из	11	2
118	то время	2	2
119	на себя	2	2
120	и о	3	2
121	и пр	2	2
122	в самый	2	2
123	ее в	8	2
124	как в	7	2
125	а с	2	2
126	он есть	2	2
127	том что	22	2
128	в таком	4	2
129	и то	2	2
130	с другим	2	2
131	того как	2	2
