N	2gram	Tiupa_Hudo_1	Marksizm
1	точки зрения	10	34
2	может быть	14	26
3	и не	15	26
4	не может	7	24
5	с точки	3	20
6	и в	19	19
7	и его	12	19
8	таким образом	3	17
9	в этом	11	16
10	как бы	9	15
11	языка в	4	14
12	прежде всего	4	13
13	как и	2	12
14	так и	11	11
15	если мы	2	11
16	и для	2	11
17	в самом	5	10
18	в нем	5	10
19	в слове	3	10
20	и т.п	4	10
21	для него	4	9
22	лишь в	4	9
23	внутренней речи	14	9
24	только в	5	9
25	как система	2	8
26	при этом	13	8
27	в контексте	3	8
28	но и	10	8
29	не только	16	8
30	то что	4	8
31	без исключения	4	8
32	все эти	2	7
33	так же	2	7
34	но в	7	7
35	в ее	5	7
36	во всех	3	7
37	то же	10	7
38	а не	9	7
39	слова как	5	7
40	в том	18	6
41	в пределах	3	6
42	другой стороны	5	6
43	отнюдь не	2	6
44	того же	2	6
45	в его	9	6
46	на почве	3	6
47	и того	2	6
48	с другой	7	5
49	одного и	2	5
50	именно в	2	5
51	не в	7	5
52	и потому	2	5
53	знака к	5	5
54	вовсе не	2	5
55	за пределы	2	5
56	по преимуществу	2	5
57	в отличие	7	5
58	входит в	4	5
59	того чтобы	2	5
60	отличие от	7	5
61	что в	6	4
62	не менее	3	4
63	в отношении	3	4
64	не является	4	4
65	не столько	3	4
66	а в	12	4
67	и на	2	4
68	сказать что	4	4
69	жизни в	2	4
70	по себе	2	4
71	всех без	3	4
72	еще не	3	4
73	не будет	2	4
74	как в	2	4
75	для того	2	4
76	между ними	4	4
77	в данном	4	4
78	отношении к	2	4
79	далеко не	2	4
80	место в	4	3
81	в какой	2	3
82	или иной	7	3
83	можно сказать	5	3
84	и как	3	3
85	же время	5	3
86	все это	2	3
87	по отношению	9	3
88	того что	4	3
89	с другими	4	3
90	между тем	4	3
91	в то	6	3
92	его в	2	3
93	знакового материала	4	3
94	в каком	2	3
95	и к	3	3
96	том что	8	3
97	одной из	2	3
98	он не	4	3
99	в своей	5	3
100	быть и	2	3
101	сводится к	7	3
102	речи и	3	3
103	между двумя	2	3
104	и ее	3	3
105	слова и	2	3
106	и это	2	3
107	в которой	2	3
108	в области	6	3
109	в узком	3	2
110	том числе	2	2
111	сама по	2	2
112	в частности	13	2
113	никогда не	2	2
114	тому что	2	2
115	в своем	2	2
116	знаков в	2	2
117	тем не	3	2
118	ни в	5	2
119	свою очередь	2	2
120	в свою	3	2
121	мог бы	3	2
122	это отношение	3	2
123	первой части	2	2
124	совпадает с	2	2
125	отношение знака	3	2
126	в виду	5	2
127	и др	2	2
128	в нашем	2	2
129	с ее	5	2
130	как к	2	2
131	имеет место	2	2
132	в данный	2	2
133	во втором	4	2
134	из виду	2	2
135	из этих	3	2
136	к его	2	2
137	о том	2	2
138	этом смысле	3	2
139	за пределами	3	2
140	в основе	4	2
141	ни к	2	2
142	и более	2	2
143	если бы	3	2
144	между собой	2	2
145	нового времени	2	2
146	не как	2	2
147	что он	3	2
148	в себе	9	2
149	данный момент	2	2
150	в романе	3	2
151	то в	2	2
152	одна из	2	2
153	в качестве	24	2
154	к тому	4	2
155	этого слова	2	2
156	не могло	2	2
157	не все	2	2
158	что и	2	2
159	отношению к	9	2
160	как раз	3	2
161	мира и	2	2
162	или в	2	2
163	или иначе	4	2
164	могут быть	4	2
165	в другом	3	2
166	могла бы	2	2
167	не знает	3	2
168	и т.д	3	2
169	в русской	3	2
170	жизни но	2	2
171	из этого	2	2
172	в чем	2	2
