N	2gram	Vinokur_Ku_3	Vvedenie
1	и т	54	42
2	т д	8	36
3	т е	32	35
4	и в	23	32
5	в том	22	31
6	в этом	16	30
7	может быть	14	26
8	том что	11	26
9	не только	17	22
10	для того	12	21
11	того чтобы	11	20
12	таким образом	9	19
13	также и	5	18
14	то что	4	16
15	потому что	12	15
16	так как	9	15
17	но также	5	14
18	не может	6	14
19	в самом	13	13
20	о том	6	13
21	того что	11	12
22	в общем	6	12
23	в их	6	12
24	и не	10	12
25	как на	8	12
26	в его	11	12
27	только в	6	12
28	как мы	5	11
29	что такое	4	11
30	ясно что	4	11
31	и именно	3	11
32	в ее	4	11
33	в данном	7	11
34	языка и	2	10
35	что в	13	10
36	но в	2	9
37	и как	2	9
38	между тем	4	9
39	этого рода	3	9
40	по себе	6	9
41	как об	2	9
42	то же	6	9
43	в той	4	9
44	не менее	12	8
45	с другой	7	8
46	это не	3	8
47	тем не	9	8
48	не в	5	8
49	именно в	3	8
50	прежде всего	9	7
51	вопрос о	11	7
52	в большей	2	7
53	смысле этого	2	7
54	точки зрения	23	7
55	но не	3	7
56	было бы	16	7
57	все же	5	7
58	самом деле	14	7
59	можно было	11	7
60	только как	4	7
61	не могут	5	6
62	из этих	5	6
63	до сих	8	6
64	смысле слова	2	6
65	том чтобы	4	6
66	один из	4	6
67	но и	3	6
68	все это	2	6
69	в то	3	6
70	его в	2	6
71	как он	2	6
72	с тем	6	6
73	вовсе не	5	6
74	не трудно	3	6
75	как и	5	6
76	в качестве	2	6
77	сих пор	8	6
78	а именно	3	6
79	хотя бы	9	6
80	этот вопрос	3	6
81	тем что	5	6
82	уже в	3	5
83	в какой	3	5
84	она есть	2	5
85	на этот	2	5
86	но если	3	5
87	как бы	5	5
88	и тем	6	5
89	в целом	4	5
90	данном случае	4	5
91	другой стороны	3	5
92	в которых	3	5
93	сказать что	7	5
94	по языку	5	5
95	как например	2	5
96	быть в	2	5
97	по своему	2	5
98	не есть	3	5
99	вместе с	2	5
100	т п	41	5
101	а не	11	5
102	что не	4	5
103	могут быть	6	5
104	на вопрос	3	4
105	независимо от	5	4
106	с этой	3	4
107	этом случае	4	4
108	как о	3	4
109	одной стороны	4	4
110	о чем	2	4
111	в котором	2	4
112	по отношению	3	4
113	в особенности	2	4
114	еще и	2	4
115	с одной	4	4
116	не просто	2	4
117	и что	7	4
118	не имеет	3	4
119	а в	5	4
120	научное языковедение	3	4
121	в первом	5	4
122	как это	7	4
123	мы имеем	2	4
124	е в	2	4
125	нельзя не	2	4
126	что он	6	4
127	еще не	9	4
128	отношению к	2	4
129	в своей	4	4
130	только что	2	4
131	внимание на	2	4
132	как раз	4	4
133	уже не	8	4
134	речь в	2	4
135	той же	3	4
136	во всяком	2	4
137	сама по	2	3
138	что это	3	3
139	и есть	5	3
140	в частности	2	3
141	в этих	2	3
142	а потому	2	3
143	бы и	3	3
144	можно сказать	2	3
145	к тому	3	3
146	но все	2	3
147	на этом	2	3
148	том отношении	2	3
149	при этом	6	3
150	известном смысле	2	3
151	хотя и	5	3
152	в ней	3	3
153	в виду	8	3
154	то это	3	3
155	мы видели	3	3
156	отношение к	3	3
157	на том	2	3
158	дело не	2	3
159	что она	5	3
160	отношений между	2	3
161	в своем	4	3
162	язык и	2	3
163	все эти	7	3
164	и вот	3	3
165	заключается в	4	3
166	свое время	2	3
167	так же	2	3
168	русский язык	4	3
169	в результате	3	3
170	языка в	6	3
171	говорить о	6	3
172	тогда когда	4	3
173	в известном	2	3
174	если бы	8	3
175	однако в	2	3
176	не как	2	3
177	в различных	2	3
178	и к	3	3
179	материал для	2	3
180	что сказано	2	3
181	чтобы понять	2	3
182	связи с	6	3
183	в чем	5	3
184	чем в	2	3
185	в одном	2	3
186	ответа на	2	3
187	в сущности	4	3
188	в свое	2	3
189	а также	4	3
190	что и	6	3
191	своего рода	2	3
192	каждой из	2	3
193	собственном смысле	2	3
194	что же	5	3
195	может служить	2	3
196	может оказаться	2	3
197	в каком	3	3
198	в области	14	3
199	должна быть	3	2
200	это уже	3	2
201	тому что	4	2
202	для этого	6	2
203	в отношении	3	2
204	мы называем	2	2
205	это в	2	2
206	или иной	7	2
207	это еще	2	2
208	в дальнейшем	2	2
209	но это	5	2
210	большей степени	2	2
211	что если	2	2
212	изучение языка	2	2
213	мог бы	2	2
214	говоря уже	2	2
215	значение в	2	2
216	не говоря	2	2
217	от того	5	2
218	вообще и	3	2
219	во внимание	5	2
220	в связи	5	2
221	мы говорим	4	2
222	не было	4	2
223	о них	4	2
224	с помощью	6	2
225	именно на	2	2
226	принять во	2	2
227	должно быть	7	2
228	а во-вторых	2	2
229	не столько	4	2
230	и с	3	2
231	чем же	2	2
232	той или	5	2
233	и здесь	2	2
234	когда мы	3	2
235	и должно	5	2
236	так и	6	2
237	могло бы	3	2
238	состоит в	2	2
239	есть не	3	2
240	не с	2	2
241	у нас	10	2
242	по существу	3	2
243	так называемую	2	2
244	и при	2	2
245	тем более	5	2
246	учение о	2	2
247	того же	4	2
248	что мы	2	2
249	мы должны	3	2
250	или иным	2	2
251	сам же	2	2
252	этого слова	4	2
253	мысли и	2	2
254	в языке	7	2
255	связь между	3	2
256	того как	7	2
257	из того	2	2
258	в печати	2	2
259	к языку	4	2
260	с точки	16	2
261	мы не	3	2
262	тому как	2	2
263	которое в	2	2
264	в силу	6	2
265	время в	3	2
266	еще раз	2	2
267	на протяжении	2	2
268	если же	2	2
269	здесь не	2	2
270	ничего не	6	2
271	если это	2	2
