N	2gram	Tiupa_Hudo_1	RusskieA
1	и в	14	36
2	а а	2	25
3	не только	12	22
4	что в	6	19
5	том что	16	19
6	в том	12	17
7	т е	4	17
8	но и	5	16
9	и м	2	14
10	xix в	4	13
11	в этом	11	12
12	на святках	4	11
13	это не	7	10
14	как мы	3	10
15	как и	9	10
16	и т	11	10
17	и на	3	10
18	потому что	5	10
19	об этом	5	9
20	т д	3	9
21	а в	7	9
22	состоит в	2	8
23	из них	4	8
24	может быть	5	8
25	один из	4	8
26	и по	3	8
27	о том	12	8
28	так и	13	7
29	между тем	8	7
30	представляют собой	2	7
31	и не	2	6
32	при этом	12	6
33	уже не	7	6
34	мы не	2	6
35	все это	2	6
36	не имеет	2	6
37	то что	8	6
38	видно что	2	6
39	будто бы	3	6
40	все же	3	5
41	как будто	4	5
42	н а	2	5
43	как бы	7	5
44	а и	2	5
45	с ними	2	5
46	как в	8	5
47	там же	2	5
48	тому что	4	4
49	в первый	2	4
50	к тому	7	4
51	что на	2	4
52	одна из	2	4
53	еще не	7	4
54	связи с	4	4
55	еще в	3	4
56	и а	5	4
57	в их	2	4
58	так в	2	4
59	не может	7	4
60	в связи	3	4
61	а с	2	4
62	и что	2	4
63	того что	4	4
64	тем что	3	4
65	только в	5	4
66	слова в	2	3
67	не менее	5	3
68	к жизни	5	3
69	в этих	5	3
70	в качестве	9	3
71	в своем	4	3
72	и к	4	3
73	тем не	4	3
74	на этом	3	3
75	в это	2	3
76	несмотря на	4	3
77	только на	2	3
78	как правило	6	3
79	а также	3	3
80	если в	2	3
81	своего рода	7	3
82	также в	2	3
83	приводит к	3	3
84	то же	9	3
85	она в	3	3
86	с точки	3	3
87	ничего не	8	3
88	точки зрения	5	3
89	не было	4	2
90	в частности	5	2
91	что у	3	2
92	не означает	2	2
93	к другому	4	2
94	только для	2	2
95	та же	4	2
96	с этим	3	2
97	и потому	2	2
98	в нем	3	2
99	у него	9	2
100	интерес к	5	2
101	так что	2	2
102	и н	4	2
103	такой же	3	2
104	говорится о	2	2
105	но не	3	2
106	до конца	2	2
107	она не	4	2
108	на тех	3	2
109	отнюдь не	3	2
110	например в	2	2
111	в ней	4	2
112	в его	8	2
113	и с	4	2
114	в целом	2	2
115	в е	2	2
116	что она	4	2
117	как по	2	2
118	а п	10	2
119	тогда как	7	2
120	все эти	3	2
121	на самом	2	2
122	а не	12	2
123	и для	3	2
124	с ним	4	2
125	в своих	3	2
126	не случайно	7	2
127	хотя и	2	2
128	себя и	2	2
129	но в	5	2
130	в равной	3	2
131	как он	2	2
132	и поэтому	2	2
