N	2gram	Voloshinov_1	Istorich
1	и в	38	28
2	может быть	13	25
3	не может	12	15
4	а не	6	15
5	никогда не	7	14
6	для нас	3	13
7	мы должны	10	13
8	мы имеем	2	13
9	то же	14	12
10	не только	27	12
11	мы видим	3	11
12	только в	6	11
13	что он	2	10
14	все же	7	10
15	мы увидим	5	10
16	прежде всего	21	10
17	но и	13	10
18	мы не	9	10
19	видим что	2	9
20	в том	2	9
21	о том	4	9
22	то что	8	9
23	и не	14	9
24	не в	6	9
25	так и	6	9
26	что это	4	8
27	не всегда	2	8
28	если бы	4	8
29	таким образом	7	8
30	в этом	10	8
31	но в	5	8
32	в этих	2	7
33	это не	3	7
34	том что	3	7
35	здесь мы	3	7
36	еще не	3	7
37	было бы	7	7
38	в ней	8	7
39	а в	5	7
40	этот вопрос	2	7
41	так же	4	7
42	и здесь	3	7
43	что мы	11	7
44	к тому	4	6
45	ни один	2	6
46	что и	3	6
47	в этой	6	6
48	его в	4	6
49	так как	7	6
50	вместе с	5	6
51	мы будем	6	5
52	не знает	3	5
53	в одном	3	5
54	вопрос о	2	5
55	не должен	2	5
56	в дальнейшем	2	5
57	но не	2	5
58	в качестве	4	5
59	сих пор	2	5
60	можно было	4	5
61	увидим что	2	5
62	или в	2	5
63	их в	3	5
64	сказать что	3	5
65	в его	6	5
66	все это	4	4
67	с тем	8	4
68	связи с	3	4
69	между собой	2	4
70	об этом	3	4
71	но все	4	4
72	но это	2	4
73	представляет собой	2	4
74	социальной жизни	2	4
75	и пр	4	4
76	один из	4	4
77	другими словами	7	4
78	на него	4	4
79	связь с	2	4
80	в связи	2	4
81	с этим	2	4
82	как и	10	4
83	того что	4	4
84	и даже	3	4
85	хотя бы	18	4
86	и для	3	4
87	и с	5	4
88	и на	6	4
89	потому что	5	4
90	то мы	3	4
91	в основе	2	4
92	все эти	2	4
93	здесь не	2	4
94	видели что	3	3
95	точку зрения	3	3
96	в какой	2	3
97	перед нами	3	3
98	не с	3	3
99	в начале	3	3
100	при этом	9	3
101	и их	5	3
102	в котором	3	3
103	должен быть	2	3
104	из них	3	3
105	ли он	2	3
106	в форме	6	3
107	и тогда	2	3
108	нас не	2	3
109	что же	8	3
110	связь между	2	3
111	уже не	4	3
112	и его	7	3
113	не просто	2	3
114	если мы	4	3
115	как мы	9	3
116	из которых	3	3
117	к чему	2	3
118	и он	2	3
119	же самое	5	3
120	как это	5	3
121	или даже	2	3
122	также и	2	3
123	тем что	2	3
124	в то	9	3
125	не существует	4	2
126	а с	5	2
127	зависит от	2	2
128	самого начала	4	2
129	в частности	3	2
130	к этому	2	2
131	бы мы	3	2
132	были бы	4	2
133	его и	3	2
134	он должен	3	2
135	то он	3	2
136	и от	7	2
137	и потому	2	2
138	предположим что	2	2
139	между ними	3	2
140	вовсе не	2	2
141	вследствие этого	2	2
142	ясно что	2	2
143	как уже	2	2
144	но мы	2	2
145	в тех	3	2
146	даже на	2	2
147	к своему	4	2
148	в ее	3	2
149	мы видели	5	2
150	уяснить себе	2	2
151	с самого	4	2
152	в зависимости	5	2
153	и как	9	2
154	с природой	2	2
155	зависимости от	5	2
156	по своей	2	2
157	связанные с	2	2
158	связано с	2	2
159	для него	3	2
160	тот же	2	2
161	в данной	3	2
162	одной из	2	2
163	мы в	3	2
164	что такое	4	2
165	с ним	2	2
166	и когда	2	2
167	как бы	28	2
168	относится к	2	2
169	и тем	6	2
170	в нем	4	2
171	себя в	4	2
172	в целом	4	2
173	не знаем	4	2
174	во всех	6	2
175	с ней	2	2
176	конечно не	3	2
177	всего в	3	2
178	как в	2	2
179	в середине	2	2
180	у себя	2	2
181	отношения к	3	2
182	он не	2	2
183	должны были	2	2
184	еще и	2	2
185	и вот	3	2
186	для всех	2	2
187	будем называть	2	2
188	не так	3	2
189	должно быть	2	2
190	ничего не	8	2
191	ни к	2	2
192	между тем	3	2
193	однако в	2	2
194	в себе	9	2
195	бы в	5	2
196	на это	4	2
197	которые в	2	2
198	ответ на	2	2
199	когда мы	6	2
200	в области	5	2
